0,Heuristic,10000000,7230.000000,1,0.005000,500000,40,10
Time,Value 
Final, 886,7231

NrViolations,0
Round,H_team,A_team 
0,37,0
0,1,2
0,3,4
0,13,5
0,6,8
0,11,7
0,10,9
0,16,12
0,15,14
0,17,26
0,20,18
0,21,19
0,22,25
0,23,29
0,27,24
0,31,28
0,32,30
0,33,36
0,38,34
0,39,35
1,0,35
1,1,37
1,2,8
1,39,3
1,4,9
1,12,5
1,7,6
1,10,11
1,13,17
1,19,14
1,15,18
1,16,26
1,20,21
1,28,22
1,23,25
1,29,24
1,31,27
1,33,30
1,34,32
1,38,36
2,0,3
2,38,1
2,2,37
2,4,8
2,11,5
2,6,10
2,9,7
2,12,15
2,16,13
2,14,18
2,17,20
2,19,26
2,23,21
2,24,22
2,25,31
2,32,27
2,28,33
2,36,29
2,35,30
2,34,39
3,36,0
3,35,1
3,7,2
3,3,38
3,4,6
3,5,10
3,8,12
3,9,13
3,11,15
3,14,20
3,17,16
3,18,19
3,21,24
3,22,23
3,25,28
3,26,31
3,27,33
3,32,29
3,30,34
3,39,37
4,34,0
4,1,6
4,2,38
4,3,5
4,39,4
4,8,7
4,9,12
4,10,13
4,14,11
4,15,20
4,19,16
4,17,21
4,18,23
4,26,22
4,24,28
4,25,27
4,29,33
4,30,31
4,32,36
4,37,35
5,33,0
5,1,4
5,2,39
5,3,6
5,5,9
5,7,10
5,13,8
5,12,11
5,16,14
5,15,17
5,18,21
5,24,19
5,20,23
5,27,22
5,29,25
5,28,26
5,30,36
5,31,32
5,34,37
5,38,35
6,0,39
6,9,1
6,4,2
6,7,3
6,6,5
6,10,8
6,11,13
6,12,18
6,17,14
6,15,16
6,23,19
6,22,20
6,21,26
6,24,25
6,27,30
6,29,28
6,34,31
6,32,33
6,36,35
6,37,38
7,0,4
7,10,1
7,6,2
7,8,3
7,5,7
7,11,9
7,12,14
7,13,18
7,21,15
7,20,16
7,25,17
7,22,19
7,23,24
7,26,27
7,28,30
7,31,29
7,35,32
7,33,34
7,37,36
7,39,38
8,0,38
8,3,1
8,5,2
8,4,7
8,9,6
8,8,11
8,14,10
8,13,12
8,22,15
8,18,16
8,24,17
8,19,20
8,25,21
8,26,23
8,27,28
8,30,29
8,31,33
8,37,32
8,35,34
8,36,39
9,1,0
9,2,3
9,5,4
9,6,11
9,7,12
9,8,9
9,16,10
9,14,13
9,19,15
9,18,17
9,20,24
9,21,22
9,28,23
9,26,25
9,29,27
9,30,37
9,35,31
9,38,32
9,33,39
9,36,34
