2486,Heuristic,10000000,7230.000000,1,0.005000,500000,40,10
Time,Value 
Final, 280,7231

NrViolations,0
Round,H_team,A_team 
0,0,6
0,3,1
0,17,2
0,28,4
0,37,5
0,26,7
0,10,8
0,11,9
0,24,12
0,13,19
0,33,14
0,15,16
0,18,38
0,20,23
0,21,31
0,39,22
0,25,30
0,35,27
0,29,34
0,32,36
1,0,36
1,29,1
1,25,2
1,3,16
1,37,4
1,11,5
1,18,6
1,35,7
1,26,8
1,24,9
1,10,27
1,20,12
1,13,14
1,15,30
1,17,38
1,33,19
1,21,22
1,39,23
1,28,34
1,32,31
2,34,0
2,1,13
2,30,2
2,3,17
2,39,4
2,5,31
2,6,32
2,7,22
2,8,36
2,14,9
2,10,24
2,37,11
2,12,26
2,33,15
2,21,16
2,23,18
2,19,35
2,27,20
2,25,38
2,28,29
3,12,0
3,1,21
3,2,3
3,4,10
3,5,39
3,6,15
3,7,20
3,8,35
3,9,29
3,36,11
3,30,13
3,14,28
3,16,24
3,31,17
3,22,18
3,19,32
3,23,26
3,27,25
3,38,33
3,34,37
4,31,0
4,1,33
4,2,5
4,4,3
4,6,7
4,8,39
4,9,37
4,17,10
4,11,34
4,12,28
4,13,15
4,16,14
4,36,18
4,23,19
4,20,21
4,22,26
4,30,24
4,32,25
4,38,27
4,29,35
5,0,23
5,20,1
5,2,19
5,24,3
5,4,38
5,17,5
5,22,6
5,9,7
5,18,8
5,37,10
5,11,33
5,36,12
5,13,16
5,32,14
5,15,27
5,21,39
5,25,28
5,26,34
5,29,31
5,35,30
6,0,27
6,17,1
6,26,2
6,3,5
6,13,4
6,10,6
6,21,7
6,15,8
6,18,9
6,11,16
6,25,12
6,20,14
6,28,19
6,33,22
6,32,23
6,24,31
6,29,36
6,39,30
6,35,34
6,37,38
7,0,30
7,31,1
7,16,2
7,3,36
7,18,4
7,5,9
7,26,6
7,7,25
7,24,8
7,10,21
7,35,11
7,27,12
7,39,13
7,14,29
7,15,37
7,33,17
7,19,20
7,28,22
7,38,23
7,34,32
8,38,0
8,1,18
8,2,10
8,6,3
8,4,11
8,5,28
8,7,24
8,8,37
8,9,35
8,12,32
8,36,13
8,14,39
8,22,15
8,16,20
8,30,17
8,19,21
8,23,33
8,34,25
8,31,26
8,27,29
9,7,0
9,1,32
9,2,28
9,9,3
9,4,25
9,5,29
9,6,37
9,8,21
9,16,10
9,22,11
9,12,18
9,34,13
9,14,35
9,36,15
9,27,17
9,19,39
9,31,20
9,23,24
9,38,26
9,30,33
