588,Heuristic,10000000,7230.000000,1,0.005000,500000,40,20
Time,Value 
Final, 64318,7237

NrViolations,0
Round,H_team,A_team 
0,37,0
0,1,4
0,27,2
0,25,3
0,38,5
0,6,19
0,23,7
0,30,8
0,18,9
0,10,20
0,33,11
0,22,12
0,36,13
0,17,14
0,15,28
0,21,16
0,34,24
0,26,31
0,39,29
0,35,32
1,36,0
1,25,1
1,2,15
1,34,3
1,6,4
1,35,5
1,8,7
1,17,9
1,10,21
1,39,11
1,12,23
1,37,13
1,14,19
1,20,16
1,30,18
1,22,26
1,38,24
1,27,28
1,33,29
1,32,31
2,39,0
2,6,1
2,2,22
2,3,15
2,4,17
2,5,7
2,8,34
2,9,23
2,10,16
2,36,11
2,12,19
2,13,26
2,18,14
2,20,21
2,32,24
2,25,29
2,27,33
2,31,28
2,30,37
2,38,35
3,0,22
3,1,23
3,2,18
3,35,3
3,4,8
3,5,34
3,24,6
3,7,32
3,9,30
3,15,10
3,11,38
3,21,12
3,14,13
3,16,39
3,26,17
3,19,36
3,20,27
3,28,25
3,29,37
3,31,33
4,1,0
4,8,2
4,31,3
4,4,34
4,5,32
4,26,6
4,10,7
4,9,20
4,23,11
4,30,12
4,18,13
4,14,37
4,15,27
4,16,36
4,29,17
4,19,25
4,21,22
4,24,35
4,28,38
4,33,39
5,0,31
5,38,1
5,16,2
5,7,3
5,18,4
5,19,5
5,11,6
5,8,25
5,12,9
5,33,10
5,22,13
5,14,21
5,15,23
5,17,20
5,30,24
5,27,26
5,37,28
5,29,35
5,34,32
5,39,36
6,0,16
6,32,1
6,2,31
6,3,38
6,22,4
6,11,5
6,6,8
6,7,15
6,9,24
6,39,10
6,12,14
6,13,23
6,17,21
6,27,18
6,33,19
6,30,20
6,25,37
6,26,29
6,36,28
6,34,35
7,9,0
7,35,1
7,2,5
7,3,16
7,21,4
7,6,25
7,7,38
7,11,8
7,28,10
7,12,17
7,13,27
7,14,30
7,15,31
7,26,18
7,39,19
7,20,36
7,22,23
7,24,29
7,32,33
7,34,37
8,17,0
8,1,34
8,2,30
8,3,6
8,4,16
8,5,25
8,24,7
8,28,8
8,21,9
8,10,11
8,32,12
8,20,13
8,29,14
8,15,36
8,31,18
8,37,19
8,27,22
8,23,39
8,26,38
8,35,33
9,0,34
9,1,20
9,19,2
9,18,3
9,4,25
9,13,5
9,6,39
9,29,7
9,8,26
9,16,9
9,10,17
9,11,15
9,27,12
9,14,24
9,21,30
9,31,22
9,23,36
9,28,32
9,38,33
9,37,35
10,13,0
10,18,1
10,23,2
10,9,3
10,4,20
10,15,5
10,6,34
10,7,27
10,8,39
10,38,10
10,11,17
10,31,12
10,14,22
10,33,16
10,19,28
10,24,21
10,25,26
10,30,29
10,37,32
10,36,35
11,0,5
11,12,1
11,11,2
11,3,13
11,9,4
11,6,20
11,7,14
11,8,29
11,34,10
11,33,15
11,28,16
11,19,17
11,18,37
11,25,21
11,22,30
11,38,23
11,24,26
11,27,31
11,36,32
11,39,35
12,3,0
12,17,1
12,2,28
12,26,4
12,5,8
12,16,6
12,7,9
12,10,19
12,22,11
12,12,37
12,24,13
12,31,14
12,35,15
12,21,18
12,20,39
12,32,23
12,25,38
12,27,30
12,29,34
12,36,33
13,0,28
13,1,13
13,2,7
13,3,4
13,5,9
13,10,6
13,19,8
13,20,11
13,12,36
13,26,14
13,32,15
13,16,24
13,17,18
13,21,33
13,22,39
13,35,23
13,34,25
13,29,27
13,31,30
13,37,38
14,0,6
14,1,28
14,2,9
14,5,3
14,4,7
14,8,16
14,23,10
14,21,11
14,18,12
14,13,35
14,14,20
14,15,22
14,17,36
14,19,24
14,25,27
14,34,26
14,29,31
14,30,39
14,38,32
14,33,37
15,12,0
15,1,2
15,10,3
15,4,5
15,6,7
15,31,8
15,9,29
15,11,24
15,13,19
15,14,35
15,16,15
15,25,17
15,18,20
15,28,21
15,33,22
15,23,37
15,32,26
15,34,27
15,30,36
15,39,38
16,18,0
16,7,1
16,2,14
16,11,3
16,30,4
16,6,5
16,27,8
16,31,9
16,10,22
16,12,20
16,13,29
16,15,19
16,16,37
16,24,17
16,39,21
16,28,23
16,32,25
16,26,35
16,33,34
16,36,38
17,0,14
17,1,29
17,20,2
17,3,8
17,24,4
17,5,10
17,38,6
17,7,31
17,26,9
17,11,19
17,16,12
17,15,13
17,17,30
17,22,18
17,37,21
17,23,33
17,35,25
17,32,27
17,39,28
17,36,34
18,0,11
18,1,30
18,3,2
18,4,10
18,5,33
18,35,6
18,7,26
18,8,12
18,9,14
18,13,31
18,21,15
18,19,16
18,17,39
18,24,18
18,20,22
18,23,25
18,38,27
18,28,34
18,29,32
18,37,36
19,0,2
19,9,1
19,3,26
19,4,12
19,5,31
19,23,6
19,13,7
19,8,10
19,16,11
19,14,32
19,20,15
19,22,17
19,29,18
19,19,30
19,36,21
19,25,24
19,35,27
19,28,33
19,34,38
19,37,39
