0,Heuristic,10000000,7230.000000,1,0.005000,500000,40,10
Time,Value 
Final, 992,7231

NrViolations,0
Round,H_team,A_team 
0,1,0
0,2,5
0,8,3
0,7,4
0,9,6
0,12,10
0,13,11
0,14,38
0,15,16
0,17,18
0,20,19
0,21,27
0,22,23
0,25,24
0,26,39
0,30,28
0,35,29
0,36,31
0,32,34
0,37,33
1,0,2
1,1,5
1,3,7
1,10,4
1,11,6
1,9,8
1,12,14
1,13,38
1,15,22
1,16,18
1,20,17
1,19,27
1,26,21
1,23,24
1,28,25
1,32,29
1,30,39
1,33,31
1,34,36
1,37,35
2,5,0
2,8,1
2,2,7
2,4,3
2,10,6
2,9,12
2,15,11
2,14,13
2,16,38
2,17,22
2,18,19
2,20,27
2,24,21
2,26,23
2,29,25
2,28,36
2,31,30
2,33,32
2,34,35
2,39,37
3,0,9
3,7,1
3,2,4
3,6,3
3,5,12
3,8,10
3,24,11
3,18,13
3,14,17
3,19,15
3,16,22
3,29,20
3,25,21
3,27,23
3,28,26
3,30,36
3,31,34
3,39,32
3,35,33
3,38,37
4,0,4
4,2,1
4,3,9
4,5,6
4,8,7
4,10,16
4,23,11
4,12,17
4,19,13
4,18,14
4,21,15
4,25,20
4,22,24
4,29,26
4,27,28
4,34,30
4,31,38
4,37,32
4,39,33
4,36,35
5,0,3
5,1,9
5,10,2
5,4,5
5,6,7
5,12,8
5,11,16
5,13,17
5,15,14
5,20,18
5,19,24
5,21,23
5,25,22
5,27,26
5,28,29
5,35,30
5,32,31
5,38,33
5,34,37
5,36,39
6,6,0
6,1,4
6,9,2
6,5,3
6,7,10
6,11,8
6,12,13
6,14,16
6,17,15
6,18,24
6,23,19
6,20,21
6,22,27
6,26,25
6,28,37
6,29,30
6,31,35
6,36,32
6,33,34
6,39,38
7,8,0
7,3,1
7,6,2
7,4,12
7,14,5
7,7,9
7,11,10
7,16,13
7,18,15
7,17,19
7,26,20
7,21,22
7,25,23
7,24,27
7,33,28
7,29,31
7,30,37
7,35,32
7,39,34
7,38,36
8,7,0
8,1,14
8,2,8
8,3,12
8,4,6
8,15,5
8,9,11
8,13,10
8,16,19
8,21,17
8,23,18
8,24,20
8,22,26
8,30,25
8,27,31
8,32,28
8,37,29
8,36,33
8,38,34
8,35,39
9,0,14
9,6,1
9,3,2
9,4,8
9,5,7
9,10,9
9,11,12
9,13,15
9,17,16
9,22,18
9,19,21
9,23,20
9,24,26
9,27,25
9,34,28
9,33,29
9,32,30
9,31,39
9,38,35
9,37,36
