0,Heuristic,10000000,7230.000000,1,0.005000,500000,32,24
Time,Value 
Final, 402656,7231

NrViolations,0
Round,H_team,A_team 
0,6,0
0,1,31
0,2,3
0,4,5
0,18,7
0,14,8
0,25,9
0,10,16
0,19,11
0,13,12
0,15,26
0,28,17
0,23,20
0,21,30
0,24,22
0,29,27
1,4,0
1,29,1
1,18,2
1,6,3
1,5,19
1,7,24
1,8,23
1,9,13
1,10,22
1,21,11
1,12,26
1,14,28
1,15,17
1,27,16
1,20,30
1,25,31
2,22,0
2,16,1
2,2,9
2,26,3
2,4,18
2,15,5
2,7,6
2,12,8
2,30,10
2,20,11
2,27,13
2,14,21
2,17,31
2,19,24
2,25,23
2,29,28
3,0,1
3,6,2
3,3,9
3,20,4
3,31,5
3,7,29
3,17,8
3,13,10
3,11,15
3,28,12
3,22,14
3,16,24
3,18,23
3,19,25
3,21,26
3,30,27
4,0,18
4,1,3
4,2,14
4,4,7
4,13,5
4,6,16
4,8,20
4,19,9
4,12,10
4,11,31
4,21,15
4,27,17
4,22,29
4,23,26
4,24,25
4,28,30
5,0,14
5,1,24
5,2,26
5,11,3
5,13,4
5,5,21
5,30,6
5,10,7
5,8,29
5,9,17
5,12,15
5,18,16
5,23,19
5,20,22
5,25,27
5,28,31
6,23,0
6,1,21
6,2,19
6,20,3
6,31,4
6,5,28
6,15,6
6,26,7
6,8,16
6,24,9
6,29,10
6,27,11
6,12,30
6,14,13
6,25,17
6,18,22
7,20,0
7,11,1
7,5,2
7,3,12
7,15,4
7,31,6
7,7,8
7,9,26
7,10,25
7,17,13
7,14,23
7,16,22
7,24,18
7,19,28
7,27,21
7,29,30
8,0,28
8,1,18
8,21,2
8,3,16
8,4,23
8,9,5
8,6,27
8,7,25
8,22,8
8,10,14
8,26,11
8,19,12
8,13,15
8,17,30
8,24,20
8,31,29
9,0,12
9,19,1
9,8,2
9,3,27
9,4,14
9,5,25
9,6,23
9,22,7
9,9,18
9,10,11
9,28,13
9,15,29
9,16,21
9,17,24
9,26,20
9,30,31
10,0,27
10,2,1
10,5,3
10,11,4
10,6,19
10,7,9
10,28,8
10,23,10
10,12,31
10,16,13
10,14,20
10,25,15
10,29,17
10,18,26
10,22,21
10,30,24
11,30,0
11,7,1
11,2,22
11,3,13
11,27,4
11,11,5
11,18,6
11,31,8
11,9,15
11,21,10
11,12,29
11,14,25
11,23,16
11,20,17
11,19,26
11,28,24
12,13,0
12,1,5
12,7,2
12,3,18
12,10,4
12,6,20
12,15,8
12,27,9
12,11,28
12,24,12
12,31,14
12,16,26
12,23,17
12,19,30
12,21,29
12,22,25
13,31,0
13,9,1
13,2,15
13,3,7
13,4,25
13,5,12
13,26,6
13,8,13
13,10,24
13,29,11
13,14,19
13,16,30
13,17,21
13,18,20
13,22,23
13,27,28
14,0,7
14,1,27
14,2,23
14,10,3
14,22,4
14,5,16
14,25,6
14,8,30
14,29,9
14,11,24
14,14,12
14,20,13
14,18,15
14,17,19
14,21,31
14,26,28
15,2,0
15,1,6
15,4,3
15,5,22
15,7,16
15,8,9
15,26,10
15,25,11
15,12,17
15,29,13
15,14,15
15,30,18
15,20,19
15,28,21
15,23,31
15,27,24
16,0,3
16,1,10
16,25,2
16,4,16
16,23,5
16,6,22
16,7,20
16,19,8
16,9,11
16,21,12
16,13,31
16,17,14
16,15,30
16,28,18
16,24,29
16,27,26
17,0,19
17,17,1
17,27,2
17,3,22
17,8,4
17,20,5
17,24,6
17,12,7
17,9,10
17,11,14
17,13,30
17,28,15
17,16,25
17,31,18
17,21,23
17,26,29
18,0,21
18,13,1
18,24,2
18,3,25
18,4,6
18,29,5
18,31,7
18,10,8
18,22,9
18,30,11
18,12,27
18,26,14
18,20,15
18,16,17
18,18,19
18,23,28
19,16,0
19,15,1
19,2,17
19,3,21
19,30,4
19,5,24
19,8,6
19,28,7
19,23,9
19,10,20
19,11,12
19,26,13
19,14,29
19,18,25
19,22,19
19,31,27
20,0,10
20,1,12
20,2,16
20,8,3
20,28,4
20,5,18
20,6,9
20,7,17
20,11,13
20,14,30
20,15,27
20,19,21
20,25,20
20,22,31
20,23,29
20,24,26
21,0,5
21,25,1
21,13,2
21,24,3
21,21,4
21,6,28
21,19,7
21,26,8
21,9,12
21,18,10
21,17,11
21,27,14
21,15,22
21,29,16
21,20,31
21,30,23
22,9,0
22,1,14
22,30,2
22,3,28
22,4,29
22,6,5
22,7,11
22,24,8
22,10,27
22,12,22
22,13,23
22,31,15
22,16,19
22,17,18
22,21,20
22,26,25
23,25,0
23,1,26
23,31,2
23,3,19
23,4,24
23,5,7
23,29,6
23,8,27
23,9,14
23,17,10
23,11,18
23,12,20
23,13,21
23,15,23
23,16,28
23,30,22
