42,Heuristic,10000000,7230.000000,1,0.005000,500000,16,12
Time,Value 
Final, 135373,7231

NrViolations,0
Round,H_team,A_team 
0,0,2
0,3,1
0,14,4
0,5,7
0,8,6
0,13,9
0,12,10
0,15,11
1,0,6
1,1,4
1,2,3
1,8,5
1,7,10
1,11,9
1,14,12
1,13,15
2,0,14
2,2,1
2,3,4
2,9,5
2,6,11
2,7,8
2,13,10
2,15,12
3,12,0
3,9,1
3,10,2
3,3,7
3,4,13
3,5,6
3,8,11
3,14,15
4,15,0
4,1,12
4,2,7
4,3,9
4,4,5
4,6,13
4,8,10
4,11,14
5,11,0
5,1,7
5,2,12
5,6,3
5,4,8
5,5,13
5,9,15
5,10,14
6,0,3
6,1,8
6,5,2
6,6,4
6,7,15
6,9,12
6,10,11
6,13,14
7,0,4
7,14,1
7,2,6
7,8,3
7,12,5
7,9,7
7,10,15
7,11,13
8,8,0
8,15,1
8,4,2
8,3,10
8,14,5
8,6,9
8,11,7
8,12,13
9,0,10
9,5,1
9,15,2
9,14,3
9,4,9
9,7,6
9,13,8
9,11,12
10,5,0
10,1,6
10,13,2
10,12,3
10,4,11
10,7,14
10,15,8
10,10,9
11,1,0
11,2,11
11,3,5
11,10,4
11,6,15
11,7,13
11,12,8
11,9,14
