154,Heuristic,10000000,7230.000000,1,0.005000,500000,24,18
Time,Value 
Final, 218428,7231

NrViolations,0
Round,H_team,A_team 
0,0,6
0,22,1
0,2,4
0,3,8
0,20,5
0,7,16
0,9,14
0,18,10
0,11,17
0,21,12
0,23,13
0,19,15
1,11,0
1,8,1
1,3,2
1,9,4
1,19,5
1,6,23
1,7,21
1,10,13
1,16,12
1,22,14
1,20,15
1,18,17
2,0,23
2,1,15
2,19,2
2,14,3
2,4,7
2,5,21
2,6,22
2,16,8
2,11,9
2,10,17
2,12,20
2,18,13
3,0,22
3,1,2
3,12,3
3,4,21
3,15,5
3,6,11
3,7,8
3,17,9
3,10,16
3,13,19
3,14,20
3,23,18
4,12,0
4,17,1
4,2,23
4,5,3
4,4,6
4,7,20
4,8,10
4,13,9
4,11,22
4,15,14
4,18,16
4,21,19
5,14,0
5,5,1
5,18,2
5,3,19
5,23,4
5,16,6
5,17,7
5,22,8
5,9,12
5,11,10
5,15,13
5,20,21
6,5,0
6,1,20
6,11,2
6,18,3
6,10,4
6,13,6
6,23,7
6,8,12
6,22,9
6,16,14
6,21,15
6,19,17
7,0,7
7,1,14
7,13,2
7,23,3
7,20,4
7,16,5
7,6,12
7,8,18
7,9,10
7,21,11
7,17,15
7,22,19
8,8,0
8,1,11
8,2,21
8,13,3
8,4,14
8,9,5
8,6,18
8,7,22
8,12,10
8,15,23
8,17,16
8,19,20
9,0,9
9,7,1
9,2,6
9,3,15
9,4,11
9,5,22
9,20,8
9,14,10
9,12,23
9,17,13
9,19,16
9,18,21
10,0,19
10,3,1
10,2,9
10,16,4
10,5,23
10,6,15
10,14,7
10,13,8
10,10,21
10,11,18
10,12,22
10,20,17
11,13,0
11,21,1
11,8,2
11,17,3
11,4,18
11,7,5
11,6,19
11,23,9
11,10,20
11,16,11
11,14,12
11,22,15
12,21,0
12,1,18
12,2,20
12,9,3
12,12,4
12,5,6
12,19,7
12,17,8
12,10,22
12,13,11
12,23,14
12,15,16
13,0,17
13,1,6
13,2,14
13,3,7
13,15,4
13,5,12
13,19,8
13,9,21
13,23,10
13,11,20
13,16,13
13,18,22
14,0,10
14,16,1
14,2,22
14,20,3
14,4,13
14,17,5
14,21,6
14,7,12
14,9,8
14,11,23
14,19,14
14,15,18
15,0,2
15,1,9
15,3,21
15,4,19
15,13,5
15,6,10
15,7,15
15,8,23
15,12,11
15,14,18
15,20,16
15,22,17
16,20,0
16,1,19
16,2,17
16,3,16
16,8,4
16,5,18
16,6,9
16,10,7
16,14,11
16,15,12
16,21,13
16,22,23
17,3,0
17,4,1
17,10,2
17,14,5
17,8,6
17,18,7
17,9,20
17,15,11
17,12,19
17,22,13
17,21,16
17,23,17
