588,Heuristic,10000000,7230.000000,1,0.005000,500000,40,20
Time,Value 
Final, 2642,7231

NrViolations,0
Round,H_team,A_team 
0,0,32
0,4,1
0,2,3
0,5,9
0,6,37
0,7,11
0,8,13
0,19,10
0,12,18
0,14,17
0,16,15
0,20,22
0,27,21
0,30,23
0,25,24
0,31,26
0,28,33
0,35,29
0,34,39
0,36,38
1,38,0
1,1,2
1,3,6
1,4,37
1,5,7
1,8,11
1,9,18
1,17,10
1,21,12
1,15,13
1,23,14
1,16,19
1,24,20
1,25,22
1,30,26
1,27,33
1,28,35
1,36,29
1,31,34
1,39,32
2,0,4
2,11,1
2,2,6
2,3,7
2,5,37
2,8,36
2,9,21
2,16,10
2,23,12
2,13,18
2,22,14
2,15,27
2,17,19
2,25,20
2,32,24
2,26,35
2,29,28
2,34,30
2,33,31
2,38,39
3,0,3
3,13,1
3,2,9
3,4,38
3,6,5
3,39,7
3,17,8
3,10,21
3,11,36
3,19,12
3,14,16
3,20,15
3,18,27
3,22,26
3,23,35
3,33,24
3,28,25
3,29,31
3,37,30
3,32,34
4,37,0
4,15,1
4,7,2
4,3,38
4,5,4
4,6,36
4,18,8
4,39,9
4,10,11
4,12,16
4,13,21
4,14,27
4,26,17
4,19,22
4,20,23
4,31,24
4,29,25
4,32,28
4,35,30
4,33,34
5,34,0
5,1,33
5,5,2
5,3,14
5,4,16
5,6,10
5,7,12
5,20,8
5,9,13
5,11,15
5,28,17
5,24,18
5,27,19
5,21,22
5,26,23
5,31,25
5,30,29
5,38,32
5,36,35
5,37,39
6,35,0
6,1,37
6,2,32
6,3,33
6,11,4
6,10,5
6,39,6
6,8,7
6,22,9
6,12,13
6,38,14
6,15,30
6,16,27
6,25,17
6,18,20
6,31,19
6,24,21
6,28,23
6,36,26
6,29,34
7,0,6
7,7,1
7,39,2
7,8,3
7,13,4
7,12,5
7,20,9
7,10,14
7,18,11
7,23,15
7,16,21
7,17,30
7,28,19
7,22,27
7,24,29
7,32,25
7,34,26
7,35,31
7,38,33
7,36,37
8,0,39
8,1,28
8,29,2
8,12,3
8,14,4
8,13,5
8,6,38
8,7,34
8,8,10
8,17,9
8,21,11
8,18,15
8,20,16
8,19,24
8,23,22
8,33,25
8,32,26
8,27,30
8,31,36
8,37,35
9,0,8
9,5,1
9,30,2
9,13,3
9,4,34
9,9,6
9,7,38
9,10,12
9,19,11
9,14,20
9,15,17
9,26,16
9,21,18
9,24,22
9,23,29
9,35,25
9,27,32
9,36,28
9,37,31
9,33,39
10,1,0
10,2,33
10,3,34
10,4,7
10,5,8
10,15,6
10,12,9
10,10,23
10,11,20
10,14,13
10,25,16
10,17,18
10,21,19
10,29,22
10,24,27
10,26,37
10,30,28
10,38,31
10,32,36
10,35,39
11,0,29
11,1,3
11,34,2
11,4,33
11,5,32
11,16,6
11,7,23
11,8,14
11,11,9
11,13,10
11,12,20
11,22,15
11,17,21
11,18,25
11,19,26
11,28,24
11,27,37
11,30,36
11,39,31
11,38,35
12,0,5
12,39,1
12,35,2
12,3,4
12,6,32
12,7,14
12,8,23
12,10,9
12,12,11
12,13,25
12,24,15
12,18,16
12,20,17
12,34,19
12,21,26
12,22,37
12,27,28
12,38,29
12,31,30
12,33,36
13,31,0
13,1,32
13,36,2
13,3,35
13,4,8
13,39,5
13,6,7
13,9,24
13,15,10
13,11,25
13,14,12
13,17,13
13,16,22
13,30,18
13,33,19
13,21,20
13,23,27
13,26,28
13,37,29
13,34,38
14,30,0
14,1,36
14,2,4
14,9,3
14,38,5
14,6,8
14,7,35
14,10,24
14,11,14
14,15,12
14,16,13
14,17,22
14,32,18
14,20,19
14,23,21
14,25,27
14,26,39
14,28,31
14,29,33
14,37,34
15,28,0
15,1,38
15,2,37
15,11,3
15,4,36
15,5,35
15,13,6
15,10,7
15,9,8
15,12,17
15,14,15
15,16,24
15,26,18
15,19,23
15,34,20
15,32,21
15,22,31
15,25,39
15,27,29
15,30,33
16,0,2
16,10,1
16,3,36
16,4,9
16,15,5
16,12,6
16,7,16
16,8,38
16,13,11
16,14,19
16,24,17
16,18,22
16,37,20
16,29,21
16,23,31
16,25,30
16,27,26
16,28,39
16,33,32
16,35,34
17,33,0
17,9,1
17,2,38
17,37,3
17,31,4
17,14,5
17,11,6
17,15,7
17,8,16
17,39,10
17,27,12
17,19,13
17,23,17
17,18,28
17,29,20
17,21,25
17,22,30
17,26,24
17,32,35
17,36,34
18,36,0
18,6,1
18,2,8
18,39,3
18,35,4
18,5,11
18,17,7
18,9,16
18,38,10
18,29,12
18,22,13
18,18,14
18,19,15
18,20,28
18,21,30
18,24,23
18,25,26
18,34,27
18,32,31
18,33,37
19,0,10
19,1,8
19,2,11
19,3,5
19,6,4
19,9,7
19,34,12
19,20,13
19,24,14
19,21,15
19,16,17
19,19,18
19,22,28
19,25,23
19,26,29
19,31,27
19,30,32
19,35,33
19,36,39
19,37,38
