588,Heuristic,10000000,7230.000000,1,0.005000,500000,40,10
Time,Value 
Final, 280,7231

NrViolations,0
Round,H_team,A_team 
0,0,12
0,1,22
0,39,2
0,3,8
0,4,31
0,5,27
0,6,35
0,7,15
0,9,10
0,11,24
0,13,30
0,14,18
0,16,34
0,21,17
0,25,19
0,36,20
0,23,32
0,26,28
0,29,38
0,33,37
1,0,15
1,1,18
1,6,2
1,3,19
1,4,32
1,5,17
1,7,12
1,21,8
1,9,38
1,25,10
1,11,31
1,13,24
1,14,34
1,16,30
1,29,20
1,33,22
1,23,28
1,26,35
1,39,27
1,36,37
2,0,1
2,2,16
2,14,3
2,18,4
2,22,5
2,7,6
2,8,27
2,9,39
2,10,17
2,11,20
2,12,26
2,13,28
2,15,24
2,19,32
2,21,38
2,23,36
2,37,25
2,33,29
2,30,35
2,34,31
3,37,0
3,2,1
3,27,3
3,38,4
3,34,5
3,17,6
3,31,7
3,8,13
3,18,9
3,10,21
3,15,11
3,12,39
3,22,14
3,24,16
3,19,29
3,20,26
3,30,23
3,32,25
3,28,36
3,35,33
4,27,0
4,1,3
4,2,22
4,4,13
4,36,5
4,6,25
4,17,7
4,8,14
4,20,9
4,31,10
4,29,11
4,38,12
4,15,37
4,16,23
4,28,18
4,19,33
4,35,21
4,24,26
4,39,30
4,32,34
5,28,0
5,1,14
5,36,2
5,3,37
5,4,34
5,5,11
5,6,8
5,27,7
5,9,30
5,39,10
5,25,12
5,13,17
5,29,15
5,16,19
5,21,18
5,20,22
5,26,23
5,33,24
5,32,31
5,35,38
6,0,34
6,1,28
6,13,2
6,3,35
6,4,8
6,5,20
6,6,12
6,7,24
6,9,22
6,16,10
6,11,32
6,14,37
6,39,15
6,29,17
6,36,18
6,21,19
6,23,38
6,25,31
6,26,30
6,33,27
7,0,36
7,34,1
7,25,2
7,3,15
7,7,4
7,5,29
7,24,6
7,18,8
7,31,9
7,10,33
7,11,16
7,12,32
7,23,13
7,14,28
7,17,20
7,37,19
7,30,21
7,22,35
7,26,27
7,38,39
8,8,0
8,27,1
8,2,29
8,32,3
8,12,4
8,28,5
8,15,6
8,20,7
8,24,9
8,10,36
8,34,11
8,18,13
8,38,14
8,37,16
8,17,25
8,19,26
8,22,21
8,31,23
8,30,33
8,35,39
9,20,0
9,38,1
9,2,14
9,18,3
9,19,4
9,32,5
9,37,6
9,10,7
9,8,36
9,28,9
9,22,11
9,12,23
9,27,13
9,15,33
9,35,16
9,17,26
9,31,21
9,24,39
9,34,25
9,30,29
