154,Heuristic,10000000,7230.000000,1,0.005000,500000,40,30
Time,Value 
Final, 103845,7231

NrViolations,0
Round,H_team,A_team 
0,0,11
0,24,1
0,26,2
0,9,3
0,4,18
0,5,7
0,34,6
0,25,8
0,19,10
0,36,12
0,22,13
0,23,14
0,35,15
0,28,16
0,30,17
0,21,20
0,29,27
0,31,32
0,37,33
0,38,39
1,9,0
1,1,20
1,29,2
1,22,3
1,4,5
1,6,7
1,24,8
1,10,14
1,11,32
1,37,12
1,13,31
1,38,15
1,33,16
1,17,21
1,26,18
1,30,19
1,28,23
1,34,25
1,36,27
1,35,39
2,18,0
2,5,1
2,4,2
2,3,38
2,10,6
2,7,14
2,29,8
2,9,20
2,11,31
2,16,12
2,13,30
2,32,15
2,17,19
2,21,27
2,28,22
2,23,39
2,33,24
2,25,26
2,34,35
2,36,37
3,21,0
3,15,1
3,2,10
3,3,18
3,14,4
3,5,28
3,13,6
3,7,38
3,8,11
3,33,9
3,12,19
3,16,29
3,26,17
3,20,34
3,37,22
3,23,31
3,39,24
3,25,35
3,27,30
3,32,36
4,0,33
4,1,18
4,14,2
4,16,3
4,8,4
4,5,38
4,15,6
4,26,7
4,39,9
4,10,34
4,20,11
4,25,12
4,23,13
4,27,17
4,19,29
4,21,22
4,37,24
4,32,28
4,31,30
4,35,36
5,0,16
5,1,12
5,6,2
5,20,3
5,4,25
5,14,5
5,29,7
5,8,23
5,37,9
5,15,10
5,11,13
5,31,17
5,24,18
5,19,39
5,30,21
5,22,26
5,27,33
5,35,28
5,34,32
5,38,36
6,0,15
6,1,16
6,3,2
6,19,4
6,24,5
6,6,23
6,30,7
6,17,8
6,9,26
6,13,10
6,36,11
6,12,20
6,18,14
6,29,21
6,22,27
6,25,32
6,28,39
6,31,33
6,34,37
6,38,35
7,4,0
7,3,1
7,2,27
7,5,15
7,6,32
7,7,10
7,8,34
7,28,9
7,39,11
7,12,22
7,13,14
7,16,36
7,17,20
7,30,18
7,33,19
7,26,21
7,23,37
7,35,24
7,25,38
7,29,31
8,0,27
8,1,29
8,5,2
8,21,3
8,4,15
8,14,6
8,7,13
8,8,38
8,23,9
8,10,25
8,28,11
8,17,12
8,16,34
8,18,31
8,19,36
8,20,37
8,22,33
8,32,24
8,35,26
8,39,30
9,0,7
9,14,1
9,8,2
9,37,3
9,24,4
9,5,34
9,18,6
9,13,9
9,10,28
9,11,25
9,12,29
9,15,17
9,19,16
9,20,33
9,21,39
9,22,31
9,23,38
9,32,26
9,27,35
9,36,30
10,0,5
10,1,7
10,2,25
10,36,3
10,29,4
10,9,6
10,18,8
10,11,10
10,15,12
10,34,13
10,30,14
10,21,16
10,33,17
10,19,23
10,20,22
10,24,28
10,38,26
10,32,27
10,31,35
10,37,39
11,14,0
11,1,19
11,2,11
11,3,5
11,26,4
11,6,36
11,7,35
11,22,8
11,31,9
11,10,12
11,24,13
11,15,20
11,30,16
11,39,17
11,33,18
11,37,21
11,25,23
11,34,27
11,29,28
11,38,32
12,17,0
12,2,1
12,3,15
12,4,11
12,5,36
12,6,31
12,7,12
12,14,8
12,35,9
12,10,20
12,29,13
12,16,37
12,39,18
12,26,19
12,32,21
12,22,24
12,34,23
12,25,30
12,38,27
12,28,33
13,0,30
13,4,1
13,17,2
13,11,3
13,16,5
13,6,38
13,23,7
13,8,26
13,32,9
13,39,10
13,12,24
13,13,18
13,14,34
13,15,22
13,27,19
13,20,29
13,35,21
13,25,31
13,28,37
13,33,36
14,0,28
14,8,1
14,2,22
14,3,31
14,35,4
14,5,23
14,21,6
14,11,7
14,9,24
14,33,10
14,12,30
14,13,20
14,27,14
14,15,29
14,16,26
14,17,25
14,18,34
14,19,38
14,37,32
14,36,39
15,0,12
15,1,28
15,2,35
15,33,3
15,38,4
15,5,26
15,30,6
15,20,7
15,37,8
15,9,16
15,10,29
15,19,11
15,27,13
15,31,14
15,15,23
15,24,17
15,18,25
15,21,36
15,22,34
15,39,32
16,38,0
16,1,36
16,9,2
16,10,3
16,34,4
16,5,19
16,24,6
16,7,27
16,39,8
16,11,33
16,12,35
16,13,37
16,26,14
16,31,15
16,16,18
16,17,28
16,20,32
16,23,21
16,30,22
16,29,25
17,32,0
17,1,30
17,2,36
17,17,3
17,4,7
17,25,5
17,6,33
17,28,8
17,12,9
17,10,18
17,23,11
17,38,13
17,14,22
17,15,21
17,16,39
17,19,34
17,20,35
17,24,29
17,26,27
17,31,37
18,35,0
18,6,1
18,2,28
18,3,19
18,4,30
18,29,5
18,7,21
18,8,31
18,9,14
18,16,10
18,11,18
18,12,39
18,32,13
18,36,15
18,17,22
18,23,20
18,26,24
18,25,33
18,27,37
18,34,38
19,0,26
19,1,17
19,2,12
19,3,34
19,4,31
19,30,5
19,6,11
19,7,19
19,8,16
19,29,9
19,36,10
19,35,13
19,14,25
19,37,15
19,18,32
19,38,20
19,21,28
19,22,39
19,33,23
19,27,24
20,8,0
20,1,11
20,21,2
20,3,26
20,17,4
20,5,6
20,7,34
20,9,22
20,37,10
20,12,32
20,13,19
20,14,35
20,39,15
20,16,25
20,18,27
20,28,20
20,36,23
20,24,31
20,30,29
20,33,38
21,0,22
21,23,1
21,2,24
21,13,3
21,9,4
21,31,5
21,6,25
21,15,7
21,19,8
21,10,38
21,11,21
21,12,27
21,14,32
21,20,16
21,29,17
21,18,35
21,26,34
21,28,36
21,30,37
21,33,39
22,20,0
22,32,1
22,2,30
22,4,3
22,27,5
22,6,8
22,7,33
22,25,9
22,23,10
22,11,24
22,12,18
22,39,13
22,28,14
22,15,16
22,34,17
22,19,21
22,22,35
22,36,26
22,29,37
22,31,38
23,0,2
23,34,1
23,6,3
23,4,12
23,5,9
23,7,17
23,8,21
23,10,24
23,11,16
23,36,13
23,19,14
23,18,15
23,20,30
23,22,29
23,35,23
23,25,37
23,39,26
23,27,31
23,38,28
23,32,33
24,0,10
24,1,22
24,2,7
24,3,12
24,4,6
24,5,11
24,8,9
24,28,13
24,16,14
24,30,15
24,17,36
24,18,29
24,25,19
24,31,20
24,21,34
24,32,23
24,24,38
24,37,26
24,27,39
24,35,33
25,1,0
25,2,15
25,3,7
25,28,4
25,21,5
25,6,19
25,8,36
25,9,18
25,10,22
25,11,27
25,13,12
25,14,29
25,23,16
25,17,37
25,26,20
25,24,25
25,30,38
25,31,39
25,35,32
25,33,34
26,0,24
26,1,13
26,2,19
26,23,3
26,4,37
26,12,5
26,6,39
26,7,31
26,33,8
26,9,30
26,10,35
26,11,22
26,20,14
26,15,27
26,32,16
26,17,38
26,18,21
26,25,36
26,29,26
26,28,34
27,39,0
27,9,1
27,20,2
27,3,24
27,36,4
27,5,37
27,22,6
27,7,25
27,10,8
27,11,35
27,12,21
27,13,15
27,33,14
27,38,16
27,18,17
27,19,28
27,27,23
27,26,31
27,32,29
27,34,30
28,37,0
28,31,1
28,16,2
28,3,32
28,39,4
28,8,5
28,12,6
28,22,7
28,21,9
28,27,10
28,34,11
28,13,25
28,14,17
28,15,33
28,18,28
28,19,35
28,36,20
28,26,23
28,24,30
28,38,29
29,36,0
29,27,1
29,13,2
29,3,8
29,16,4
29,35,5
29,26,6
29,7,32
29,9,17
29,31,10
29,38,11
29,14,12
29,15,25
29,22,18
29,37,19
29,39,20
29,21,33
29,24,23
29,30,28
29,34,29
