1217,Heuristic,10000000,7230.000000,1,0.005000,500000,40,20
Time,Value 
Final, 64188,7231

NrViolations,0
Round,H_team,A_team 
0,0,19
0,1,8
0,28,2
0,15,3
0,20,4
0,5,14
0,18,6
0,7,11
0,9,12
0,10,13
0,16,17
0,25,21
0,22,27
0,38,23
0,24,26
0,29,33
0,36,30
0,32,31
0,37,34
0,35,39
1,0,5
1,1,19
1,31,2
1,18,3
1,25,4
1,17,6
1,22,7
1,8,12
1,9,13
1,11,10
1,14,15
1,32,16
1,20,21
1,34,23
1,24,27
1,29,26
1,28,38
1,35,30
1,33,39
1,37,36
2,6,0
2,31,1
2,27,2
2,17,3
2,26,4
2,5,19
2,21,7
2,14,8
2,10,9
2,11,12
2,15,13
2,30,16
2,18,20
2,22,38
2,39,23
2,24,35
2,32,25
2,28,29
2,33,37
2,36,34
3,0,17
3,33,1
3,2,14
3,3,35
3,4,5
3,10,6
3,19,7
3,15,8
3,9,18
3,13,11
3,12,28
3,29,16
3,20,26
3,21,38
3,23,22
3,36,24
3,39,25
3,30,27
3,31,37
3,34,32
4,3,0
4,32,1
4,2,17
4,4,35
4,12,5
4,6,14
4,7,9
4,8,18
4,10,20
4,11,28
4,13,21
4,16,15
4,19,26
4,22,29
4,36,23
4,39,24
4,38,25
4,27,37
4,30,31
4,34,33
5,4,0
5,1,3
5,8,2
5,5,6
5,7,17
5,9,20
5,12,10
5,15,11
5,13,18
5,14,21
5,16,26
5,19,29
5,22,30
5,33,23
5,38,24
5,25,31
5,27,32
5,28,36
5,35,34
5,37,39
6,0,1
6,2,4
6,3,13
6,5,7
6,6,16
6,8,10
6,34,9
6,18,11
6,14,12
6,15,21
6,17,22
6,23,19
6,20,29
6,24,37
6,30,25
6,26,32
6,27,36
6,28,33
6,31,39
6,35,38
7,0,8
7,1,13
7,2,5
7,3,14
7,4,16
7,6,15
7,7,10
7,30,9
7,17,11
7,12,22
7,18,24
7,19,20
7,21,33
7,23,37
7,28,25
7,39,26
7,29,27
7,35,31
7,32,36
7,34,38
8,10,0
8,1,14
8,6,2
8,3,12
8,4,15
8,5,13
8,7,16
8,8,23
8,27,9
8,11,22
8,17,18
8,19,24
8,20,35
8,21,39
8,25,37
8,38,26
8,30,28
8,29,34
8,36,31
8,32,33
9,16,0
9,5,1
9,2,12
9,4,3
9,20,6
9,7,8
9,9,15
9,14,10
9,11,23
9,13,17
9,18,19
9,21,24
9,22,39
9,34,25
9,36,26
9,27,35
9,37,28
9,32,29
9,33,30
9,31,38
10,15,0
10,10,1
10,2,7
10,3,16
10,8,4
10,18,5
10,19,6
10,9,11
10,12,23
10,14,13
10,24,17
10,31,20
10,22,21
10,35,25
10,26,37
10,27,39
10,34,28
10,29,38
10,30,32
10,36,33
11,0,9
11,1,16
11,10,2
11,8,3
11,4,7
11,17,5
11,13,6
11,11,14
11,15,12
11,23,18
11,21,19
11,39,20
11,22,37
11,34,24
11,33,25
11,26,27
11,28,32
11,29,31
11,30,38
11,35,36
12,7,0
12,1,4
12,13,2
12,11,3
12,15,5
12,6,8
12,9,14
12,10,22
12,16,12
12,19,17
12,26,18
12,38,20
12,21,37
12,23,30
12,32,24
12,25,27
12,28,35
12,36,29
12,33,31
12,39,34
13,14,0
13,1,2
13,3,10
13,4,9
13,5,22
13,12,6
13,13,7
13,8,11
13,20,15
13,16,19
13,34,17
13,25,18
13,21,28
13,23,27
13,24,30
13,31,26
13,37,29
13,32,39
13,33,35
13,38,36
14,12,0
14,9,1
14,2,11
14,6,3
14,4,10
14,5,21
14,14,7
14,8,22
14,37,13
14,18,15
14,16,20
14,38,17
14,19,32
14,25,23
14,24,33
14,26,30
14,27,28
14,35,29
14,31,34
14,39,36
15,0,11
15,12,1
15,2,21
15,5,3
15,6,4
15,15,7
15,9,8
15,10,18
15,36,13
15,14,16
15,17,31
15,37,19
15,20,25
15,22,33
15,23,32
15,24,28
15,26,35
15,27,38
15,29,39
15,30,34
16,0,22
16,11,1
16,2,18
16,3,21
16,4,14
16,8,5
16,9,6
16,7,12
16,15,10
16,32,13
16,16,31
16,20,17
16,36,19
16,23,35
16,25,24
16,26,33
16,34,27
16,28,39
16,29,30
16,38,37
17,0,18
17,1,22
17,3,2
17,11,4
17,5,9
17,7,6
17,17,8
17,16,10
17,13,12
17,14,20
17,30,15
17,39,19
17,21,34
17,29,23
17,24,31
17,25,36
17,28,26
17,33,27
17,38,32
17,37,35
18,13,0
18,6,1
18,2,9
18,7,3
18,17,4
18,11,5
18,16,8
18,19,10
18,12,20
18,18,14
18,35,15
18,21,36
18,22,34
18,23,28
18,24,29
18,26,25
18,31,27
18,39,30
18,37,32
18,38,33
19,0,2
19,1,7
19,3,9
19,12,4
19,10,5
19,6,11
19,13,8
19,17,14
19,33,15
19,18,16
19,19,22
19,20,36
19,27,21
19,23,24
19,25,29
19,26,34
19,31,28
19,37,30
19,35,32
19,39,38
