396,Heuristic,10000000,7230.000000,1,0.005000,500000,40,10
Time,Value 
Final, 990,7231

NrViolations,0
Round,H_team,A_team 
0,0,8
0,1,4
0,9,2
0,5,3
0,6,7
0,10,11
0,16,12
0,13,14
0,15,27
0,17,18
0,21,19
0,22,20
0,23,29
0,26,24
0,25,33
0,28,30
0,39,31
0,37,32
0,36,34
0,38,35
1,4,0
1,1,6
1,11,2
1,3,8
1,10,5
1,9,7
1,14,12
1,17,13
1,18,15
1,16,27
1,20,19
1,21,24
1,22,29
1,28,23
1,35,25
1,26,33
1,30,34
1,38,31
1,36,32
1,39,37
2,7,0
2,3,1
2,8,2
2,4,6
2,12,5
2,9,10
2,14,11
2,16,13
2,17,15
2,18,20
2,19,27
2,21,30
2,24,22
2,31,23
2,34,25
2,37,26
2,35,28
2,29,33
2,32,38
2,36,39
3,6,0
3,1,9
3,2,4
3,7,3
3,13,5
3,8,10
3,11,12
3,15,14
3,18,16
3,20,17
3,19,30
3,22,21
3,27,23
3,24,37
3,29,25
3,39,26
3,34,28
3,31,36
3,35,32
3,33,38
4,0,9
4,1,2
4,10,3
4,4,15
4,5,7
4,6,8
4,16,11
4,13,12
4,14,24
4,21,17
4,22,18
4,25,19
4,23,20
4,38,26
4,27,37
4,32,28
4,29,36
4,30,31
4,33,35
4,34,39
5,2,0
5,13,1
5,12,3
5,7,4
5,5,8
5,6,9
5,10,15
5,17,11
5,14,16
5,18,24
5,26,19
5,20,21
5,23,22
5,27,25
5,28,36
5,31,29
5,30,39
5,32,33
5,35,34
5,37,38
6,3,0
6,12,1
6,7,2
6,4,8
6,5,6
6,9,14
6,10,13
6,15,11
6,17,16
6,18,21
6,22,19
6,20,24
6,25,23
6,26,27
6,28,29
6,30,35
6,31,33
6,32,39
6,34,37
6,36,38
7,0,5
7,7,1
7,2,3
7,4,10
7,6,14
7,8,9
7,11,13
7,15,12
7,16,21
7,23,17
7,19,18
7,26,20
7,39,22
7,24,25
7,28,27
7,29,30
7,31,32
7,33,37
7,34,38
7,35,36
8,0,10
8,1,5
8,2,6
8,3,4
8,11,7
8,8,14
8,9,13
8,12,18
8,15,16
8,19,17
8,25,20
8,21,28
8,38,22
8,24,23
8,29,26
8,27,31
8,30,32
8,33,34
8,39,35
8,37,36
9,0,1
9,2,10
9,3,6
9,5,4
9,8,7
9,12,9
9,11,18
9,13,15
9,14,17
9,19,16
9,20,28
9,23,21
9,36,22
9,24,31
9,25,26
9,27,29
9,33,30
9,32,34
9,37,35
9,38,39
