11,Heuristic,10000000,7230.000000,1,0.005000,500000,32,24
Time,Value 
Final, 400821,7231

NrViolations,0
Round,H_team,A_team 
0,0,21
0,26,1
0,29,2
0,8,3
0,7,4
0,28,5
0,6,22
0,16,9
0,23,10
0,11,17
0,15,12
0,13,18
0,14,30
0,19,25
0,20,24
0,31,27
1,0,13
1,10,1
1,8,2
1,22,3
1,4,24
1,15,5
1,6,25
1,7,9
1,11,19
1,17,12
1,28,14
1,16,21
1,31,18
1,23,20
1,26,29
1,30,27
2,0,15
2,1,6
2,23,2
2,7,3
2,4,25
2,12,5
2,26,8
2,22,9
2,10,29
2,27,11
2,16,13
2,31,14
2,17,19
2,28,18
2,30,20
2,24,21
3,5,0
3,1,8
3,2,7
3,3,13
3,22,4
3,17,6
3,9,28
3,10,26
3,11,23
3,12,31
3,14,20
3,19,15
3,27,16
3,18,30
3,21,29
3,25,24
4,20,0
4,14,1
4,3,2
4,4,28
4,18,5
4,11,6
4,7,26
4,24,8
4,9,10
4,27,12
4,13,23
4,29,15
4,25,16
4,31,17
4,19,30
4,21,22
5,23,0
5,12,1
5,16,2
5,19,3
5,4,31
5,26,5
5,6,9
5,7,24
5,8,22
5,25,10
5,29,11
5,13,14
5,15,17
5,18,27
5,20,28
5,21,30
6,0,19
6,11,1
6,2,24
6,3,9
6,8,4
6,5,31
6,6,27
6,28,7
6,10,21
6,12,29
6,15,13
6,14,25
6,20,16
6,30,17
6,26,18
6,22,23
7,0,3
7,1,20
7,2,9
7,4,29
7,5,27
7,6,23
7,15,7
7,19,8
7,30,10
7,11,21
7,12,28
7,26,13
7,14,16
7,17,25
7,24,18
7,22,31
8,1,0
8,2,26
8,3,6
8,4,12
8,5,16
8,21,7
8,18,8
8,9,13
8,31,10
8,11,14
8,30,15
8,17,28
8,19,23
8,25,20
8,27,22
8,24,29
9,9,0
9,1,25
9,31,2
9,3,4
9,29,5
9,6,8
9,7,20
9,13,10
9,24,11
9,12,22
9,17,14
9,15,28
9,16,26
9,18,19
9,21,27
9,23,30
10,25,0
10,19,1
10,15,2
10,16,3
10,5,4
10,6,26
10,18,7
10,8,30
10,9,24
10,10,11
10,12,14
10,29,13
10,20,17
10,31,21
10,28,22
10,23,27
11,0,7
11,16,1
11,2,19
11,3,23
11,4,10
11,8,5
11,6,18
11,27,9
11,25,11
11,26,12
11,20,13
11,14,29
11,15,31
11,24,17
11,28,21
11,22,30
12,2,0
12,3,1
12,4,20
12,22,5
12,30,6
12,7,19
12,29,8
12,11,9
12,10,17
12,25,12
12,21,13
12,14,15
12,24,16
12,18,23
12,27,26
12,31,28
13,28,0
13,1,18
13,14,2
13,3,25
13,4,23
13,5,10
13,13,6
13,8,7
13,9,30
13,11,12
13,21,15
13,16,19
13,17,26
13,20,31
13,22,24
13,27,29
14,12,0
14,1,30
14,2,10
14,20,3
14,9,4
14,5,24
14,15,6
14,29,7
14,8,14
14,26,11
14,13,27
14,16,22
14,21,17
14,25,18
14,19,28
14,23,31
15,0,22
15,1,4
15,6,2
15,3,28
15,5,14
15,7,16
15,20,8
15,19,9
15,10,18
15,11,30
15,12,21
15,13,25
15,15,27
15,23,17
15,24,26
15,29,31
16,0,14
16,27,1
16,2,28
16,17,3
16,26,4
16,19,5
16,6,29
16,7,11
16,21,8
16,18,9
16,10,24
16,12,20
16,31,13
16,22,15
16,23,16
16,30,25
17,0,18
17,1,5
17,2,11
17,30,3
17,4,16
17,7,6
17,8,15
17,9,17
17,10,22
17,13,12
17,14,21
17,24,19
17,29,20
17,28,23
17,25,27
17,26,31
18,24,0
18,1,17
18,2,4
18,29,3
18,5,6
18,14,7
18,28,8
18,9,31
18,27,10
18,16,11
18,12,23
18,13,30
18,20,15
18,18,21
18,22,19
18,26,25
19,10,0
19,24,1
19,5,2
19,3,26
19,4,21
19,19,6
19,30,7
19,13,8
19,9,29
19,11,28
19,16,12
19,14,27
19,15,23
19,17,18
19,22,20
19,25,31
20,4,0
20,1,29
20,2,22
20,3,12
20,21,5
20,6,20
20,10,7
20,31,8
20,25,9
20,11,18
20,17,13
20,23,14
20,16,15
20,19,26
20,30,24
20,27,28
21,0,26
21,1,9
21,2,12
21,3,15
21,27,4
21,23,5
21,6,16
21,7,22
21,8,17
21,10,14
21,31,11
21,13,24
21,18,20
21,21,19
21,25,29
21,28,30
22,0,6
22,28,1
22,21,2
22,5,3
22,17,4
22,7,25
22,8,23
22,9,15
22,20,10
22,13,11
22,12,19
22,26,14
22,18,16
22,29,22
22,27,24
22,30,31
23,0,16
23,31,1
23,20,2
23,18,3
23,14,4
23,5,7
23,24,6
23,8,10
23,9,26
23,15,11
23,30,12
23,28,13
23,17,27
23,29,19
23,23,21
23,22,25
