396,Heuristic,10000000,7230.000000,1,0.005000,500000,16,12
Time,Value 
Final, 120974,7231

NrViolations,0
Round,H_team,A_team 
0,10,0
0,15,1
0,2,5
0,3,13
0,4,6
0,9,7
0,11,8
0,12,14
1,8,0
1,14,1
1,2,4
1,5,3
1,9,6
1,7,13
1,10,11
1,12,15
2,0,13
2,12,1
2,15,2
2,3,6
2,9,4
2,5,11
2,7,14
2,8,10
3,0,15
3,1,9
3,13,2
3,3,8
3,10,4
3,5,14
3,6,11
3,7,12
4,0,7
4,1,5
4,11,2
4,3,9
4,4,15
4,6,12
4,8,14
4,13,10
5,2,0
5,4,1
5,15,3
5,5,9
5,6,13
5,8,7
5,14,10
5,11,12
6,0,6
6,2,1
6,14,3
6,4,8
6,7,5
6,9,11
6,15,10
6,12,13
7,0,4
7,1,8
7,10,2
7,11,3
7,15,5
7,7,6
7,12,9
7,13,14
8,0,14
8,7,1
8,12,2
8,3,4
8,10,5
8,6,8
8,13,9
8,11,15
9,11,0
9,1,6
9,14,2
9,3,7
9,5,4
9,8,13
9,15,9
9,10,12
10,5,0
10,1,3
10,2,7
10,4,12
10,6,10
10,9,8
10,13,11
10,14,15
11,1,0
11,2,3
11,4,7
11,6,5
11,8,12
11,9,10
11,14,11
11,13,15
