11,Heuristic,10000000,7230.000000,1,0.005000,500000,24,6
Time,Value 
Final, 48579,7231

NrViolations,0
Round,H_team,A_team 
0,0,6
0,4,1
0,22,2
0,3,19
0,5,12
0,7,14
0,9,8
0,10,18
0,23,11
0,17,13
0,16,15
0,20,21
1,22,0
1,1,16
1,8,2
1,3,21
1,4,15
1,5,20
1,9,6
1,7,12
1,10,11
1,13,14
1,17,19
1,23,18
2,8,0
2,1,3
2,2,18
2,16,4
2,7,5
2,21,6
2,22,9
2,10,23
2,11,17
2,12,20
2,13,19
2,15,14
3,9,0
3,1,7
3,2,10
3,4,3
3,15,5
3,6,23
3,8,22
3,11,16
3,14,12
3,21,13
3,18,17
3,19,20
4,0,23
4,15,1
4,2,17
4,3,13
4,12,4
4,14,5
4,6,10
4,19,7
4,20,8
4,21,9
4,11,22
4,18,16
5,0,10
5,5,1
5,23,2
5,20,3
5,14,4
5,6,22
5,16,7
5,19,8
5,13,9
5,18,11
5,12,15
5,17,21
