10000,Heuristic,10000000,7230.000000,1,0.005000,500000,40,20
Time,Value 
Final, 2646,7231

NrViolations,0
Round,H_team,A_team 
0,32,0
0,35,1
0,3,2
0,31,4
0,14,5
0,6,8
0,12,7
0,9,11
0,10,20
0,13,15
0,18,16
0,39,17
0,19,21
0,29,22
0,26,23
0,24,30
0,28,25
0,27,33
0,36,34
0,37,38
1,0,34
1,36,1
1,2,37
1,3,6
1,30,4
1,12,5
1,14,7
1,8,20
1,21,9
1,13,10
1,11,18
1,26,15
1,16,19
1,38,17
1,27,22
1,24,23
1,35,25
1,28,32
1,29,33
1,31,39
2,0,37
2,38,1
2,2,36
2,3,17
2,35,4
2,8,5
2,6,7
2,19,9
2,16,10
2,15,11
2,22,12
2,13,20
2,14,18
2,21,24
2,23,32
2,34,25
2,33,26
2,27,28
2,29,39
2,30,31
3,4,0
3,1,37
3,38,2
3,7,3
3,5,30
3,6,36
3,8,35
3,16,9
3,17,10
3,11,13
3,20,12
3,22,14
3,15,18
3,19,24
3,21,33
3,23,27
3,25,32
3,34,26
3,28,39
3,31,29
4,0,28
4,4,1
4,39,2
4,3,38
4,5,6
4,7,36
4,9,8
4,10,35
4,11,30
4,18,12
4,13,16
4,17,14
4,15,20
4,19,27
4,31,21
4,22,23
4,24,26
4,25,33
4,37,29
4,32,34
5,0,38
5,1,7
5,2,28
5,9,3
5,4,6
5,5,35
5,8,11
5,10,30
5,12,14
5,26,13
5,17,15
5,16,27
5,18,19
5,20,22
5,32,21
5,23,25
5,24,31
5,36,29
5,33,34
5,39,37
6,39,0
6,1,3
6,2,7
6,9,4
6,36,5
6,6,19
6,8,18
6,14,10
6,11,12
6,27,13
6,23,15
6,16,17
6,34,20
6,29,21
6,22,25
6,35,24
6,26,31
6,37,28
6,30,32
6,33,38
7,0,6
7,2,1
7,3,39
7,11,4
7,34,5
7,7,18
7,8,19
7,22,9
7,10,12
7,21,13
7,16,14
7,25,15
7,17,23
7,32,20
7,33,24
7,26,29
7,27,30
7,28,31
7,37,35
7,38,36
8,36,0
8,1,39
8,14,2
8,3,11
8,7,4
8,32,5
8,37,6
8,12,8
8,25,9
8,10,18
8,13,23
8,15,16
8,19,17
8,30,20
8,22,21
8,29,24
8,27,26
8,28,34
8,31,33
8,38,35
9,0,35
9,1,11
9,13,2
9,5,3
9,4,34
9,6,12
9,10,7
9,16,8
9,24,9
9,14,23
9,15,22
9,20,17
9,18,25
9,19,31
9,21,27
9,28,26
9,29,30
9,38,32
9,39,33
9,36,37
10,0,33
10,1,34
10,11,2
10,3,12
10,5,4
10,9,6
10,8,7
10,39,10
10,19,13
10,14,15
10,16,22
10,17,25
10,21,18
10,20,31
10,23,29
10,24,27
10,26,36
10,35,28
10,30,38
10,37,32
11,7,0
11,32,1
11,2,10
11,15,3
11,4,12
11,39,5
11,6,11
11,37,8
11,9,14
11,18,13
11,24,16
11,17,22
11,23,19
11,20,29
11,21,26
11,25,36
11,27,31
11,28,30
11,33,35
11,34,38
12,9,0
12,33,1
12,5,2
12,18,3
12,4,14
12,6,10
12,7,11
12,38,8
12,12,17
12,13,24
12,27,15
12,28,16
12,19,20
12,23,21
12,22,26
12,25,29
12,30,34
12,31,37
12,32,36
12,35,39
13,10,0
13,1,5
13,2,31
13,13,3
13,4,38
13,6,14
13,7,9
13,39,8
13,11,17
13,12,24
13,19,15
13,25,16
13,18,32
13,20,23
13,21,28
13,34,22
13,26,37
13,29,27
13,30,33
13,36,35
14,0,5
14,8,1
14,2,4
14,3,31
14,13,6
14,15,7
14,9,10
14,11,19
14,16,12
14,14,24
14,17,32
14,23,18
14,20,21
14,35,22
14,26,25
14,27,37
14,28,33
14,34,29
14,36,30
14,38,39
15,0,30
15,12,1
15,2,34
15,37,3
15,4,8
15,5,11
15,6,15
15,17,7
15,9,13
15,10,19
15,20,14
15,21,16
15,24,18
15,33,22
15,23,28
15,31,25
15,26,32
15,38,27
15,35,29
15,36,39
16,0,27
16,13,1
16,8,2
16,35,3
16,37,4
16,5,15
16,38,6
16,16,7
16,17,9
16,10,11
16,12,19
16,21,14
16,18,20
16,22,28
16,31,23
16,25,24
16,30,26
16,32,29
16,33,36
16,39,34
17,2,0
17,1,27
17,36,3
17,4,10
17,7,5
17,39,6
17,8,13
17,15,9
17,11,16
17,12,21
17,19,14
17,29,17
17,18,22
17,20,26
17,34,23
17,24,28
17,30,25
17,31,38
17,32,35
17,37,33
18,3,0
18,1,6
18,9,2
18,4,39
18,5,10
18,7,13
18,14,8
18,11,21
18,15,12
18,20,16
18,27,17
18,18,26
18,25,19
18,22,24
18,33,23
18,28,36
18,29,38
18,30,37
18,32,31
18,34,35
19,1,0
19,6,2
19,3,4
19,5,9
19,7,39
19,10,8
19,14,11
19,12,13
19,15,21
19,23,16
19,17,18
19,22,19
19,24,20
19,25,27
19,26,38
19,29,28
19,35,30
19,31,36
19,33,32
19,34,37
