1217,Heuristic,10000000,7230.000000,1,0.005000,500000,40,30
Time,Value 
Final, 820,7231

NrViolations,0
Round,H_team,A_team 
0,0,9
0,1,39
0,2,3
0,27,4
0,20,5
0,8,6
0,13,7
0,10,25
0,11,12
0,14,29
0,34,15
0,19,16
0,24,17
0,18,33
0,28,21
0,22,26
0,23,31
0,38,30
0,37,32
0,36,35
1,0,39
1,1,15
1,2,12
1,13,3
1,24,4
1,18,5
1,19,6
1,20,7
1,8,16
1,27,9
1,10,30
1,11,25
1,14,26
1,36,17
1,37,21
1,22,35
1,23,29
1,28,31
1,34,32
1,38,33
2,0,25
2,1,3
2,27,2
2,9,4
2,5,32
2,6,33
2,28,7
2,8,17
2,20,10
2,11,21
2,23,12
2,13,34
2,14,15
2,37,16
2,18,29
2,19,35
2,22,30
2,24,31
2,38,26
2,36,39
3,32,0
3,33,1
3,35,2
3,3,38
3,4,34
3,5,23
3,6,20
3,7,22
3,21,8
3,9,24
3,15,10
3,39,11
3,12,37
3,26,13
3,30,14
3,16,36
3,17,27
3,31,18
3,29,19
3,25,28
4,16,0
4,35,1
4,32,2
4,3,8
4,4,20
4,5,36
4,6,21
4,7,10
4,9,13
4,17,11
4,12,24
4,33,14
4,15,37
4,26,18
4,23,19
4,25,22
4,30,27
4,29,28
4,31,38
4,39,34
5,2,0
5,29,1
5,3,20
5,4,28
5,12,5
5,39,6
5,7,37
5,15,8
5,10,9
5,23,11
5,13,27
5,16,14
5,17,38
5,34,18
5,22,19
5,25,21
5,35,24
5,33,26
5,30,31
5,32,36
6,0,6
6,1,7
6,2,29
6,36,3
6,37,4
6,38,5
6,8,25
6,19,9
6,10,16
6,11,26
6,20,12
6,13,39
6,14,31
6,23,15
6,22,17
6,18,32
6,34,21
6,24,30
6,27,35
6,28,33
7,0,13
7,1,32
7,2,30
7,3,4
7,5,31
7,24,6
7,14,7
7,8,33
7,21,9
7,27,10
7,11,16
7,38,12
7,19,15
7,28,17
7,18,35
7,20,39
7,22,29
7,34,23
7,37,25
7,36,26
8,0,4
8,1,24
8,21,2
