588,Heuristic,10000000,7230.000000,1,0.005000,500000,40,30
Time,Value 
Final, 103756,7231

NrViolations,0
Round,H_team,A_team 
0,13,0
0,2,1
0,3,38
0,18,4
0,5,15
0,6,21
0,7,11
0,36,8
0,30,9
0,39,10
0,23,12
0,29,14
0,16,22
0,31,17
0,19,37
0,33,20
0,24,26
0,35,25
0,27,32
0,28,34
1,0,1
1,16,2
1,3,18
1,4,21
1,5,22
1,6,38
1,13,7
1,8,32
1,29,9
1,36,10
1,11,37
1,35,12
1,14,31
1,24,15
1,27,17
1,33,19
1,20,28
1,23,25
1,30,26
1,39,34
2,0,12
2,1,36
2,5,2
2,35,3
2,4,27
2,6,32
2,7,18
2,8,29
2,9,31
2,21,10
2,16,11
2,13,28
2,14,26
2,34,15
2,24,17
2,39,19
2,20,37
2,30,22
2,33,23
2,25,38
3,0,29
3,1,31
3,10,2
3,32,3
3,25,4
3,14,5
3,19,6
3,12,7
3,8,24
3,9,33
3,21,11
3,38,13
3,15,28
3,20,16
3,17,30
3,22,18
3,23,35
3,26,27
3,34,36
3,37,39
4,11,0
4,1,17
4,2,39
4,23,3
4,30,4
4,9,5
4,6,25
4,27,7
4,28,8
4,18,10
4,31,12
4,32,13
4,15,14
4,21,16
4,19,35
4,38,20
4,22,33
4,24,29
4,26,36
4,37,34
5,19,0
5,16,1
5,15,2
5,3,17
5,29,4
5,5,39
5,6,11
5,32,7
5,38,8
5,25,9
5,30,10
5,26,12
5,35,13
5,23,14
5,18,33
5,34,20
5,28,21
5,24,22
5,31,27
5,36,37
6,16,0
6,1,15
6,13,2
6,31,3
6,4,11
6,6,5
6,7,23
6,35,8
6,24,9
6,29,10
6,27,12
6,33,14
6,17,26
6,18,19
6,25,20
6,21,30
6,34,22
6,28,32
6,39,36
6,37,38
7,0,27
7,1,13
7,2,23
7,3,11
7,15,4
7,5,35
7,8,6
7,7,31
7,9,18
7,10,16
7,12,21
7,14,17
7,22,19
7,20,30
7,34,24
7,36,25
7,29,26
7,37,28
7,33,32
7,39,38
8,0,31
8,7,1
8,2,30
8,39,3
8,9,4
8,5,16
8,6,35
8,8,27
8,10,23
8,11,36
8,12,25
8,13,29
8,14,21
8,15,32
8,17,37
8,26,18
8,19,28
8,22,20
8,38,24
8,33,34
9,8,0
9,11,1
9,2,29
9,28,3
9,4,12
9,5,7
9,22,6
9,9,21
9,20,10
9,13,33
9,14,37
9,15,36
9,23,16
9,17,25
9,18,31
9,19,27
9,32,24
9,38,26
9,30,39
9,35,34
10,4,0
10,21,1
10,31,2
10,16,3
10,34,5
10,18,6
10,25,7
10,10,8
10,28,9
10,11,22
10,12,29
10,13,14
10,23,15
10,17,39
10,19,38
10,20,36
10,24,35
10,32,26
10,27,33
10,30,37
11,3,0
11,1,14
11,26,2
11,24,4
11,32,5
11,12,6
11,34,7
11,15,8
11,39,9
11,10,11
11,27,13
11,37,16
11,28,17
11,25,18
11,30,19
11,20,23
11,21,22
11,29,35
11,31,33
11,36,38
12,0,14
12,4,1
12,27,2
12,3,25
12,38,5
12,6,24
12,7,30
12,11,8
12,37,9
12,10,22
12,12,28
12,31,13
12,15,20
12,39,16
12,33,17
12,34,18
12,29,19
12,21,23
12,26,35
12,36,32
13,0,21
13,1,3
13,2,33
13,4,6
13,5,10
13,7,24
13,8,12
13,9,36
13,11,23
13,26,13
13,14,19
13,15,30
13,16,17
13,38,18
13,20,39
13,22,28
13,25,34
13,35,27
13,29,31
13,37,32
14,30,0
14,1,6
14,2,21
14,3,24
14,4,5
14,7,14
14,8,33
14,16,9
14,10,37
14,11,26
14,20,12
14,13,15
14,17,36
14,18,28
14,19,32
14,22,39
14,23,27
14,25,31
14,34,29
14,35,38
15,17,0
15,34,1
15,2,14
15,3,27
15,8,4
15,18,5
15,6,37
15,16,7
15,13,9
15,10,19
15,20,11
15,22,12
15,15,39
15,21,33
15,23,26
15,24,31
15,32,25
15,28,35
15,38,29
15,30,36
16,0,5
16,25,1
16,9,2
16,3,8
16,4,37
16,6,13
16,19,7
16,27,10
16,15,11
16,12,30
16,14,20
16,38,16
16,17,18
16,39,21
16,31,22
16,23,24
16,26,34
16,33,28
16,32,29
16,36,35
17,0,38
17,1,30
17,18,2
17,19,3
17,4,17
17,5,13
17,6,23
17,28,7
17,14,8
17,9,20
17,26,10
17,11,39
17,12,15
17,32,16
17,36,21
17,27,22
17,33,24
17,29,25
17,31,34
17,37,35
18,2,0
18,1,32
18,3,10
18,19,4
18,25,5
18,29,6
18,7,38
18,18,8
18,9,23
18,11,33
18,12,14
18,13,30
18,22,15
18,35,16
18,17,20
18,37,21
18,36,24
18,26,31
18,27,34
18,28,39
19,0,23
19,1,27
19,2,3
19,39,4
19,24,5
19,31,6
19,7,15
19,8,37
19,17,9
19,10,38
19,34,11
19,18,12
19,22,13
19,30,14
19,16,19
19,20,32
19,21,29
19,25,26
19,28,36
19,33,35
20,0,28
20,22,1
20,2,37
20,14,3
20,36,4
20,5,19
20,27,6
20,33,7
20,8,34
20,9,26
20,10,32
20,38,11
20,12,13
20,15,18
20,16,29
20,21,17
20,31,20
20,23,39
20,24,25
20,35,30
21,0,15
21,12,1
21,6,2
21,9,3
21,4,26
21,5,29
21,37,7
21,8,16
21,25,10
21,32,11
21,18,13
21,24,14
21,17,22
21,19,34
21,27,20
21,21,31
21,23,28
21,38,30
21,36,33
21,35,39
22,9,0
22,1,24
22,2,35
22,3,15
22,4,10
22,5,8
22,16,6
22,39,7
22,11,28
22,17,12
22,13,21
22,25,14
22,18,27
22,19,23
22,26,20
22,29,22
22,34,30
22,36,31
22,38,32
22,37,33
23,0,24
23,20,1
23,2,4
23,3,12
23,11,5
23,10,6
23,7,8
23,32,9
23,13,23
23,34,14
23,15,21
23,16,25
23,17,35
23,29,18
23,19,36
23,26,22
23,30,27
23,28,38
23,37,31
23,39,33
24,32,0
24,1,26
24,2,24
24,3,13
24,4,35
24,5,12
24,6,9
24,7,29
24,8,25
24,10,15
24,11,19
24,14,27
24,28,16
24,34,17
24,30,18
24,21,20
24,22,37
24,23,36
24,31,39
24,33,38
25,35,0
25,10,1
25,22,2
25,5,3
25,4,34
25,6,26
25,7,20
25,8,9
25,12,11
25,13,19
25,14,28
25,15,33
25,36,16
25,38,17
25,18,37
25,24,21
25,23,29
25,25,30
25,27,39
25,31,32
26,0,10
26,23,1
26,2,28
26,3,29
26,4,31
26,5,20
26,6,34
26,35,7
26,8,26
26,9,14
26,18,11
26,12,37
26,13,39
26,15,19
26,16,33
26,32,17
26,25,21
26,22,36
26,24,30
26,27,38
27,0,18
27,19,1
27,20,2
27,3,22
27,16,4
27,21,5
27,33,6
27,26,7
27,17,8
27,9,12
27,10,28
27,14,11
27,13,36
27,27,15
27,34,23
27,39,24
27,37,25
27,29,30
27,31,38
27,35,32
28,20,0
28,1,18
28,17,2
28,26,3
28,33,4
28,36,5
28,39,6
28,7,9
28,30,8
28,10,13
28,11,35
28,12,16
28,14,22
28,31,15
28,21,19
28,38,23
28,37,24
28,28,25
28,29,27
28,32,34
29,22,0
29,1,9
29,12,2
29,7,3
29,28,4
29,37,5
29,36,6
29,21,8
29,33,10
29,11,13
29,14,18
29,26,15
29,30,16
29,29,17
29,20,19
29,32,23
29,24,27
29,39,25
29,35,31
29,38,34
