588,Heuristic,10000000,7230.000000,1,0.005000,500000,40,10
Time,Value 
Final, 944,7231

NrViolations,0
Round,H_team,A_team 
0,0,1
0,2,9
0,3,4
0,5,7
0,6,8
0,10,11
0,15,12
0,18,13
0,21,14
0,17,16
0,20,19
0,26,22
0,23,25
0,27,24
0,31,28
0,30,29
0,32,33
0,35,34
0,37,36
0,39,38
1,10,0
1,1,9
1,2,3
1,11,4
1,5,8
1,6,7
1,12,13
1,20,14
1,15,17
1,18,16
1,21,19
1,30,22
1,23,27
1,29,24
1,25,26
1,39,28
1,36,31
1,37,32
1,34,33
1,38,35
2,7,0
2,3,1
2,2,15
2,12,4
2,10,5
2,9,6
2,8,11
2,13,20
2,14,17
2,21,16
2,19,18
2,29,22
2,23,26
2,25,24
2,27,37
2,36,28
2,33,30
2,34,31
2,38,32
2,39,35
3,3,0
3,1,15
3,4,2
3,9,5
3,6,10
3,7,8
3,13,11
3,14,12
3,16,20
3,17,25
3,22,18
3,19,23
3,24,21
3,26,27
3,28,38
3,29,37
3,30,32
3,33,31
3,34,39
3,35,36
4,0,15
4,4,1
4,6,2
4,5,3
4,7,9
4,8,10
4,11,14
4,17,12
4,16,13
4,18,20
4,19,25
4,27,21
4,22,23
4,24,38
4,32,26
4,28,30
4,35,29
4,31,37
4,33,39
4,36,34
5,4,0
5,10,1
5,8,2
5,3,7
5,5,6
5,9,11
5,18,12
5,17,13
5,14,19
5,15,16
5,20,25
5,23,21
5,22,38
5,24,28
5,36,26
5,27,30
5,39,29
5,31,32
5,35,33
5,37,34
6,8,0
6,6,1
6,2,7
6,10,3
6,5,4
6,14,9
6,12,11
6,15,13
6,16,19
6,18,17
6,20,22
6,21,28
6,23,24
6,25,30
6,34,26
6,33,27
6,38,29
6,31,35
6,32,36
6,39,37
7,0,6
7,1,7
7,2,5
7,11,3
7,4,8
7,13,9
7,12,10
7,14,18
7,15,19
7,16,23
7,20,17
7,22,21
7,26,24
7,25,31
7,29,27
7,28,34
7,30,35
7,32,39
7,33,36
7,37,38
8,0,5
8,1,2
8,8,3
8,4,6
8,7,18
8,9,12
8,13,10
8,11,23
8,16,14
8,22,15
8,19,17
8,24,20
8,25,21
8,26,31
8,28,27
8,29,34
8,30,39
8,32,35
8,37,33
8,38,36
9,0,2
9,1,5
9,3,6
9,7,4
9,9,8
9,19,10
9,11,18
9,12,16
9,13,14
9,21,15
9,17,23
9,26,20
9,24,22
9,27,25
9,28,29
9,31,30
9,34,32
9,38,33
9,35,37
9,36,39
