588,Heuristic,10000000,7230.000000,1,0.005000,500000,32,16
Time,Value 
Final, 232322,7231

NrViolations,0
Round,H_team,A_team 
0,0,6
0,1,27
0,2,28
0,21,3
0,4,5
0,7,22
0,29,8
0,9,19
0,12,10
0,11,15
0,13,30
0,14,20
0,16,18
0,17,31
0,23,24
0,26,25
1,0,28
1,18,1
1,2,22
1,23,3
1,4,21
1,5,19
1,6,16
1,7,9
1,8,24
1,30,10
1,11,31
1,12,20
1,13,25
1,14,26
1,29,15
1,27,17
2,16,0
2,19,1
2,18,2
2,7,3
2,4,24
2,5,9
2,22,6
2,8,21
2,11,10
2,12,14
2,29,13
2,28,15
2,17,26
2,20,23
2,31,25
2,27,30
3,0,2
3,16,1
3,3,22
3,15,4
3,5,7
3,8,6
3,9,17
3,10,26
3,27,11
3,31,12
3,20,13
3,28,14
3,19,18
3,23,21
3,24,29
3,25,30
4,3,0
4,1,17
4,2,5
4,31,4
4,10,6
4,7,8
4,9,25
4,11,30
4,12,13
4,15,14
4,16,22
4,18,29
4,24,19
4,21,20
4,28,23
4,26,27
5,0,5
5,30,1
5,2,8
5,3,16
5,13,4
5,6,29
5,7,10
5,26,9
5,22,11
5,21,12
5,14,31
5,15,23
5,25,17
5,24,18
5,27,19
5,20,28
6,0,8
6,13,1
6,20,2
6,17,3
6,4,11
6,16,5
6,6,24
6,21,7
6,9,22
6,10,19
6,12,23
6,25,14
6,27,15
6,26,18
6,29,28
6,31,30
7,30,0
7,1,14
7,2,6
7,13,3
7,4,12
7,5,18
7,23,7
7,8,11
7,9,20
7,10,27
7,17,15
7,19,16
7,29,21
7,25,22
7,24,26
7,28,31
8,31,0
8,1,20
8,19,2
8,30,3
8,4,29
8,5,6
8,28,7
8,8,27
8,18,9
8,15,10
8,11,14
8,16,12
8,23,13
8,21,17
8,26,22
8,24,25
9,15,0
9,24,1
9,16,2
9,3,12
9,19,4
9,5,8
9,6,9
9,7,29
9,31,10
9,25,11
9,22,13
9,14,21
9,23,17
9,18,27
9,26,20
9,30,28
10,0,18
10,25,1
10,2,4
10,3,19
10,22,5
10,6,26
10,7,16
10,8,23
10,9,11
10,14,10
10,12,15
10,21,13
10,17,28
10,20,31
10,27,24
10,29,30
11,25,0
11,1,11
11,2,3
11,22,4
11,5,26
11,6,18
11,19,7
11,9,8
11,10,24
11,12,28
11,13,17
11,14,30
11,20,15
11,23,16
11,21,27
11,29,31
12,1,0
12,2,7
12,5,3
12,4,26
12,19,6
12,8,22
12,24,9
12,20,10
12,11,12
12,13,31
12,29,14
12,21,15
12,16,25
12,30,17
12,18,23
12,28,27
13,7,0
13,9,1
13,26,2
13,3,18
13,8,4
13,14,5
13,6,23
13,10,29
13,11,28
13,17,12
13,15,13
13,24,16
13,19,25
13,22,20
13,30,21
13,31,27
14,0,19
14,1,2
14,3,24
14,4,20
14,12,5
14,6,7
14,14,8
14,10,9
14,17,11
14,28,13
14,15,30
14,26,16
14,18,25
14,31,21
14,22,23
14,27,29
15,0,24
15,1,26
15,25,2
15,3,6
15,23,4
15,13,5
15,18,7
15,20,8
15,27,9
15,10,16
15,11,29
15,30,12
15,17,14
15,15,31
15,22,19
15,28,21
