5003,Heuristic,10000000,7230.000000,1,0.005000,500000,16,12
Time,Value 
Final, 126258,7231

NrViolations,0
Round,H_team,A_team 
0,4,0
0,10,1
0,12,2
0,6,3
0,5,15
0,8,7
0,11,9
0,13,14
1,0,3
1,11,1
1,14,2
1,12,4
1,5,6
1,7,15
1,8,13
1,10,9
2,0,9
2,6,1
2,2,8
2,5,3
2,14,4
2,7,13
2,10,11
2,15,12
3,2,0
3,1,12
3,3,8
3,4,7
3,9,5
3,6,13
3,14,10
3,15,11
4,1,0
4,5,2
4,15,3
4,4,6
4,7,12
4,9,8
4,13,10
4,11,14
5,0,6
5,5,1
5,2,4
5,11,3
5,9,7
5,8,14
5,12,10
5,13,15
6,14,0
6,1,2
6,3,4
6,7,5
6,15,6
6,10,8
6,13,9
6,12,11
7,12,0
7,1,4
7,3,2
7,8,5
7,6,14
7,7,10
7,15,9
7,11,13
8,11,0
8,1,3
8,9,2
8,4,15
8,5,10
8,8,6
8,7,14
8,13,12
9,0,5
9,8,1
9,2,11
9,3,7
9,4,13
9,6,12
9,9,14
9,10,15
10,0,13
10,9,1
10,2,7
10,3,12
10,10,4
10,14,5
10,6,11
10,15,8
11,0,10
11,1,7
11,2,6
11,3,9
11,4,11
11,13,5
11,12,8
11,14,15
