0,IP,40,10
Time,Value 
30,330
0,62400
Final, 330,280

Round,H_team,A_team 
0,27,0
0,1,21
0,12,2
0,8,3
0,4,29
0,5,37
0,6,14
0,25,7
0,9,33
0,10,15
0,31,11
0,13,34
0,23,16
0,17,39
0,18,28
0,19,20
0,22,24
0,38,26
0,35,30
0,32,36
1,0,26
1,15,1
1,2,6
1,10,3
1,4,12
1,5,13
1,18,7
1,8,24
1,14,9
1,11,36
1,21,16
1,31,17
1,27,19
1,20,38
1,30,22
1,23,32
1,37,25
1,28,34
1,29,33
1,39,35
2,31,0
2,39,1
2,5,2
2,3,15
2,26,4
2,28,6
2,7,8
2,34,9
2,36,10
2,33,11
2,12,19
2,24,13
2,35,14
2,16,37
2,27,17
2,25,18
2,21,20
2,38,22
2,23,29
2,30,32
3,0,18
3,1,27
3,2,4
3,3,5
3,6,7
3,14,8
3,30,9
3,10,35
3,11,39
3,29,12
3,19,13
3,15,31
3,16,26
3,17,20
3,25,21
3,22,23
3,24,28
3,32,38
3,36,33
3,37,34
4,0,5
4,17,1
4,2,31
4,9,3
4,36,4
4,6,30
4,7,10
4,8,21
4,11,25
4,22,12
4,13,14
4,15,16
4,33,18
4,19,26
4,34,20
4,24,23
4,28,27
4,29,32
4,35,38
4,37,39
5,1,0
5,20,2
5,3,6
5,4,7
5,5,8
5,9,10
5,11,12
5,13,15
5,14,16
5,17,19
5,18,37
5,21,22
5,25,23
5,27,24
5,26,32
5,35,28
5,30,29
5,31,36
5,39,33
5,38,34
6,0,22
6,1,8
6,33,2
6,3,37
6,32,4
6,19,5
6,6,25
6,7,39
6,29,9
6,24,10
6,13,11
6,12,14
6,15,17
6,16,34
6,18,30
6,20,31
6,23,21
6,26,35
6,27,38
6,36,28
7,0,28
7,1,37
7,2,11
7,30,3
7,4,5
7,6,8
7,7,9
7,10,12
7,16,13
7,14,15
7,17,18
7,21,19
7,20,22
7,26,23
7,24,35
7,34,25
7,32,27
7,29,36
7,31,33
7,38,39
8,19,0
8,9,1
8,3,2
8,4,6
8,5,7
8,8,10
8,11,14
8,12,13
8,15,18
8,16,17
8,23,20
8,39,21
8,22,35
8,32,24
8,25,27
8,33,26
8,28,29
8,34,30
8,37,31
8,38,36
9,34,0
9,2,1
9,7,3
9,8,4
9,21,5
9,9,6
9,10,11
9,12,15
9,13,17
9,14,32
9,36,16
9,18,19
9,20,24
9,22,27
9,37,23
9,33,25
9,26,29
9,28,38
9,39,30
9,35,31
Travel cost = 330
TTP violations cost = 0
