0,IP,40,10
Time,Value 
1650,1730
1620,1732
1590,1734
1560,1760
1530,1766
1500,1772
1470,1794
1440,1802
1410,1814
1380,1816
1350,1820
1320,1828
1290,1832
1260,1842
1230,1844
1200,1852
1170,1853
1140,1856
1110,1860
1080,1898
1050,2192
1020,2214
990,2232
960,2250
930,2254
900,2266
870,2848
360,3154
330,3178
300,3190
270,3192
240,3209
210,3218
180,3286
150,3332
120,3378
90,3432
60,3434
30,3442
0,852800
390,3146
420,3139
450,3118
480,3106
510,3098
540,3094
570,3076
600,3075
630,3074
660,3068
690,3056
720,3030
750,3018
780,2896
810,2880
840,2854
Final, 1730,300

Round,H_team,A_team 
0,1,0
0,2,10
0,3,9
0,5,4
0,6,7
0,8,25
0,12,11
0,13,22
0,14,16
0,15,26
0,17,20
0,19,18
0,21,28
0,23,24
0,27,29
0,31,30
0,32,33
0,34,35
0,37,36
0,38,39
1,0,5
1,6,1
1,2,9
1,7,3
1,11,4
1,8,10
1,14,12
1,13,25
1,15,16
1,17,26
1,20,18
1,39,19
1,27,21
1,22,28
1,29,23
1,24,32
1,30,33
1,37,31
1,36,34
1,35,38
2,7,0
2,1,9
2,2,5
2,12,3
2,10,4
2,23,6
2,34,8
2,13,11
2,20,14
2,17,15
2,16,26
2,18,28
2,38,19
2,31,21
2,22,35
2,25,24
2,27,36
2,32,29
2,39,30
2,33,37
3,4,0
3,1,7
3,3,2
3,5,12
3,28,6
3,24,8
3,9,10
3,11,31
3,15,13
3,19,14
3,16,17
3,18,22
3,39,20
3,32,21
3,26,23
3,25,35
3,33,27
3,29,37
3,36,30
3,38,34
4,0,20
4,34,1
4,2,7
4,3,5
4,12,4
4,38,6
4,27,8
4,9,15
4,10,31
4,18,11
4,14,13
4,16,22
4,19,17
4,21,23
4,24,29
4,26,25
4,28,37
4,35,30
4,36,32
4,33,39
5,0,2
5,21,1
5,13,3
5,4,9
5,5,38
5,6,14
5,7,18
5,8,20
5,10,15
5,11,19
5,12,31
5,28,16
5,17,22
5,23,39
5,35,24
5,34,25
5,29,26
5,30,27
5,37,32
5,36,33
6,9,0
6,5,1
6,4,2
6,14,3
6,6,17
6,7,8
6,10,12
6,11,15
6,19,13
6,32,16
6,21,18
6,20,38
6,22,23
6,34,24
6,33,25
6,26,35
6,31,27
6,30,28
6,29,36
6,39,37
7,0,6
7,1,17
7,2,14
7,3,4
7,9,5
7,7,12
7,8,35
7,22,10
7,24,11
7,20,13
7,15,19
7,25,16
7,18,38
7,26,21
7,23,27
7,33,28
7,29,30
7,31,36
7,39,32
7,37,34
8,0,17
8,4,1
8,20,2
8,6,3
8,8,5
8,11,7
8,12,9
8,23,10
8,16,13
8,14,29
8,18,15
8,22,19
8,25,21
8,24,36
8,27,26
8,28,39
8,30,32
8,31,34
8,38,33
8,35,37
9,3,0
9,1,2
9,4,7
9,5,6
9,9,8
9,10,11
9,13,12
9,15,14
9,16,29
9,17,18
9,19,20
9,21,22
9,25,23
9,26,24
9,28,27
9,30,34
9,32,31
9,35,33
9,36,39
9,37,38
Travel cost = 1730
TTP violations cost = 0
