0,IP,32,16
Time,Value 
1830,362382
1800,362607
1770,362663
840,426972
810,427038
780,428205
750,430303
720,430492
690,430591
660,432122
630,432147
600,435579
570,437358
540,439511
510,439978
480,440650
450,440684
420,441877
390,444797
0,33160640
30,457198
60,455992
90,455396
120,453972
150,453688
180,448816
210,448272
240,447931
270,447080
300,446842
330,446479
360,445082
870,426400
900,425757
930,425213
960,424307
990,414229
1020,410851
1050,410391
1080,408995
1110,404525
1140,403359
1170,399808
1200,395706
1230,395224
1260,392072
1290,392029
1320,391846
1350,387082
1380,386456
1410,382628
1440,381524
1470,375928
1500,375599
1530,374439
1560,368200
1590,368073
1620,367858
1650,367372
1680,366845
1710,366497
1740,363940
Final, 362382,24519

Round,H_team,A_team 
0,19,0
0,25,1
0,5,2
0,16,3
0,4,14
0,6,9
0,7,8
0,23,10
0,11,17
0,21,12
0,13,31
0,15,28
0,24,18
0,30,20
0,29,22
0,27,26
1,3,0
1,1,26
1,2,8
1,4,7
1,11,5
1,6,24
1,9,21
1,10,28
1,12,25
1,13,20
1,14,22
1,15,16
1,27,17
1,18,19
1,29,23
1,31,30
2,0,2
2,30,1
2,3,9
2,26,4
2,29,5
2,19,6
2,7,15
2,8,27
2,22,10
2,18,11
2,12,20
2,28,13
2,14,23
2,17,16
2,21,25
2,24,31
3,26,0
3,1,18
3,2,4
3,11,3
3,5,27
3,6,29
3,7,22
3,8,21
3,19,9
3,10,15
3,28,12
3,24,13
3,14,30
3,16,31
3,17,23
3,20,25
4,0,5
4,6,1
4,21,2
4,30,3
4,8,4
4,23,7
4,16,9
4,10,17
4,12,11
4,22,13
4,15,14
4,18,29
4,25,19
4,20,26
4,27,24
4,31,28
5,1,0
5,2,23
5,3,29
5,4,6
5,5,21
5,10,7
5,26,8
5,9,14
5,11,24
5,30,12
5,13,15
5,16,18
5,17,19
5,31,20
5,27,22
5,28,25
6,0,15
6,17,1
6,12,2
6,3,13
6,20,4
6,22,5
6,18,6
6,29,7
6,8,28
6,9,31
6,11,10
6,25,14
6,26,16
6,19,27
6,24,21
6,23,30
7,14,0
7,1,12
7,2,10
7,26,3
7,4,27
7,5,16
7,6,8
7,7,9
7,28,11
7,25,13
7,20,15
7,31,17
7,18,30
7,19,29
7,22,21
7,24,23
8,0,24
8,1,14
8,2,22
8,23,3
8,4,11
8,9,5
8,21,6
8,7,19
8,16,8
8,10,20
8,13,12
8,15,17
8,18,26
8,25,27
8,30,28
8,31,29
9,8,0
9,29,1
9,14,2
9,3,18
9,4,21
9,5,7
9,20,6
9,24,9
9,13,10
9,11,26
9,12,16
9,27,15
9,17,25
9,30,19
9,22,31
9,28,23
10,0,10
10,15,1
10,2,7
10,3,12
10,25,4
10,23,5
10,6,11
10,8,20
10,26,9
10,17,13
10,14,16
10,18,22
10,19,31
10,21,28
10,24,30
10,27,29
11,0,12
11,1,19
11,16,2
11,7,3
11,9,4
11,5,31
11,23,6
11,8,25
11,10,26
11,13,11
11,20,14
11,15,18
11,17,22
11,21,30
11,29,24
11,28,27
12,0,16
12,9,1
12,19,2
12,22,3
12,4,24
12,6,5
12,7,28
12,11,8
12,10,14
12,12,27
12,13,21
12,15,26
12,30,17
12,31,18
12,20,23
12,25,29
13,9,0
13,21,1
13,2,6
13,3,4
13,5,10
13,17,7
13,8,22
13,23,11
13,12,15
13,30,13
13,14,31
13,16,19
13,27,18
13,24,20
13,26,25
13,28,29
14,25,0
14,1,27
14,11,2
14,3,19
14,18,4
14,5,24
14,6,26
14,13,7
14,23,8
14,10,9
14,31,12
14,21,14
14,15,30
14,22,16
14,28,17
14,29,20
15,0,18
15,1,24
15,2,3
15,4,17
15,19,5
15,16,6
15,7,21
15,12,8
15,9,25
15,29,10
15,27,11
15,14,13
15,31,15
15,20,28
15,22,23
15,26,30
Travel cost = 362382
TTP violations cost = 0
