0,IP,40,10
Time,Value 
360,814
330,814
300,818
270,819
240,824
210,826
180,828
150,830
120,832
90,834
60,836
30,838
0,850
Final, 814,792

Round,H_team,A_team 
0,0,6
0,39,1
0,2,5
0,3,7
0,4,10
0,9,8
0,12,11
0,16,13
0,14,15
0,18,17
0,19,20
0,21,23
0,22,24
0,25,26
0,27,28
0,29,30
0,31,32
0,33,34
0,35,36
0,38,37
1,0,37
1,36,1
1,2,3
1,6,4
1,5,7
1,8,10
1,11,9
1,15,12
1,17,13
1,16,14
1,18,20
1,19,22
1,24,21
1,23,25
1,26,27
1,28,29
1,30,31
1,34,32
1,35,33
1,38,39
2,36,0
2,1,37
2,39,2
2,3,5
2,4,7
2,8,6
2,10,9
2,11,15
2,14,12
2,19,13
2,18,16
2,20,17
2,26,21
2,23,22
2,24,25
2,27,29
2,31,28
2,32,30
2,38,33
2,34,35
3,0,38
3,1,2
3,3,4
3,5,39
3,9,6
3,7,8
3,10,11
3,13,12
3,14,18
3,15,16
3,17,19
3,20,23
3,22,21
3,30,24
3,25,29
3,31,26
3,27,32
3,35,28
3,37,33
3,36,34
4,3,0
4,4,1
4,2,38
4,9,5
4,7,6
4,8,39
4,12,10
4,14,11
4,13,18
4,15,17
4,16,19
4,21,20
4,22,25
4,23,27
4,29,24
4,30,26
4,28,32
4,34,31
4,33,36
4,37,35
5,2,0
5,7,1
5,6,3
5,8,4
5,10,5
5,9,39
5,11,13
5,12,18
5,19,14
5,20,15
5,16,17
5,21,25
5,22,27
5,24,23
5,28,26
5,33,29
5,34,30
5,37,31
5,32,36
5,38,35
6,0,35
6,6,1
6,2,4
6,3,38
6,8,5
6,11,7
6,14,9
6,10,13
6,16,12
6,23,15
6,17,21
6,18,19
6,20,22
6,27,24
6,25,28
6,26,34
6,32,29
6,33,30
6,36,31
6,39,37
7,0,39
7,1,3
7,36,2
7,4,38
7,5,6
7,7,10
7,11,8
7,15,9
7,17,12
7,13,14
7,20,16
7,18,22
7,19,21
7,28,23
7,26,24
7,27,25
7,29,34
7,35,30
7,31,33
7,32,37
8,4,0
8,1,38
8,33,2
8,39,3
8,5,11
8,6,10
8,7,14
8,13,8
8,12,9
8,15,18
8,21,16
8,17,22
8,25,19
8,24,20
8,26,23
8,30,27
8,28,34
8,29,31
8,35,32
8,37,36
9,1,0
9,34,2
9,37,3
9,5,4
9,6,11
9,9,7
9,12,8
9,10,14
9,13,15
9,22,16
9,23,17
9,21,18
9,24,19
9,25,20
9,29,26
9,31,27
9,30,28
9,32,33
9,39,35
9,38,36
Travel cost = 814
TTP violations cost = 0
