0,IP,40,20
Time,Value 
1530,3370
1500,3370
1470,3392
1440,3394
1410,3398
1380,3400
1350,3402
1320,3404
1290,3406
1260,3408
1230,3412
1200,3414
1170,3416
1140,3420
1110,3428
1080,3430
1050,3432
1020,3434
990,3438
960,3440
930,3442
900,3444
870,3446
360,3618
330,3624
300,3636
270,3638
240,3656
210,3666
180,3694
150,3702
120,3704
90,3720
60,3722
30,3730
0,3732
390,3608
420,3606
450,3604
480,3528
510,3520
540,3516
570,3512
600,3506
630,3492
660,3486
690,3480
720,3476
750,3474
780,3472
810,3466
840,3456
Final, 3370,3258

Round,H_team,A_team 
0,0,1
0,3,2
0,4,6
0,13,5
0,7,10
0,8,15
0,16,9
0,12,11
0,14,17
0,18,19
0,20,25
0,21,22
0,23,24
0,26,27
0,30,28
0,29,31
0,33,32
0,39,34
0,36,35
0,37,38
1,6,0
1,1,2
1,4,3
1,12,5
1,7,15
1,10,8
1,17,9
1,11,14
1,16,13
1,18,21
1,19,25
1,20,23
1,22,37
1,24,39
1,28,26
1,27,30
1,29,33
1,31,32
1,34,35
1,38,36
2,5,0
2,1,7
2,2,16
2,3,11
2,8,4
2,10,6
2,9,15
2,12,14
2,13,17
2,18,37
2,22,19
2,24,20
2,21,25
2,23,39
2,26,30
2,27,29
2,38,28
2,36,31
2,32,34
2,35,33
3,0,7
3,1,16
3,14,2
3,6,3
3,9,4
3,5,11
3,17,8
3,10,13
3,15,12
3,27,18
3,29,19
3,26,20
3,21,37
3,23,22
3,25,24
3,35,28
3,30,34
3,38,31
3,39,32
3,36,33
4,0,16
4,3,1
4,20,2
4,4,21
4,9,5
4,7,6
4,22,8
4,12,10
4,11,23
4,13,14
4,15,17
4,24,18
4,32,19
4,25,36
4,26,29
4,37,27
4,34,28
4,31,30
4,33,38
4,35,39
5,0,21
5,4,1
5,18,2
5,14,3
5,7,5
5,6,23
5,19,8
5,10,9
5,13,11
5,17,12
5,16,15
5,20,36
5,22,24
5,28,25
5,31,26
5,39,27
5,29,35
5,30,37
5,32,38
5,34,33
6,2,0
6,1,21
6,15,3
6,4,7
6,5,10
6,11,6
6,8,13
6,9,23
6,25,12
6,16,14
6,17,22
6,18,20
6,19,36
6,24,30
6,32,26
6,27,35
6,28,29
6,31,37
6,39,33
6,34,38
7,0,9
7,1,10
7,2,5
7,19,3
7,20,4
7,22,6
7,7,13
7,11,8
7,26,12
7,21,14
7,18,15
7,23,16
7,24,17
7,29,25
7,28,27
7,30,32
7,35,31
7,37,33
7,36,34
7,38,39
8,3,0
8,1,38
8,2,9
8,16,4
8,5,24
8,6,35
8,8,7
8,10,26
8,15,11
8,12,28
8,13,22
8,14,18
8,17,21
8,20,19
8,32,23
8,25,27
8,34,29
8,33,30
8,39,31
8,37,36
9,0,38
9,12,1
9,6,2
9,3,9
9,11,4
9,5,35
9,7,24
9,8,26
9,10,28
9,13,18
9,14,22
9,15,21
9,16,33
9,17,20
9,19,34
9,31,23
9,25,37
9,27,36
9,32,29
9,30,39
10,4,0
10,11,1
10,7,2
10,3,38
10,5,6
10,8,35
10,9,26
10,10,24
10,12,13
10,19,14
10,15,28
10,18,16
10,17,33
10,20,34
10,21,36
10,22,31
10,23,37
10,25,30
10,27,32
10,29,39
11,0,8
11,9,1
11,2,12
11,31,3
11,38,4
11,37,5
11,6,13
11,35,7
11,16,10
11,33,11
11,24,14
11,19,15
11,27,17
11,32,18
11,28,20
11,34,21
11,30,22
11,26,23
11,39,25
11,36,29
12,14,0
12,1,8
12,2,19
12,29,3
12,39,4
12,36,5
12,6,12
12,33,7
12,13,9
12,15,10
12,34,11
12,20,16
12,23,17
12,30,18
12,32,21
12,26,22
12,24,27
12,38,25
12,28,31
12,35,37
13,22,0
13,1,19
13,10,2
13,30,3
13,37,4
13,38,5
13,8,6
13,32,7
13,9,12
13,36,11
13,13,20
13,14,15
13,17,16
13,29,18
13,33,21
13,23,27
13,28,24
13,35,25
13,26,39
13,31,34
14,0,19
14,6,1
14,11,2
14,3,13
14,4,10
14,5,14
14,7,9
14,12,8
14,15,20
14,16,30
14,17,35
14,18,39
14,21,29
14,22,36
14,23,28
14,24,26
14,25,32
14,27,38
14,31,33
14,34,37
15,0,15
15,5,1
15,2,13
15,3,10
15,4,12
15,6,14
15,11,7
15,8,9
15,16,35
15,18,17
15,19,30
15,20,31
15,21,39
15,22,38
15,29,23
15,24,36
15,34,25
15,37,26
15,33,27
15,28,32
16,0,13
16,1,15
16,4,2
16,3,12
16,8,5
16,17,6
16,16,7
16,9,14
16,10,11
16,18,35
16,19,31
16,20,21
16,29,22
16,30,23
16,32,24
16,33,25
16,38,26
16,34,27
16,28,36
16,39,37
17,10,0
17,1,17
17,2,15
17,5,3
17,13,4
17,21,6
17,14,7
17,8,16
17,9,11
17,12,19
17,23,18
17,27,20
17,28,22
17,33,24
17,25,31
17,26,34
17,30,29
17,37,32
17,35,38
17,36,39
18,11,0
18,13,1
18,2,17
18,3,8
18,14,4
18,5,16
18,15,6
18,7,12
18,9,19
18,21,10
18,25,18
18,35,20
18,27,22
18,23,34
18,31,24
18,26,33
18,39,28
18,37,29
18,38,30
18,36,32
19,12,0
19,14,1
19,2,8
19,7,3
19,4,5
19,6,9
19,22,10
19,11,16
19,15,13
19,19,17
19,33,18
19,39,20
19,21,23
19,24,34
19,25,26
19,31,27
19,37,28
19,38,29
19,36,30
19,35,32
Travel cost = 3370
TTP violations cost = 0
