0,IP,16,12
Time,Value 
0,118943
Final, 115089,115089

Round,H_team,A_team 
0,4,0
0,2,1
0,3,5
0,6,11
0,14,7
0,9,8
0,10,15
0,13,12
1,0,11
1,1,3
1,2,9
1,4,6
1,5,8
1,13,7
1,12,10
1,14,15
2,0,6
2,4,1
2,3,2
2,5,9
2,11,7
2,8,12
2,14,10
2,15,13
3,0,1
3,2,5
3,6,3
3,10,4
3,7,9
3,15,8
3,12,11
3,13,14
4,14,0
4,1,5
4,6,2
4,9,3
4,7,4
4,10,8
4,13,11
4,15,12
5,12,0
5,1,14
5,8,2
5,3,4
5,5,7
5,9,6
5,10,13
5,11,15
6,15,0
6,6,1
6,2,14
6,3,7
6,4,5
6,8,13
6,12,9
6,11,10
7,0,5
7,10,1
7,7,2
7,12,3
7,15,4
7,6,14
7,8,11
7,13,9
8,0,8
8,11,1
8,2,12
8,14,3
8,13,4
8,10,5
8,7,6
8,15,9
9,9,0
9,1,12
9,2,13
9,11,3
9,14,4
9,5,15
9,6,10
9,8,7
10,7,0
10,1,13
10,4,2
10,3,15
10,5,12
10,8,6
10,9,10
10,11,14
11,0,2
11,1,15
11,3,13
11,4,8
11,5,6
11,7,10
11,9,11
11,12,14
Travel cost = 115089
TTP violations cost = 0
