10000,MiaoAlgo,I_BRA24_12,10000,90
NrSuccesfullMatchings,26745,NrInfeasibleMatchings,144
Time,Value 
30,127425
0,2147483647
Final, 127425,32

Round,H_team,A_team 
0,0,19
0,16,1
0,2,23
0,3,21
0,4,15
0,7,5
0,6,20
0,10,8
0,22,9
0,18,11
0,14,12
0,13,17
1,11,0
1,1,17
1,2,6
1,4,3
1,5,14
1,7,12
1,18,8
1,21,9
1,10,23
1,13,20
1,16,15
1,22,19
2,22,0
2,1,15
2,10,2
2,3,17
2,16,4
2,5,12
2,11,6
2,7,14
2,8,19
2,13,9
2,18,23
2,20,21
3,0,10
3,1,7
3,2,18
3,3,13
3,12,4
3,5,16
3,17,6
3,9,8
3,23,11
3,15,14
3,19,21
3,20,22
4,0,18
4,12,1
4,2,11
4,9,3
4,4,7
4,15,5
4,6,10
4,23,8
4,21,13
4,14,16
4,17,22
4,19,20
5,9,0
5,14,1
5,2,8
5,23,3
5,4,5
5,6,18
5,15,7
5,11,10
5,12,16
5,19,13
5,17,20
5,21,22
6,8,0
6,13,1
6,22,2
6,10,3
6,14,4
6,21,5
6,6,23
6,7,19
6,18,9
6,11,15
6,20,12
6,16,17
7,20,0
7,1,4
7,13,2
7,3,12
7,5,19
7,8,6
7,7,17
7,10,9
7,11,14
7,18,15
7,16,21
7,22,23
8,0,23
8,5,1
8,2,9
8,3,20
8,4,17
8,6,12
8,7,21
8,22,8
8,10,15
8,13,11
8,18,14
8,16,19
9,0,2
9,19,1
9,3,16
9,20,4
9,5,13
9,6,22
9,9,7
9,8,11
9,17,10
9,12,18
9,23,14
9,15,21
10,0,6
10,1,18
10,17,2
10,15,3
10,19,4
10,20,5
10,8,7
10,9,11
10,21,10
10,12,13
10,14,22
10,23,16
11,17,0
11,1,20
11,21,2
11,14,3
11,4,18
11,8,5
11,9,6
11,23,7
11,19,10
11,11,16
11,12,22
11,15,13
