11,MiaoAlgo,I_BRA24_18,10000,10
NrSuccesfullMatchings,68094,NrInfeasibleMatchings,102952
Time,Value 
330,537758
300,537758
270,537758
240,537758
210,537758
180,537758
150,537758
120,537758
90,537758
60,537758
30,560990
0,563211
Final, 537758,342

Round,H_team,A_team 
0,6,0
0,7,1
0,18,2
0,3,22
0,4,16
0,5,15
0,11,8
0,21,9
0,10,23
0,12,14
0,17,13
0,20,19
1,2,0
1,4,1
1,3,21
1,5,12
1,6,8
1,7,19
1,20,9
1,10,18
1,23,11
1,16,13
1,14,15
1,17,22
2,0,8
2,16,1
2,2,10
2,3,17
2,4,14
2,19,5
2,6,11
2,13,7
2,22,9
2,12,15
2,23,18
2,20,21
3,0,11
3,1,14
3,2,23
3,19,3
3,12,4
3,5,7
3,22,6
3,8,18
3,9,10
3,21,13
3,15,16
3,17,20
4,18,0
4,1,20
4,11,2
4,5,3
4,15,4
4,19,6
4,14,7
4,8,9
4,22,10
4,12,16
4,13,23
4,21,17
5,10,0
5,1,15
5,13,2
5,14,3
5,4,19
5,5,21
5,20,6
5,7,12
5,8,22
5,23,9
5,18,11
5,16,17
6,0,22
6,13,1
6,6,2
6,3,12
6,4,17
6,14,5
6,7,20
6,23,8
6,18,9
6,11,10
6,15,21
6,16,19
7,0,13
7,1,5
7,2,8
7,3,4
7,6,10
7,7,15
7,9,14
7,11,16
7,12,21
7,17,19
7,22,18
7,23,20
8,0,23
8,1,17
8,2,20
8,3,7
8,21,4
8,13,5
8,9,6
8,8,10
8,15,11
8,12,18
8,19,14
8,22,16
9,9,0
9,12,1
9,2,3
9,20,4
9,5,11
9,13,6
9,21,7
9,8,19
9,10,17
9,16,14
9,15,18
9,22,23
10,4,0
10,1,19
10,21,2
10,10,3
10,5,9
10,6,23
10,16,7
10,15,8
10,14,11
10,20,12
10,13,22
10,18,17
11,17,0
11,11,1
11,22,2
11,3,20
11,7,4
11,16,5
11,6,21
11,14,8
11,9,15
11,19,10
11,23,12
11,18,13
12,0,12
12,23,1
12,19,2
12,3,9
12,11,4
12,20,5
12,18,6
12,7,8
12,10,13
12,14,17
12,22,15
12,21,16
13,0,7
13,1,10
13,2,9
13,3,16
13,4,18
13,5,22
13,15,6
13,8,20
13,11,13
13,12,17
13,21,14
13,19,23
14,21,0
14,1,18
14,2,12
14,6,3
14,5,4
14,7,23
14,17,8
14,9,11
14,16,10
14,13,20
14,14,22
14,15,19
15,0,3
15,1,6
15,2,5
15,13,4
15,7,22
15,8,21
15,9,19
15,10,12
15,17,11
15,14,23
15,15,20
15,16,18
16,0,15
16,8,1
16,17,2
16,23,3
16,4,6
16,10,5
16,9,7
16,11,12
16,19,13
16,18,14
16,20,16
16,22,21
17,20,0
17,9,1
17,4,2
17,18,3
17,23,5
17,6,7
17,8,16
17,10,14
17,11,22
17,12,13
17,17,15
17,19,21
