154,MiaoAlgo,I_BRA24_18,10000,50
NrSuccesfullMatchings,297540,NrInfeasibleMatchings,29742
Time,Value 
1620,549580
1590,549580
1560,549580
1530,549580
1500,549580
1470,549580
1440,549580
1410,549580
1380,549580
1350,549580
1320,549580
1290,549580
1260,549580
1230,549580
1200,549580
1170,549580
1140,549580
1110,549580
1080,549580
1050,549659
1020,549659
990,549659
960,550895
930,550895
900,550895
870,550895
360,563293
330,563402
300,563402
270,566740
240,568011
210,570933
180,570933
150,570933
120,571803
90,572751
60,576291
30,580683
0,582136
390,563293
420,562648
450,562615
480,560179
510,560179
540,559255
570,559211
600,554681
630,554681
660,553840
690,553056
720,550986
750,550986
780,550895
810,550895
840,550895
Final, 549580,1638

Round,H_team,A_team 
0,11,0
0,1,16
0,18,2
0,21,3
0,7,4
0,15,5
0,8,6
0,9,22
0,10,23
0,14,12
0,17,13
0,20,19
1,6,0
1,1,13
1,23,2
1,3,20
1,4,16
1,14,5
1,7,19
1,9,8
1,10,18
1,11,22
1,12,15
1,17,21
2,0,9
2,4,1
2,2,10
2,13,3
2,5,12
2,11,6
2,7,16
2,23,8
2,15,14
2,19,17
2,18,22
2,21,20
3,0,10
3,1,14
3,2,8
3,22,3
3,21,4
3,19,5
3,6,9
3,12,7
3,13,11
3,16,15
3,20,17
3,23,18
4,0,23
4,15,1
4,9,2
4,3,19
4,12,4
4,5,21
4,18,6
4,14,7
4,8,22
4,17,10
4,16,11
4,20,13
5,8,0
5,12,1
5,2,22
5,3,17
5,14,4
5,5,16
5,10,6
5,15,7
5,20,9
5,18,11
5,13,23
5,21,19
6,0,18
6,17,1
6,2,6
6,11,3
6,4,15
6,7,5
6,10,8
6,19,9
6,16,12
6,13,21
6,14,20
6,23,22
7,2,0
7,1,5
7,9,3
7,17,4
7,6,23
7,20,7
7,18,8
7,11,10
7,13,12
7,16,14
7,15,19
7,22,21
8,0,22
8,20,1
8,11,2
8,3,16
8,4,10
8,5,17
8,6,13
8,21,7
8,8,12
8,9,23
8,19,14
8,15,18
9,13,0
9,19,1
9,2,20
9,6,3
9,4,5
9,8,7
9,21,9
9,16,10
9,23,11
9,12,18
9,22,14
9,17,15
10,7,0
10,1,21
10,2,3
10,19,4
10,5,8
10,22,6
10,9,11
10,10,15
10,17,12
10,16,13
10,14,18
10,23,20
11,0,19
11,18,1
11,2,15
11,23,3
11,20,4
11,5,13
11,17,6
11,22,7
11,14,8
11,10,9
11,11,12
11,16,21
12,3,0
12,11,1
12,4,2
12,5,22
12,6,7
12,15,8
12,18,9
12,13,10
12,12,20
12,14,17
12,19,16
12,21,23
13,0,14
13,1,2
13,8,3
13,11,4
13,9,5
13,21,6
13,18,7
13,22,10
13,12,23
13,13,19
13,15,20
13,16,17
14,0,21
14,7,1
14,5,2
14,3,15
14,4,13
14,20,6
14,8,11
14,9,16
14,10,19
14,22,12
14,23,14
14,17,18
15,0,17
15,1,23
15,2,19
15,3,18
15,4,22
15,5,11
15,6,16
15,7,13
15,20,8
15,9,15
15,10,14
15,12,21
16,1,0
16,13,2
16,3,5
16,4,23
16,6,15
16,7,11
16,8,16
16,12,9
16,10,20
16,14,21
16,22,17
16,19,18
17,16,0
17,1,10
17,21,2
17,3,14
17,6,4
17,23,5
17,7,9
17,8,17
17,15,11
17,19,12
17,22,13
17,18,20
