5003,MiaoAlgo,I_BRA24_18,10000,70
NrSuccesfullMatchings,2976017,NrInfeasibleMatchings,359710
Time,Value 
1230,445301
1200,445301
1170,445301
1140,445301
1110,445301
1080,445301
1050,445301
1020,445301
990,445301
960,445301
930,445301
900,445301
870,445301
360,452095
330,458492
300,458492
270,458531
240,458562
210,461183
180,461183
150,461183
120,462566
90,462566
60,466195
30,468108
0,475471
390,447795
420,447159
450,447159
480,447127
510,446443
540,446443
570,446089
600,446089
630,445301
660,445301
690,445301
720,445301
750,445301
780,445301
810,445301
840,445301
Final, 445301,7231

Round,H_team,A_team 
0,1,0
0,18,2
0,4,3
0,5,8
0,11,6
0,7,19
0,9,22
0,10,23
0,14,12
0,13,17
0,15,20
0,16,21
1,0,6
1,16,1
1,10,2
1,13,3
1,4,12
1,7,5
1,8,9
1,22,11
1,15,14
1,17,21
1,18,23
1,19,20
2,0,11
2,20,1
2,2,23
2,3,17
2,21,4
2,14,5
2,8,6
2,9,7
2,10,18
2,15,12
2,22,13
2,19,16
3,23,0
3,4,1
3,2,11
3,3,20
3,5,15
3,6,18
3,7,14
3,8,22
3,9,10
3,12,16
3,13,21
3,19,17
4,2,0
4,1,7
4,21,3
4,4,14
4,12,5
4,6,9
4,23,8
4,22,10
4,11,18
4,13,19
4,15,16
4,17,20
5,0,9
5,1,14
5,6,2
5,19,3
5,15,4
5,16,5
5,7,22
5,18,8
5,17,10
5,11,23
5,12,13
5,21,20
6,0,19
6,15,1
6,22,2
6,3,6
6,4,16
6,20,5
6,7,12
6,10,8
6,18,9
6,11,21
6,14,13
6,17,23
7,22,0
7,12,1
7,8,2
7,9,3
7,5,4
7,6,17
7,20,7
7,10,11
7,13,15
7,16,14
7,18,21
7,23,19
8,8,0
8,1,5
8,2,19
8,3,10
8,7,4
8,23,6
8,9,11
8,12,20
8,16,13
8,21,14
8,17,15
8,22,18
9,0,18
9,1,3
9,2,17
9,4,13
9,5,22
9,6,10
9,15,7
9,21,8
9,9,23
9,11,16
9,19,12
9,14,20
10,0,10
10,1,21
10,2,9
10,15,3
10,4,19
10,13,5
10,6,12
10,8,7
10,20,11
10,14,22
10,23,16
10,18,17
11,0,12
11,18,1
11,7,2
11,3,5
11,4,8
11,21,6
11,9,15
11,10,13
11,11,17
11,14,19
11,16,20
11,22,23
12,17,0
12,2,1
12,23,3
12,20,4
12,5,9
12,6,16
12,21,7
12,12,8
12,19,10
12,11,14
12,18,13
12,22,15
13,0,14
13,1,10
13,2,3
13,17,4
13,5,21
13,20,6
13,7,23
13,15,8
13,12,9
13,11,13
13,16,18
13,19,22
14,3,0
14,1,19
14,2,5
14,4,18
14,22,6
14,7,17
14,8,11
14,14,9
14,16,10
14,12,23
14,13,20
14,21,15
15,0,7
15,8,1
15,13,2
15,3,11
15,10,4
15,5,17
15,19,6
15,9,16
15,21,12
15,14,18
15,23,15
15,20,22
16,13,0
16,1,11
16,14,2
16,3,12
16,23,4
16,5,19
16,6,7
16,8,16
16,20,9
16,10,21
16,18,15
16,17,22
17,20,0
17,9,1
17,12,2
17,3,22
17,11,4
17,5,18
17,6,13
17,16,7
17,19,8
17,10,15
17,17,14
17,23,21
