588,MiaoAlgo,I_BRA24_6,100000,30
NrSuccesfullMatchings,9740,NrInfeasibleMatchings,0
Time,Value 
0,45113
Final, 45041,5

Round,H_team,A_team 
0,6,0
0,1,7
0,23,2
0,21,3
0,4,16
0,14,5
0,10,8
0,17,9
0,18,11
0,12,15
0,13,22
0,20,19
1,2,0
1,1,16
1,3,22
1,4,7
1,12,5
1,23,6
1,18,8
1,20,9
1,10,11
1,13,17
1,14,15
1,21,19
2,0,8
2,4,1
2,2,6
2,3,13
2,5,15
2,16,7
2,19,9
2,10,18
2,23,11
2,14,12
2,21,17
2,20,22
3,0,18
3,15,1
3,2,10
3,3,20
3,5,4
3,11,6
3,7,14
3,8,23
3,9,13
3,16,12
3,19,17
3,22,21
4,0,10
4,5,1
4,11,2
4,19,3
4,15,4
4,6,18
4,7,12
4,8,13
4,9,21
4,16,14
4,17,20
4,22,23
5,11,0
5,1,14
5,18,2
5,17,3
5,12,4
5,7,5
5,6,10
5,8,21
5,9,23
5,13,20
5,15,16
5,22,19
