396,MiaoAlgo,I_CIRC40_10,500,30
NrSuccesfullMatchings,30395,NrInfeasibleMatchings,0
Time,Value 
60,880
30,918
0,201386
Final, 880,73

Round,H_team,A_team 
0,0,39
0,2,1
0,3,4
0,5,6
0,7,8
0,9,10
0,12,11
0,14,13
0,15,16
0,17,18
0,20,19
0,24,21
0,23,22
0,25,26
0,28,27
0,38,29
0,35,30
0,34,31
0,33,32
0,37,36
1,0,1
1,2,4
1,3,6
1,5,8
1,7,9
1,12,10
1,13,11
1,15,14
1,16,18
1,17,19
1,20,22
1,23,21
1,24,25
1,26,28
1,27,29
1,33,30
1,31,32
1,34,35
1,38,36
1,37,39
2,37,0
2,1,4
2,2,3
2,10,5
2,6,7
2,8,9
2,11,15
2,13,12
2,14,16
2,22,17
2,18,19
2,21,20
2,23,24
2,27,25
2,26,29
2,28,32
2,30,31
2,34,33
2,36,35
2,38,39
3,36,0
3,39,1
3,6,2
3,8,3
3,4,7
3,9,5
3,10,13
3,11,14
3,12,15
3,19,16
3,21,17
3,18,20
3,22,24
3,25,23
3,26,27
3,30,28
3,29,31
3,32,34
3,33,38
3,35,37
4,0,34
4,1,37
4,5,2
4,3,7
4,4,6
4,13,8
4,9,14
4,10,11
4,16,12
4,15,18
4,17,20
4,19,21
4,22,25
4,27,23
4,24,26
4,29,28
4,32,30
4,31,33
4,35,38
4,39,36
5,3,0
5,1,6
5,2,36
5,5,4
5,7,10
5,15,8
5,9,11
5,14,12
5,13,18
5,16,17
5,24,19
5,20,25
5,21,22
5,26,23
5,27,30
5,28,33
5,32,29
5,31,35
5,39,34
5,37,38
6,4,0
6,1,5
6,2,39
6,38,3
6,6,9
6,11,7
6,8,10
6,12,18
6,13,15
6,14,17
6,22,16
6,19,25
6,23,20
6,26,21
6,24,27
6,28,31
6,29,30
6,37,32
6,33,35
6,34,36
7,5,0
7,36,1
7,38,2
7,39,3
7,4,9
7,6,10
7,12,7
7,11,8
7,19,13
7,14,20
7,15,17
7,23,16
7,18,21
7,22,27
7,28,24
7,25,31
7,30,26
7,29,34
7,32,35
7,33,37
8,0,2
8,35,1
8,3,9
8,39,4
8,7,5
8,6,38
8,8,12
8,10,14
8,16,11
8,17,13
8,20,15
8,18,23
8,19,22
8,21,27
8,29,24
8,25,28
8,32,26
8,30,34
8,31,37
8,36,33
9,0,33
9,1,3
9,10,2
9,4,38
9,11,5
9,8,6
9,7,14
9,9,12
9,16,13
9,21,15
9,17,23
9,18,22
9,27,19
9,20,28
9,30,24
9,25,29
9,31,26
9,36,32
9,34,37
9,35,39
