2486,MiaoAlgo,I_CIRC40_10,500,50
NrSuccesfullMatchings,61934,NrInfeasibleMatchings,0
Time,Value 
120,862
90,862
60,862
30,934
0,1034
Final, 862,145

Round,H_team,A_team 
0,0,3
0,1,2
0,4,5
0,7,6
0,11,8
0,10,9
0,14,12
0,15,13
0,16,19
0,17,18
0,20,21
0,23,22
0,24,25
0,27,26
0,29,28
0,31,30
0,32,33
0,39,34
0,38,35
0,37,36
1,0,1
1,2,6
1,3,4
1,5,7
1,10,8
1,11,9
1,12,15
1,13,14
1,17,16
1,19,18
1,20,23
1,21,22
1,27,24
1,29,25
1,28,26
1,33,30
1,32,31
1,34,35
1,39,36
1,38,37
2,0,39
2,1,4
2,3,2
2,5,6
2,8,7
2,9,15
2,11,10
2,12,13
2,16,14
2,19,17
2,18,20
2,21,23
2,25,22
2,26,24
2,28,27
2,30,29
2,33,31
2,32,35
2,34,37
2,38,36
3,36,0
3,37,1
3,2,4
3,5,3
3,6,8
3,7,9
3,10,15
3,12,11
3,13,16
3,14,17
3,18,21
3,23,19
3,22,20
3,24,28
3,25,27
3,26,29
3,30,32
3,35,31
3,34,33
3,39,38
4,38,0
4,36,1
4,2,5
4,7,3
4,4,6
4,8,9
4,10,12
4,13,11
4,14,18
4,15,16
4,17,21
4,22,19
4,24,20
4,23,27
4,25,28
4,26,30
4,29,32
4,31,34
4,35,33
4,37,39
5,0,5
5,39,1
5,2,38
5,6,3
5,4,8
5,7,10
5,9,12
5,14,11
5,17,13
5,15,18
5,16,22
5,20,19
5,21,25
5,24,23
5,32,26
5,27,30
5,31,28
5,29,34
5,37,33
5,35,36
6,0,37
6,1,38
6,39,2
6,3,8
6,10,4
6,5,12
6,6,9
6,11,7
6,19,13
6,15,14
6,16,18
6,17,22
6,20,25
6,21,24
6,28,23
6,31,26
6,27,29
6,30,35
6,32,34
6,33,36
7,33,0
7,1,6
7,36,2
7,3,37
7,9,4
7,5,39
7,12,7
7,8,14
7,16,10
7,11,15
7,18,13
7,20,17
7,19,25
7,21,27
7,22,24
7,26,23
7,28,35
7,29,31
7,34,30
7,38,32
8,31,0
8,1,3
8,35,2
8,4,39
8,9,5
8,6,11
8,13,7
8,8,15
8,18,10
8,12,16
8,14,20
8,25,17
8,24,19
8,26,21
8,22,27
8,23,29
8,30,28
8,37,32
8,33,38
8,36,34
9,2,0
9,7,1
9,3,39
9,4,11
9,8,5
9,6,12
9,9,16
9,13,10
9,19,14
9,15,20
9,23,17
9,18,24
9,30,21
9,22,29
9,25,26
9,27,31
9,28,33
9,36,32
9,34,38
9,35,37
