11,MiaoAlgo,I_CIRC40_10,500,70
NrSuccesfullMatchings,84359,NrInfeasibleMatchings,0
Time,Value 
180,888
150,888
120,888
90,892
60,900
30,902
0,1038
Final, 888,197

Round,H_team,A_team 
0,0,39
0,2,1
0,6,3
0,5,4
0,8,7
0,9,10
0,12,11
0,13,14
0,15,16
0,17,18
0,19,22
0,20,21
0,24,23
0,28,25
0,27,26
0,30,29
0,32,31
0,33,34
0,35,36
0,38,37
1,1,0
1,4,2
1,7,3
1,6,5
1,9,8
1,12,10
1,14,11
1,16,13
1,17,15
1,19,18
1,23,20
1,21,22
1,24,26
1,27,25
1,29,28
1,31,30
1,32,34
1,33,36
1,35,37
1,39,38
2,0,32
2,4,1
2,3,2
2,7,5
2,6,8
2,9,12
2,14,10
2,16,11
2,17,13
2,18,15
2,21,19
2,22,20
2,23,26
2,25,24
2,28,27
2,29,31
2,34,30
2,35,33
2,38,36
2,37,39
3,0,2
3,37,1
3,3,5
3,4,6
3,7,9
3,8,12
3,10,17
3,11,13
3,15,14
3,18,16
3,20,19
3,24,21
3,22,23
3,26,25
3,29,27
3,30,28
3,31,34
3,33,32
3,38,35
3,36,39
4,0,35
4,38,1
4,2,6
4,3,4
4,5,8
4,10,7
4,9,17
4,11,15
4,13,12
4,20,14
4,19,16
4,21,18
4,24,22
4,23,25
4,26,34
4,30,27
4,31,28
4,32,29
4,33,39
4,37,36
5,4,0
5,1,3
5,2,38
5,5,9
5,6,7
5,8,13
5,11,10
5,12,15
5,19,14
5,17,16
5,20,18
5,21,23
5,25,22
5,27,24
5,28,26
5,34,29
5,30,33
5,36,31
5,32,37
5,39,35
6,0,36
6,1,39
6,2,5
6,3,38
6,4,7
6,6,12
6,8,11
6,9,13
6,10,15
6,14,17
6,16,20
6,22,18
6,19,23
6,21,25
6,24,30
6,29,26
6,27,31
6,28,32
6,33,37
6,35,34
7,38,0
7,36,1
7,39,2
7,3,9
7,8,4
7,5,12
7,10,6
7,7,11
7,13,21
7,14,16
7,15,19
7,22,17
7,18,23
7,20,24
7,25,30
7,26,31
7,27,32
7,28,33
7,35,29
7,34,37
8,37,0
8,1,5
8,2,9
8,39,3
8,14,4
8,11,6
8,12,7
8,10,8
8,13,19
8,15,20
8,16,21
8,23,17
8,18,24
8,22,27
8,25,32
8,26,30
8,36,28
8,29,33
8,31,35
8,34,38
9,34,0
9,1,8
9,7,2
9,36,3
9,11,4
9,5,10
9,13,6
9,39,9
9,12,19
9,18,14
9,15,21
9,16,24
9,17,20
9,26,22
9,23,27
9,25,29
9,37,28
9,30,35
9,31,33
9,32,38
