10000,MiaoAlgo,I_CIRC40_10,500,90
NrSuccesfullMatchings,73751,NrInfeasibleMatchings,0
Time,Value 
150,884
120,892
90,892
60,908
30,942
0,1088
Final, 884,162

Round,H_team,A_team 
0,37,0
0,1,2
0,3,4
0,5,6
0,10,7
0,9,8
0,11,12
0,13,18
0,14,15
0,16,17
0,20,19
0,21,22
0,24,23
0,25,26
0,30,27
0,29,28
0,32,31
0,34,33
0,35,36
0,38,39
1,36,0
1,38,1
1,2,3
1,6,4
1,7,5
1,8,10
1,11,9
1,12,18
1,13,14
1,16,15
1,17,20
1,19,21
1,23,22
1,26,24
1,28,25
1,31,27
1,30,29
1,32,33
1,34,35
1,37,39
2,2,0
2,3,1
2,4,5
2,7,6
2,8,11
2,10,9
2,12,14
2,15,13
2,18,16
2,17,19
2,20,21
2,22,24
2,26,23
2,29,25
2,28,27
2,30,32
2,31,34
2,33,35
2,39,36
2,38,37
3,0,39
3,4,1
3,6,2
3,5,3
3,8,7
3,9,14
3,11,10
3,15,12
3,19,13
3,21,16
3,18,17
3,23,20
3,25,22
3,24,28
3,27,26
3,33,29
3,31,30
3,32,34
3,35,37
3,36,38
4,1,0
4,5,2
4,38,3
4,39,4
4,6,8
4,9,7
4,10,15
4,14,11
4,13,12
4,16,19
4,21,17
4,20,18
4,26,22
4,23,27
4,24,25
4,28,31
4,32,29
4,30,35
4,33,36
4,34,37
5,0,38
5,1,8
5,2,4
5,39,3
5,10,5
5,9,6
5,12,7
5,13,11
5,17,14
5,15,19
5,20,16
5,22,18
5,26,21
5,23,25
5,27,24
5,28,30
5,29,35
5,31,33
5,37,32
5,34,36
6,3,0
6,1,39
6,2,8
6,4,9
6,11,5
6,10,6
6,7,13
6,12,16
6,18,14
6,15,20
6,17,24
6,19,23
6,25,21
6,22,28
6,31,26
6,29,27
6,30,33
6,35,32
6,38,34
6,37,36
7,0,34
7,36,1
7,37,2
7,3,9
7,4,13
7,8,5
7,11,6
7,7,39
7,12,10
7,14,20
7,17,15
7,16,24
7,18,23
7,19,22
7,21,28
7,25,30
7,32,26
7,27,33
7,29,31
7,35,38
8,0,29
8,1,37
8,36,2
8,3,7
8,4,8
8,5,38
8,6,13
8,9,12
8,14,10
8,16,11
8,18,15
8,22,17
8,25,19
8,20,28
8,21,23
8,24,30
8,33,26
8,27,32
8,35,31
8,39,34
9,0,4
9,7,1
9,2,38
9,6,3
9,5,9
9,8,12
9,13,10
9,15,11
9,14,16
9,23,17
9,19,18
9,22,20
9,24,21
9,27,25
9,26,30
9,28,32
9,34,29
9,36,31
9,33,37
9,39,35
