11,MiaoAlgo,I_CIRC40_10,500,100
NrSuccesfullMatchings,79052,NrInfeasibleMatchings,0
Time,Value 
150,930
120,930
90,944
60,944
30,952
0,1100
Final, 924,175

Round,H_team,A_team 
0,0,39
0,1,2
0,4,3
0,6,5
0,7,8
0,10,9
0,14,11
0,13,12
0,15,16
0,17,18
0,19,20
0,21,22
0,24,23
0,26,25
0,28,27
0,30,29
0,32,31
0,34,33
0,35,36
0,38,37
1,37,0
1,1,4
1,39,2
1,3,6
1,5,7
1,8,10
1,9,13
1,12,11
1,15,14
1,16,17
1,18,19
1,20,21
1,22,23
1,25,24
1,26,27
1,29,28
1,31,30
1,32,34
1,33,35
1,36,38
2,0,31
2,3,1
2,2,6
2,4,7
2,5,10
2,8,9
2,13,11
2,12,15
2,16,14
2,19,17
2,18,21
2,20,22
2,23,25
2,26,24
2,27,29
2,28,30
2,33,32
2,36,34
2,37,35
2,38,39
3,1,0
3,4,2
3,7,3
3,9,5
3,6,8
3,10,12
3,11,15
3,14,13
3,16,18
3,20,17
3,21,19
3,22,25
3,23,27
3,29,24
3,28,26
3,30,33
3,39,31
3,32,38
3,34,35
3,37,36
4,36,0
4,1,37
4,5,2
4,39,3
4,6,4
4,7,9
4,8,12
4,11,10
4,13,15
4,17,14
4,19,16
4,18,20
4,23,21
4,24,22
4,25,28
4,30,26
4,27,33
4,31,29
4,35,32
4,34,38
5,0,35
5,38,1
5,2,37
5,3,5
5,4,39
5,9,6
5,12,7
5,8,11
5,14,10
5,17,13
5,15,18
5,16,20
5,19,22
5,24,21
5,26,23
5,29,25
5,27,30
5,28,34
5,33,31
5,36,32
6,2,0
6,39,1
6,3,8
6,4,5
6,10,6
6,7,11
6,9,12
6,16,13
6,14,18
6,19,15
6,21,17
6,20,24
6,26,22
6,23,30
6,27,25
6,31,28
6,29,34
6,37,32
6,33,36
6,38,35
7,0,38
7,1,7
7,3,2
7,10,4
7,5,8
7,13,6
7,11,9
7,12,14
7,17,15
7,21,16
7,18,24
7,23,19
7,20,26
7,22,27
7,25,30
7,33,28
7,32,29
7,31,36
7,34,37
7,35,39
8,0,3
8,5,1
8,2,8
8,11,4
8,6,7
8,14,9
8,10,13
8,17,12
8,15,20
8,22,16
8,18,23
8,25,19
8,21,26
8,24,27
8,32,28
8,35,29
8,30,36
8,31,34
8,38,33
8,39,37
9,34,0
9,6,1
9,2,38
9,35,3
9,9,4
9,12,5
9,7,10
9,8,14
9,11,17
9,13,20
9,15,23
9,24,16
9,22,18
9,28,19
9,25,21
9,29,26
9,27,31
9,30,32
9,37,33
9,36,39
