154,MiaoAlgo,I_CIRC40_10,500,100
NrSuccesfullMatchings,75263,NrInfeasibleMatchings,0
Time,Value 
180,990
150,990
120,1004
90,1004
60,1006
30,1040
0,1150
Final, 990,182

Round,H_team,A_team 
0,0,29
0,2,1
0,4,3
0,5,6
0,7,10
0,8,9
0,14,11
0,13,12
0,16,15
0,18,17
0,19,22
0,20,21
0,23,24
0,26,25
0,27,28
0,33,30
0,32,31
0,35,34
0,37,36
0,39,38
1,1,0
1,2,39
1,6,3
1,5,4
1,7,8
1,11,9
1,12,10
1,17,13
1,15,14
1,18,16
1,19,20
1,22,21
1,25,23
1,24,28
1,27,26
1,31,29
1,30,32
1,34,33
1,35,36
1,38,37
2,37,0
2,1,39
2,3,2
2,4,8
2,9,5
2,7,6
2,11,10
2,12,17
2,14,13
2,15,18
2,16,19
2,20,22
2,25,21
2,28,23
2,26,24
2,29,27
2,30,31
2,32,34
2,35,33
2,36,38
3,36,0
3,38,1
3,8,2
3,39,3
3,6,4
3,10,5
3,9,7
3,11,12
3,13,15
3,17,14
3,21,16
3,19,18
3,23,20
3,22,26
3,24,25
3,27,30
3,28,29
3,31,35
3,33,32
3,34,37
4,0,3
4,37,1
4,6,2
4,4,7
4,12,5
4,10,8
4,9,15
4,13,11
4,18,14
4,22,16
4,17,19
4,24,20
4,21,26
4,27,23
4,25,28
4,29,30
4,33,31
4,32,35
4,34,38
4,36,39
5,0,6
5,1,36
5,2,4
5,3,10
5,5,8
5,7,13
5,12,9
5,15,11
5,14,19
5,16,17
5,20,18
5,21,24
5,28,22
5,26,23
5,25,27
5,29,32
5,30,35
5,31,34
5,38,33
5,39,37
6,0,38
6,3,1
6,2,10
6,39,4
6,7,5
6,6,8
6,13,9
6,17,11
6,15,12
6,16,14
6,23,18
6,19,21
6,20,26
6,25,22
6,24,27
6,28,32
6,35,29
6,30,34
6,36,31
6,37,33
7,4,0
7,1,7
7,5,2
7,8,3
7,9,6
7,10,13
7,11,16
7,14,12
7,19,15
7,23,17
7,21,18
7,20,25
7,22,24
7,26,29
7,27,34
7,28,30
7,31,37
7,32,39
7,33,36
7,38,35
8,0,2
8,1,4
8,3,5
8,10,6
8,38,7
8,8,11
8,9,14
8,12,16
8,13,19
8,15,20
8,21,17
8,18,25
8,22,23
8,29,24
8,30,26
8,31,27
8,33,28
8,36,32
8,34,39
8,37,35
9,39,0
9,5,1
9,2,37
9,3,7
9,4,38
9,6,13
9,8,12
9,10,9
9,11,19
9,14,20
9,17,15
9,16,25
9,18,22
9,23,21
9,24,30
9,26,31
9,32,27
9,35,28
9,29,33
9,34,36
