1217,MiaoAlgo,I_CIRC40_20,500,70
NrSuccesfullMatchings,84134,NrInfeasibleMatchings,0
Time,Value 
7200,103124
7170,103124
7140,103124
7110,103124
7080,103128
7050,103128
7020,103128
6990,103128
6960,103128
6930,103128
6900,103128
6870,103130
6840,103162
6810,103288
6780,103288
6750,103288
6720,103288
6690,103288
6660,103288
6630,103288
6600,103288
6570,103288
6540,103288
6510,103288
6480,103288
6450,103288
6420,103288
6390,103288
6360,103288
6330,103288
6300,103288
6270,103288
6240,103288
6210,103288
6180,103288
6150,103288
6120,103288
6090,103288
6060,103288
6030,103288
6000,103288
5970,103288
5940,103288
5910,103288
5880,103288
5850,103288
5820,103288
5790,103288
5760,103288
5730,103288
5700,103288
5670,103288
5640,103288
5610,103288
5580,103288
5550,103288
5520,103288
5490,103288
5460,103288
5430,103288
5400,103288
5370,103288
5340,103292
5310,103292
5280,103292
5250,103292
5220,103292
5190,103292
5160,103292
5130,103292
5100,103292
5070,103292
5040,103292
5010,103292
4980,103292
4950,103292
4920,103292
4890,103292
4860,103292
4830,103292
4800,103292
4770,103292
4740,103292
4710,103292
4680,103292
4650,103292
4620,103292
4590,103292
4560,103292
4530,103292
4500,103292
4470,103292
4440,103292
4410,103292
4380,103292
4350,103292
4320,103292
4290,103292
4260,103292
4230,103292
4200,103292
4170,103292
4140,103292
4110,103292
4080,103292
4050,103292
4020,103292
3990,103292
3960,103292
3930,103292
3900,103292
3870,103292
3840,103292
3810,103292
1740,103320
1710,103320
1680,103320
1650,103320
1620,103320
1590,103320
1560,103320
1530,103320
1500,103320
1470,103320
1440,103320
1410,103320
1380,103320
1350,103334
1320,103334
1290,103334
1260,103334
1230,103334
1200,103334
1170,103334
1140,103334
1110,103334
1080,103334
1050,103334
1020,103334
990,103334
960,103334
930,103334
900,103334
870,103342
360,103422
330,103422
300,103422
270,103422
240,103422
210,103422
180,103422
150,103422
120,103422
90,103430
60,103430
30,103430
0,103430
390,103422
420,103346
450,103346
480,103346
510,103346
540,103346
570,103346
600,103346
630,103346
660,103346
690,103346
720,103346
750,103346
780,103346
810,103346
840,103342
1770,103320
1800,103320
1830,103320
1860,103320
1890,103320
1920,103320
1950,103320
1980,103320
2010,103320
2040,103320
2070,103320
2100,103320
2130,103320
2160,103320
2190,103320
2220,103320
2250,103320
2280,103320
2310,103320
2340,103320
2370,103320
2400,103320
2430,103320
2460,103320
2490,103320
2520,103320
2550,103320
2580,103320
2610,103320
2640,103320
2670,103320
2700,103320
2730,103320
2760,103320
2790,103314
2820,103314
2850,103314
2880,103314
2910,103314
2940,103312
2970,103312
3000,103312
3030,103312
3060,103312
3090,103308
3120,103308
3150,103308
3180,103308
3210,103308
3240,103308
3270,103308
3300,103308
3330,103308
3360,103308
3390,103308
3420,103308
3450,103292
3480,103292
3510,103292
3540,103292
3570,103292
3600,103292
3630,103292
3660,103292
3690,103292
3720,103292
3750,103292
3780,103292
Final, 103096,7231

