0,MiaoAlgo,I_CIRC40_20,500,100
NrSuccesfullMatchings,301817,NrInfeasibleMatchings,0
Time,Value 
1470,3644
1440,3644
1410,3644
1380,3644
1350,3644
1320,3644
1290,3644
1260,3644
1230,3644
1200,3644
1170,3644
1140,3644
1110,3644
1080,3644
1050,3644
1020,3644
990,3644
960,3644
930,3644
900,3644
870,3644
360,3644
330,3644
300,3644
270,3644
240,3644
210,3644
180,3694
150,3696
120,3696
90,3724
60,3740
30,3740
0,3852
390,3644
420,3644
450,3644
480,3644
510,3644
540,3644
570,3644
600,3644
630,3644
660,3644
690,3644
720,3644
750,3644
780,3644
810,3644
840,3644
Final, 3644,1471

Round,H_team,A_team 
0,39,0
0,1,2
0,6,3
0,5,4
0,7,12
0,8,11
0,9,10
0,13,14
0,22,15
0,17,16
0,19,18
0,21,20
0,24,23
0,25,26
0,27,30
0,28,29
0,31,32
0,33,34
0,36,35
0,37,38
1,0,37
1,3,1
1,2,39
1,4,7
1,6,5
1,10,8
1,11,9
1,12,13
1,14,17
1,15,24
1,16,19
1,18,21
1,20,22
1,23,25
1,26,27
1,30,28
1,32,29
1,34,31
1,35,33
1,38,36
2,1,0
2,4,2
2,3,37
2,5,39
2,7,6
2,9,8
2,12,10
2,13,11
2,14,24
2,15,16
2,17,19
2,18,22
2,20,25
2,21,23
2,29,26
2,28,27
2,31,30
2,32,34
2,33,36
2,38,35
3,0,5
3,39,1
3,2,3
3,37,4
3,6,9
3,8,7
3,10,13
3,11,12
3,16,14
3,19,15
3,25,17
3,23,18
3,24,20
3,22,21
3,26,28
3,27,29
3,30,33
3,36,31
3,35,32
3,34,38
4,0,4
4,1,37
4,2,6
4,3,5
4,7,9
4,8,13
4,10,11
4,12,16
4,14,15
4,21,17
4,26,18
4,19,20
4,23,22
4,24,27
4,28,25
4,29,33
4,30,32
4,35,31
4,34,36
4,38,39
5,32,0
5,36,1
5,5,2
5,39,3
5,4,6
5,11,7
5,17,8
5,9,12
5,15,10
5,13,19
5,18,14
5,16,21
5,20,23
5,22,26
5,25,24
5,27,34
5,31,28
5,29,30
5,33,38
5,37,35
6,0,3
6,1,5
6,9,2
6,39,4
6,6,12
6,13,7
6,15,8
6,16,10
6,14,11
6,17,22
6,18,20
6,19,23
6,21,26
6,30,24
6,27,25
6,33,28
6,31,29
6,32,38
6,35,34
6,37,36
7,2,0
7,7,1
7,3,33
7,4,9
7,5,13
7,8,6
7,10,14
7,11,16
7,12,15
7,20,17
7,24,18
7,22,19
7,25,21
7,23,27
7,26,30
7,28,32
7,29,35
7,38,31
7,34,37
7,36,39
8,0,34
8,1,31
8,2,38
8,9,3
8,8,4
8,5,33
8,6,11
8,10,7
8,14,12
8,13,16
8,17,15
8,18,27
8,26,19
8,20,29
8,24,21
8,25,22
8,23,28
8,30,35
8,32,36
8,37,39
9,38,0
9,4,1
9,36,2
9,3,8
9,7,5
9,6,10
9,39,9
9,11,18
9,12,17
9,15,13
9,19,14
9,16,23
9,27,20
9,21,29
9,22,24
9,31,25
9,35,26
9,28,37
9,34,30
9,33,32
10,0,7
10,1,35
10,34,2
10,3,4
10,5,10
10,6,39
10,8,12
10,38,9
10,11,17
10,13,18
10,20,14
10,15,21
10,16,22
10,25,19
10,23,29
10,24,28
10,26,36
10,32,27
10,37,30
10,31,33
11,35,0
11,10,1
11,2,37
11,7,3
11,4,38
11,12,5
11,36,6
11,14,8
11,9,15
11,21,11
11,17,13
11,18,16
11,19,24
11,28,20
11,22,32
11,30,23
11,29,25
11,33,26
11,27,31
11,39,34
12,31,0
12,1,33
12,7,2
12,3,10
12,12,4
12,15,5
12,38,6
12,16,8
12,13,9
12,24,11
12,23,14
12,18,17
12,19,21
12,26,20
12,27,22
12,25,32
12,34,28
12,29,37
12,30,36
12,39,35
13,0,6
13,8,1
13,2,12
13,36,3
13,4,34
13,5,38
13,14,7
13,9,16
13,10,18
13,11,15
13,20,13
13,17,23
13,28,19
13,21,27
13,22,30
13,29,24
13,35,25
13,32,26
13,37,31
13,33,39
14,36,0
14,1,12
14,2,35
14,34,3
14,4,11
14,8,5
14,6,14
14,7,38
14,17,9
14,10,21
14,22,13
14,15,23
14,16,20
14,18,28
14,19,30
14,32,24
14,33,25
14,31,26
14,27,37
14,39,29
15,0,8
15,6,1
15,11,2
15,3,32
15,13,4
15,5,36
15,21,7
15,9,19
15,23,10
15,12,18
15,14,22
15,20,15
15,25,16
15,28,17
15,24,31
15,26,34
15,35,27
15,38,29
15,30,39
15,37,33
16,0,29
16,1,38
16,10,2
16,15,3
16,4,36
16,11,5
16,6,13
16,17,7
16,37,8
16,9,14
16,12,19
16,24,16
16,18,25
16,31,20
16,21,30
16,22,34
16,23,26
16,33,27
16,28,35
16,32,39
17,30,0
17,34,1
17,2,33
17,3,11
17,35,4
17,5,9
17,16,6
17,7,37
17,8,18
17,38,10
17,20,12
17,13,23
17,14,21
17,25,15
17,27,17
17,19,32
17,29,22
17,26,24
17,36,28
17,39,31
18,33,0
18,1,13
18,14,2
18,3,38
18,31,4
18,5,35
18,18,6
18,34,7
18,36,8
18,9,21
18,37,10
18,11,23
18,22,12
18,26,15
18,27,16
18,24,17
18,29,19
18,20,32
18,30,25
18,39,28
19,0,9
19,25,1
19,2,31
19,35,3
19,4,14
19,16,5
19,21,6
19,7,36
19,8,39
19,10,20
19,19,11
19,12,27
19,13,24
19,15,18
19,17,26
19,28,22
19,23,33
19,29,34
19,38,30
19,32,37
