588,MiaoAlgo,I_CON40_10,1,30
NrSuccesfullMatchings,1828,NrInfeasibleMatchings,0
Time,Value 
0,200305
Final, 296,5

Round,H_team,A_team 
0,1,0
0,2,3
0,6,4
0,7,5
0,8,10
0,9,11
0,14,12
0,15,13
0,18,16
0,19,17
0,20,24
0,21,25
0,22,27
0,23,29
0,26,30
0,28,32
0,31,33
0,36,34
0,38,35
0,39,37
1,4,0
1,1,33
1,2,9
1,15,3
1,18,5
1,6,22
1,14,7
1,8,36
1,10,34
1,19,11
1,20,12
1,21,13
1,16,35
1,23,17
1,26,24
1,28,25
1,31,27
1,29,37
1,38,30
1,39,32
2,12,0
2,4,1
2,2,28
2,13,3
2,5,9
2,14,6
2,7,31
2,18,8
2,17,10
2,11,22
2,19,15
2,16,38
2,21,20
2,23,26
2,24,25
2,27,29
2,32,30
2,33,34
2,35,37
2,36,39
3,0,35
3,30,1
3,5,2
3,3,16
3,4,19
3,13,6
3,12,7
3,17,8
3,9,21
3,37,10
3,11,23
3,20,14
3,22,15
3,39,18
3,24,28
3,25,36
3,27,26
3,34,29
3,32,31
3,33,38
4,0,32
4,1,8
4,10,2
4,3,39
4,9,4
4,5,14
4,6,18
4,16,7
4,25,11
4,30,12
4,34,13
4,15,21
4,17,38
4,24,19
4,28,20
4,22,23
4,31,26
4,37,27
4,29,33
4,35,36
5,0,13
5,1,5
5,7,2
5,26,3
5,4,24
5,6,20
5,8,31
5,22,9
5,10,25
5,34,11
5,38,12
5,21,14
5,23,15
5,16,39
5,28,17
5,19,18
5,33,27
5,29,30
5,35,32
5,36,37
6,3,0
6,1,29
6,2,15
6,4,16
6,23,5
6,21,6
6,7,38
6,8,24
6,28,9
6,20,10
6,11,30
6,35,12
6,36,13
6,14,17
6,18,31
6,19,22
6,25,32
6,26,34
6,39,27
6,37,33
7,30,0
7,6,1
7,2,29
7,3,17
7,7,4
7,36,5
7,8,19
7,39,9
7,12,10
7,11,16
7,13,38
7,14,23
7,25,15
7,18,21
7,20,22
7,34,24
7,26,28
7,27,35
7,37,31
7,32,33
8,0,37
8,17,1
8,11,2
8,3,18
8,27,4
8,5,19
8,33,6
8,24,7
8,25,8
8,9,23
8,10,16
8,12,21
8,13,26
8,34,14
8,15,28
8,30,20
8,31,22
8,29,35
8,32,36
8,38,39
9,0,39
9,10,1
9,30,2
9,9,3
9,15,4
9,5,8
9,31,6
9,37,7
9,38,11
9,12,18
9,13,14
9,16,20
9,17,21
9,27,19
9,22,28
9,24,23
9,29,25
9,32,26
9,33,36
9,35,34
