42,MiaoAlgo,I_CON40_20,100,70
NrSuccesfullMatchings,1761,NrInfeasibleMatchings,0
Time,Value 
6750,100638
6720,100638
6690,100638
6660,100638
6630,100638
6600,100638
6570,100638
6540,100638
6510,100638
6480,100638
6450,100638
6420,100638
6390,100638
6360,100638
6330,100638
6300,100638
6270,100638
6240,100638
6210,100638
6180,100638
6150,100638
6120,100638
6090,100638
6060,100638
6030,100638
6000,100638
5970,100638
5940,100638
5910,100638
5880,100638
5850,100638
5820,100638
5790,100638
5760,100638
5730,100638
5700,100638
5670,100638
5640,100638
5610,100638
5580,100638
5550,100638
5520,100638
5490,100638
5460,100638
5430,100638
5400,100638
5370,100638
5340,100638
5310,100638
5280,100638
5250,100638
5220,100638
5190,100638
5160,100638
5130,100638
5100,100638
5070,100638
5040,100638
5010,100638
4980,100638
4950,100638
4920,100638
4890,100638
4860,100638
4830,100638
4800,100638
4770,100638
4740,100638
4710,100638
4680,100638
4650,100638
4620,100638
4590,100638
4560,100638
4530,100638
4500,100638
4470,100638
4440,100638
4410,100638
4380,100638
4350,100638
4320,100638
4290,100638
4260,100638
4230,100638
4200,100638
4170,100638
4140,100638
4110,100638
4080,100638
4050,100638
4020,100638
3990,100638
3960,100638
3930,100638
3900,100638
3870,100638
3840,100638
3810,100638
1740,100638
1710,100638
1680,100638
1650,100638
1620,100638
1590,100638
1560,100638
1530,100638
1500,100638
1470,100638
1440,100638
1410,100638
1380,100638
1350,100638
1320,100638
1290,100638
1260,100638
1230,100638
1200,100638
1170,100638
1140,100638
1110,100638
1080,100638
1050,100638
1020,100638
990,100638
960,100638
930,100638
900,100638
870,100638
360,100638
330,100638
300,100638
270,100638
240,100638
210,100638
180,100638
150,100638
120,100638
90,100638
60,100638
30,100638
0,100638
390,100638
420,100638
450,100638
480,100638
510,100638
540,100638
570,100638
600,100638
630,100638
660,100638
690,100638
720,100638
750,100638
780,100638
810,100638
840,100638
1770,100638
1800,100638
1830,100638
1860,100638
1890,100638
1920,100638
1950,100638
1980,100638
2010,100638
2040,100638
2070,100638
2100,100638
2130,100638
2160,100638
2190,100638
2220,100638
2250,100638
2280,100638
2310,100638
2340,100638
2370,100638
2400,100638
2430,100638
2460,100638
2490,100638
2520,100638
2550,100638
2580,100638
2610,100638
2640,100638
2670,100638
2700,100638
2730,100638
2760,100638
2790,100638
2820,100638
2850,100638
2880,100638
2910,100638
2940,100638
2970,100638
3000,100638
3030,100638
3060,100638
3090,100638
3120,100638
3150,100638
3180,100638
3210,100638
3240,100638
3270,100638
3300,100638
3330,100638
3360,100638
3390,100638
3420,100638
3450,100638
3480,100638
3510,100638
3540,100638
3570,100638
3600,100638
3630,100638
3660,100638
3690,100638
3720,100638
3750,100638
3780,100638
Final, 100638,6757

