154,MiaoAlgo,I_GAL40_10,1000,30
NrSuccesfullMatchings,74068,NrInfeasibleMatchings,0
Time,Value 
210,28988
180,28988
150,28988
120,28988
90,28988
60,28988
30,29252
0,232864
Final, 28988,216

Round,H_team,A_team 
0,0,2
0,1,12
0,6,3
0,4,8
0,5,7
0,9,17
0,10,11
0,15,13
0,14,18
0,16,20
0,19,28
0,21,30
0,27,22
0,23,35
0,24,25
0,26,29
0,31,32
0,39,33
0,34,38
0,36,37
1,0,1
1,2,12
1,4,3
1,5,19
1,6,8
1,13,7
1,9,29
1,15,10
1,23,11
1,14,17
1,16,28
1,18,30
1,21,20
1,31,22
1,26,24
1,34,25
1,27,32
1,36,33
1,38,35
1,37,39
2,3,0
2,1,4
2,10,2
2,8,5
2,34,6
2,15,7
2,9,14
2,11,19
2,12,30
2,35,13
2,16,21
2,18,17
2,22,20
2,28,23
2,29,24
2,38,25
2,32,26
2,27,31
2,37,33
2,36,39
3,8,0
3,17,1
3,11,2
3,7,3
3,4,5
3,25,6
3,30,9
3,33,10
3,12,14
3,38,13
3,20,15
3,19,16
3,22,18
3,21,36
3,39,23
3,24,34
3,31,26
3,29,27
3,28,37
3,32,35
4,7,0
4,14,1
4,2,15
4,3,5
4,6,4
4,25,8
4,18,9
4,23,10
4,11,16
4,17,12
4,13,22
4,19,36
4,20,39
4,37,21
4,24,27
4,26,34
4,33,28
4,30,29
4,35,31
4,32,38
5,0,4
5,1,15
5,2,17
5,3,11
5,5,23
5,6,19
5,7,22
5,24,8
5,9,12
5,10,39
5,13,20
5,14,30
5,16,36
5,18,29
5,28,21
5,37,25
5,27,26
5,38,31
5,34,32
5,35,33
6,20,0
6,1,2
6,3,22
6,4,19
6,5,6
6,27,7
6,37,8
6,9,24
6,10,13
6,15,11
6,12,18
6,14,29
6,16,23
6,17,30
6,21,39
6,25,32
6,35,26
6,36,28
6,34,31
6,38,33
7,12,0
7,1,9
7,4,2
7,31,3
7,5,13
7,6,32
7,7,35
7,8,19
7,10,16
7,20,11
7,22,14
7,15,27
7,17,24
7,21,18
7,33,23
7,25,26
7,39,28
7,29,34
7,30,37
7,36,38
8,0,6
8,7,1
8,2,9
8,26,3
8,25,4
8,32,5
8,8,36
8,28,10
8,11,35
8,12,24
8,13,27
8,31,14
8,23,15
8,33,16
8,22,17
8,20,18
8,19,21
8,29,37
8,30,34
8,39,38
9,0,9
9,3,1
9,2,6
9,32,4
9,35,5
9,11,7
9,8,21
9,19,10
9,22,12
9,13,31
9,26,14
9,33,15
9,39,16
9,17,34
9,18,27
9,23,20
9,24,37
9,29,25
9,28,38
9,30,36
