10000,MiaoAlgo,I_GAL40_10,1000,70
NrSuccesfullMatchings,101108,NrInfeasibleMatchings,0
Time,Value 
240,28123
210,28123
180,28123
150,28123
120,28123
90,28123
60,28134
30,28794
0,30922
Final, 28123,243

Round,H_team,A_team 
0,2,0
0,3,1
0,4,6
0,7,5
0,21,8
0,9,25
0,11,10
0,12,17
0,22,13
0,18,14
0,20,15
0,16,19
0,33,23
0,30,24
0,29,26
0,31,27
0,39,28
0,35,32
0,38,34
0,37,36
1,1,0
1,2,4
1,7,3
1,6,5
1,16,8
1,9,14
1,10,19
1,23,11
1,12,18
1,20,13
1,22,15
1,30,17
1,21,37
1,29,24
1,25,34
1,31,26
1,27,32
1,33,28
1,38,35
1,39,36
2,8,0
2,1,4
2,2,20
2,6,3
2,5,16
2,7,31
2,17,9
2,23,10
2,11,19
2,14,12
2,13,15
2,18,22
2,21,39
2,24,25
2,27,26
2,28,37
2,30,29
2,32,38
2,36,33
2,34,35
3,0,20
3,1,2
3,5,3
3,4,8
3,34,6
3,15,7
3,12,9
3,28,10
3,11,13
3,14,22
3,16,39
3,17,29
3,18,30
3,19,23
3,36,21
3,24,38
3,26,25
3,35,27
3,32,31
3,37,33
4,0,4
4,8,1
4,3,2
4,19,5
4,32,6
4,20,7
4,9,30
4,36,10
4,15,11
4,22,12
4,23,13
4,17,14
4,16,33
4,18,29
4,28,21
4,26,24
4,25,38
4,34,27
4,35,31
4,37,39
5,10,0
5,5,1
5,2,17
5,3,4
5,35,6
5,13,7
5,8,25
5,9,18
5,11,16
5,15,12
5,29,14
5,19,36
5,39,20
5,33,21
5,22,30
5,23,28
5,31,24
5,26,32
5,38,27
5,37,34
6,0,17
6,1,18
6,22,2
6,31,3
6,7,4
6,5,36
6,6,25
6,8,19
6,9,26
6,10,15
6,11,28
6,13,12
6,30,14
6,21,16
6,33,20
6,23,35
6,27,24
6,29,32
6,39,34
6,38,37
7,0,18
7,1,17
7,12,2
7,27,3
7,4,19
7,5,15
7,24,6
7,7,11
7,30,8
7,29,9
7,10,13
7,14,26
7,16,28
7,21,20
7,31,22
7,38,23
7,25,32
7,33,39
7,36,34
7,35,37
8,0,7
8,6,1
8,14,2
8,3,11
8,4,5
8,17,8
8,24,9
8,20,10
8,12,30
8,13,31
8,15,33
8,36,16
8,18,21
8,19,39
8,27,22
8,34,23
8,25,29
8,26,35
8,28,38
8,32,37
9,3,0
9,19,1
9,2,7
9,4,9
9,8,5
9,6,11
9,10,33
9,24,12
9,13,27
9,14,21
9,15,31
9,37,16
9,17,18
9,20,30
9,26,22
9,32,23
9,25,35
9,28,36
9,34,29
9,39,38
