10000,MiaoAlgo,I_GAL40_10,1000,100
NrSuccesfullMatchings,109970,NrInfeasibleMatchings,0
Time,Value 
270,30355
240,30355
210,30355
180,30355
150,30355
120,30355
90,30401
60,30669
30,30669
0,32953
Final, 30355,299

Round,H_team,A_team 
0,0,2
0,4,1
0,3,7
0,5,6
0,16,8
0,14,9
0,10,20
0,11,15
0,21,12
0,23,13
0,30,17
0,18,22
0,28,19
0,24,25
0,29,26
0,27,31
0,35,32
0,39,33
0,38,34
0,37,36
1,1,0
1,2,5
1,13,3
1,6,4
1,7,27
1,25,8
1,9,18
1,10,11
1,20,12
1,17,14
1,23,15
1,19,16
1,21,36
1,22,31
1,24,26
1,33,28
1,29,30
1,34,32
1,38,35
1,37,39
2,0,5
2,1,2
2,3,27
2,8,4
2,25,6
2,31,7
2,9,17
2,16,10
2,19,11
2,22,12
2,20,13
2,18,14
2,33,15
2,37,21
2,28,23
2,29,24
2,26,30
2,38,32
2,34,35
2,36,39
3,4,0
3,7,1
3,2,10
3,6,3
3,5,19
3,8,37
3,12,9
3,11,16
3,13,22
3,14,29
3,15,20
3,17,18
3,39,21
3,23,38
3,30,24
3,32,25
3,31,26
3,27,34
3,36,28
3,35,33
4,8,0
4,3,1
4,20,2
4,4,5
4,6,19
4,13,7
4,22,9
4,15,10
4,11,23
4,12,14
4,16,37
4,17,24
4,18,29
4,28,21
4,35,25
4,26,27
4,36,30
4,31,34
4,32,33
4,39,38
5,0,3
5,1,17
5,22,2
5,14,4
5,7,5
5,24,6
5,10,8
5,9,29
5,20,11
5,12,18
5,15,13
5,21,16
5,19,36
5,23,33
5,25,38
5,34,26
5,27,32
5,28,39
5,37,30
5,35,31
6,0,17
6,1,12
6,14,2
6,3,5
6,18,4
6,29,6
6,10,7
6,20,8
6,24,9
6,13,11
6,22,15
6,16,39
6,23,19
6,21,30
6,25,34
6,38,26
6,27,35
6,28,37
6,32,31
6,33,36
7,7,0
7,9,1
7,2,12
7,4,3
7,5,16
7,6,8
7,10,13
7,11,36
7,24,14
7,15,27
7,17,22
7,30,18
7,19,39
7,21,20
7,32,23
7,25,29
7,26,35
7,34,28
7,38,31
7,33,37
8,15,0
8,18,1
8,2,21
8,3,14
8,9,4
8,5,11
8,16,6
8,7,35
8,8,24
8,33,10
8,12,17
8,13,27
8,19,37
8,39,20
8,30,22
8,31,23
8,26,25
8,32,28
8,34,29
8,36,38
9,0,13
9,1,16
9,2,18
9,12,3
9,4,24
9,5,15
9,6,34
9,14,7
9,8,19
9,30,9
9,39,10
9,11,33
9,17,21
9,36,20
9,29,22
9,27,23
9,31,25
9,26,32
9,35,28
9,37,38
