5003,MiaoAlgo,I_GAL40_20,500,70
NrSuccesfullMatchings,163914,NrInfeasibleMatchings,0
Time,Value 
840,175221
810,175221
780,175221
750,175221
720,175221
690,176223
660,176223
630,176223
600,176223
570,176969
540,176969
510,177173
480,177173
450,177173
420,177173
390,177173
0,179411
30,178273
60,177934
90,177549
120,177549
150,177443
180,177337
210,177306
240,177215
270,177173
300,177173
330,177173
360,177173
Final, 175221,7231

Round,H_team,A_team 
0,0,2
0,1,3
0,6,4
0,5,8
0,27,7
0,14,9
0,11,10
0,12,18
0,15,13
0,16,19
0,17,30
0,20,22
0,21,33
0,38,23
0,24,29
0,34,25
0,31,26
0,37,28
0,35,32
0,36,39
1,0,3
1,1,4
1,2,12
1,19,5
1,6,8
1,7,31
1,9,17
1,10,13
1,15,11
1,14,30
1,16,21
1,22,18
1,20,33
1,35,23
1,24,34
1,25,29
1,26,27
1,39,28
1,32,38
1,37,36
2,1,0
2,21,2
2,7,3
2,9,4
2,5,6
2,8,16
2,10,19
2,13,11
2,30,12
2,22,14
2,20,15
2,18,17
2,33,23
2,25,24
2,29,26
2,27,31
2,36,28
2,34,32
2,38,35
2,39,37
3,0,18
3,6,1
3,15,2
3,3,5
3,4,8
3,13,7
3,24,9
3,10,20
3,11,16
3,12,14
3,22,17
3,19,36
3,28,21
3,23,37
3,26,25
3,32,27
3,29,30
3,31,35
3,39,33
3,34,38
4,4,0
4,1,7
4,2,20
4,3,6
4,5,15
4,8,10
4,9,12
4,23,11
4,13,22
4,18,14
4,16,39
4,17,29
4,37,19
4,36,21
4,24,30
4,38,25
4,26,34
4,27,35
4,33,28
4,32,31
5,0,7
5,12,1
5,22,2
5,27,3
5,17,4
5,5,10
5,14,6
5,8,15
5,29,9
5,11,39
5,20,13
5,36,16
5,18,30
5,38,19
5,37,21
5,28,23
5,24,26
5,35,25
5,31,34
5,33,32
6,0,8
6,2,1
6,31,3
6,25,4
6,5,35
6,6,24
6,7,26
6,9,18
6,15,10
6,11,33
6,12,22
6,13,27
6,14,17
6,20,16
6,19,28
6,21,39
6,23,32
6,29,34
6,30,36
6,38,37
7,0,5
7,8,1
7,2,14
7,3,26
7,24,4
7,6,7
7,9,22
7,10,28
7,11,19
7,12,17
7,31,13
7,23,15
7,37,16
7,18,27
7,39,20
7,30,21
7,32,25
7,29,36
7,33,38
7,34,35
8,13,0
8,1,14
8,2,6
8,3,8
8,4,34
8,7,5
8,30,9
8,16,10
8,28,11
8,20,12
8,35,15
8,17,21
8,18,29
8,23,19
8,22,31
8,32,24
8,27,25
8,26,36
8,33,37
8,38,39
9,0,6
9,1,5
9,4,2
9,13,3
9,7,32
9,25,8
9,9,26
9,10,23
9,37,11
9,12,29
9,14,27
9,38,15
9,28,16
9,24,17
9,31,18
9,19,34
9,21,20
9,22,30
9,36,33
9,35,39
10,0,14
10,9,1
10,8,2
10,15,3
10,16,4
10,5,25
10,13,6
10,10,7
10,36,11
10,12,27
10,26,17
10,18,24
10,21,19
10,20,31
10,22,29
10,23,34
10,28,38
10,30,37
10,32,39
10,33,35
11,9,0
11,1,13
11,17,2
11,3,14
11,4,5
11,6,16
11,7,15
11,8,33
11,21,10
11,11,35
11,12,24
11,18,20
11,39,19
11,27,22
11,25,23
11,32,26
11,34,28
11,29,37
11,30,31
11,38,36
12,17,0
12,15,1
12,2,18
12,3,9
12,4,12
12,5,13
12,19,6
12,7,22
12,8,23
12,10,35
12,11,21
12,14,20
12,16,33
12,31,24
12,25,28
12,38,26
12,29,27
12,39,30
12,32,36
12,37,34
13,22,0
13,20,1
13,16,2
13,3,32
13,19,4
13,5,11
13,6,38
13,9,7
13,17,8
13,33,10
13,21,12
13,13,14
13,15,18
13,23,39
13,24,27
13,25,37
13,35,26
13,28,30
13,31,29
13,34,36
14,0,11
14,1,17
14,2,9
14,34,3
14,4,38
14,5,16
14,6,25
14,18,7
14,30,8
14,39,10
14,36,12
14,26,13
14,14,31
14,27,15
14,19,33
14,20,23
14,22,21
14,24,37
14,35,28
14,32,29
15,10,0
15,27,1
15,2,11
15,3,24
15,4,14
15,37,5
15,34,6
15,7,35
15,8,19
15,13,9
15,12,31
15,26,15
15,23,16
15,17,39
15,21,18
15,36,20
15,33,22
15,30,25
15,28,32
15,38,29
16,15,0
16,31,1
16,2,30
16,3,38
16,29,4
16,36,5
16,35,6
16,11,7
16,21,8
16,9,27
16,10,37
16,12,39
16,33,13
16,14,24
16,16,34
16,25,17
16,18,26
16,19,32
16,28,20
16,23,22
17,0,12
17,26,1
17,10,2
17,18,3
17,4,28
17,5,23
17,32,6
17,7,38
17,34,8
17,21,9
17,11,22
17,39,13
17,29,14
17,33,15
17,16,24
17,17,36
17,19,20
17,25,31
17,30,27
17,35,37
18,16,0
18,1,18
18,2,29
18,22,3
18,4,10
18,28,5
18,6,23
18,7,25
18,8,12
18,39,9
18,20,11
18,37,13
18,14,21
18,15,32
18,17,31
18,19,35
18,24,36
18,26,30
18,27,38
18,34,33
19,28,0
19,1,10
19,13,2
19,3,4
19,39,5
19,6,12
19,23,7
19,8,18
19,36,9
19,11,32
19,14,16
19,15,19
19,37,17
19,30,20
19,29,21
19,26,22
19,35,24
19,25,33
19,27,34
19,31,38
