11,MiaoAlgo,I_INCR40_10,1000,10
NrSuccesfullMatchings,26529,NrInfeasibleMatchings,0
Time,Value 
30,20582
0,27460
Final, 20582,55

Round,H_team,A_team 
0,0,3
0,1,2
0,4,5
0,7,6
0,8,9
0,10,11
0,18,12
0,15,13
0,16,14
0,19,17
0,23,20
0,22,21
0,25,24
0,26,28
0,27,29
0,30,31
0,35,32
0,34,33
0,36,37
0,38,39
1,1,0
1,10,2
1,4,3
1,7,5
1,8,6
1,9,11
1,17,12
1,14,13
1,15,16
1,18,20
1,19,21
1,22,23
1,26,24
1,25,27
1,31,28
1,30,29
1,34,32
1,35,33
1,36,39
1,38,37
2,5,0
2,1,4
2,6,2
2,3,7
2,8,11
2,9,10
2,12,19
2,13,16
2,14,15
2,17,18
2,20,25
2,21,23
2,22,26
2,24,27
2,28,29
2,32,30
2,31,34
2,33,38
2,36,35
2,39,37
3,0,4
3,3,1
3,2,7
3,5,8
3,6,9
3,12,10
3,11,14
3,13,19
3,17,15
3,16,18
3,20,26
3,21,25
3,24,22
3,23,27
3,28,30
3,29,31
3,32,38
3,33,36
3,37,34
3,39,35
4,0,7
4,6,1
4,2,9
4,3,5
4,4,8
4,15,10
4,11,13
4,14,12
4,16,17
4,18,19
4,21,20
4,27,22
4,24,23
4,28,25
4,29,26
4,35,30
4,32,31
4,37,33
4,39,34
4,38,36
5,0,9
5,7,1
5,2,5
5,8,3
5,4,6
5,10,13
5,15,11
5,16,12
5,14,17
5,18,21
5,19,24
5,22,20
5,25,23
5,26,39
5,27,28
5,38,29
5,30,33
5,35,31
5,37,32
5,34,36
6,10,0
6,1,5
6,4,2
6,3,6
6,8,7
6,9,13
6,17,11
6,15,12
6,14,21
6,22,16
6,18,24
6,19,20
6,26,23
6,25,39
6,30,27
6,38,28
6,34,29
6,31,33
6,36,32
6,35,37
7,12,0
7,1,8
7,3,2
7,11,4
7,5,6
7,9,7
7,10,14
7,13,18
7,19,15
7,23,16
7,17,21
7,20,24
7,25,22
7,26,27
7,36,28
7,29,39
7,30,38
7,31,37
7,33,32
7,34,35
8,13,0
8,12,1
8,2,8
8,9,3
8,7,4
8,5,10
8,6,14
8,11,18
8,21,15
8,24,16
8,20,17
8,23,19
8,39,22
8,33,25
8,32,26
8,27,38
8,28,34
8,29,35
8,37,30
8,31,36
9,0,8
9,13,1
9,2,14
9,11,3
9,12,4
9,5,9
9,6,10
9,7,18
9,20,15
9,16,19
9,23,17
9,21,38
9,37,22
9,24,34
9,32,25
9,33,26
9,27,31
9,28,35
9,29,36
9,39,30
