5003,MiaoAlgo,I_INCR40_10,1000,10
NrSuccesfullMatchings,30920,NrInfeasibleMatchings,0
Time,Value 
60,19862
30,19882
0,32876
Final, 19862,67

Round,H_team,A_team 
0,0,1
0,2,3
0,11,4
0,10,5
0,7,6
0,9,8
0,12,13
0,14,15
0,16,17
0,23,18
0,20,19
0,22,21
0,25,24
0,26,27
0,28,29
0,30,33
0,31,32
0,35,34
0,39,36
0,38,37
1,0,3
1,1,2
1,9,4
1,5,6
1,7,8
1,10,11
1,12,16
1,13,15
1,14,17
1,19,18
1,20,21
1,22,23
1,26,24
1,25,27
1,31,28
1,30,29
1,35,32
1,33,34
1,38,36
1,39,37
2,0,2
2,1,4
2,3,7
2,5,11
2,6,9
2,8,10
2,12,14
2,13,16
2,15,18
2,17,20
2,19,22
2,21,23
2,27,24
2,25,26
2,33,28
2,29,31
2,32,30
2,34,38
2,35,39
2,37,36
3,4,0
3,3,1
3,2,7
3,5,9
3,6,10
3,8,11
3,15,12
3,13,14
3,16,20
3,17,19
3,18,22
3,21,26
3,23,25
3,24,30
3,27,31
3,32,28
3,29,38
3,36,33
3,34,39
3,37,35
4,6,0
4,1,5
4,4,2
4,3,8
4,7,9
4,10,14
4,11,13
4,19,12
4,16,15
4,17,22
4,18,20
4,21,25
4,24,23
4,29,26
4,27,30
4,28,38
4,31,39
4,34,32
4,37,33
4,36,35
5,0,8
5,1,6
5,14,2
5,4,3
5,7,5
5,9,15
5,10,13
5,11,17
5,20,12
5,16,18
5,19,21
5,22,25
5,26,23
5,24,29
5,28,27
5,30,34
5,31,37
5,36,32
5,39,33
5,38,35
6,0,9
6,1,8
6,6,2
6,5,3
6,7,4
6,10,15
6,12,11
6,13,17
6,14,18
6,19,16
6,22,20
6,21,24
6,31,23
6,25,29
6,26,28
6,35,27
6,30,37
6,33,32
6,34,36
6,39,38
7,5,0
7,15,1
7,2,9
7,6,3
7,8,4
7,13,7
7,12,10
7,14,11
7,21,16
7,18,17
7,26,19
7,23,20
7,22,24
7,25,28
7,39,27
7,32,29
7,30,36
7,35,31
7,33,38
7,34,37
8,11,0
8,17,1
8,2,5
8,3,12
8,4,6
8,15,7
8,8,13
8,9,10
8,20,14
8,23,16
8,18,21
8,24,19
8,27,22
8,38,25
8,37,26
8,28,30
8,29,34
8,36,31
8,32,39
8,33,35
9,15,0
9,18,1
9,2,12
9,3,10
9,4,5
9,8,6
9,11,7
9,9,13
9,16,14
9,17,21
9,23,19
9,20,30
9,32,22
9,24,39
9,37,25
9,36,26
9,27,33
9,28,34
9,29,35
9,38,31
