396,MiaoAlgo,I_INCR40_10,1000,50
NrSuccesfullMatchings,152512,NrInfeasibleMatchings,0
Time,Value 
300,19908
270,19908
240,19908
210,19908
180,19908
150,19908
120,19908
90,19908
60,19942
30,20078
0,23398
Final, 19908,328

Round,H_team,A_team 
0,1,0
0,2,5
0,3,4
0,6,11
0,7,10
0,8,9
0,12,15
0,13,14
0,17,16
0,18,19
0,20,21
0,22,23
0,24,25
0,29,26
0,28,27
0,30,33
0,31,32
0,34,35
0,36,38
0,37,39
1,0,3
1,1,2
1,4,6
1,5,7
1,8,11
1,9,10
1,12,13
1,14,15
1,22,16
1,18,17
1,20,19
1,24,21
1,23,25
1,28,26
1,29,27
1,30,31
1,33,32
1,37,34
1,36,35
1,38,39
2,0,2
2,3,1
2,4,5
2,9,6
2,11,7
2,10,8
2,14,12
2,15,13
2,23,16
2,19,17
2,20,18
2,21,22
2,26,24
2,25,28
2,27,30
2,31,29
2,32,34
2,35,33
2,39,36
2,38,37
3,0,5
3,4,1
3,2,3
3,8,6
3,9,7
3,15,10
3,11,12
3,16,13
3,17,14
3,21,18
3,19,22
3,25,20
3,23,24
3,26,27
3,31,28
3,30,29
3,32,37
3,33,36
3,39,34
3,35,38
4,7,0
4,5,1
4,6,2
4,3,9
4,8,4
4,12,10
4,13,11
4,14,16
4,15,17
4,18,22
4,21,19
4,20,23
4,24,27
4,26,25
4,28,29
4,30,32
4,38,31
4,39,33
4,34,36
4,35,37
5,6,0
5,1,9
5,7,2
5,3,13
5,10,4
5,5,8
5,14,11
5,12,17
5,18,15
5,16,21
5,19,24
5,22,20
5,23,26
5,27,25
5,28,39
5,29,35
5,34,30
5,37,31
5,36,32
5,38,33
6,0,9
6,1,13
6,4,2
6,3,8
6,5,6
6,12,7
6,14,10
6,17,11
6,19,15
6,18,16
6,20,24
6,23,21
6,22,26
6,29,25
6,27,39
6,30,28
6,36,31
6,32,35
6,37,33
6,34,38
7,4,0
7,10,1
7,2,8
7,6,3
7,11,5
7,15,7
7,9,12
7,13,18
7,19,14
7,16,20
7,17,24
7,21,26
7,25,22
7,27,23
7,28,38
7,29,32
7,35,30
7,31,39
7,33,34
7,37,36
8,8,0
8,6,1
8,2,12
8,7,3
8,9,4
8,10,5
8,11,18
8,13,19
8,21,14
8,16,15
8,17,20
8,22,27
8,35,23
8,24,28
8,25,36
8,26,37
8,33,29
8,39,30
8,31,34
8,32,38
9,0,12
9,1,8
9,2,9
9,5,3
9,11,4
9,7,6
9,10,18
9,13,17
9,26,14
9,15,20
9,16,19
9,25,21
9,24,22
9,36,23
9,27,37
9,32,28
9,34,29
9,38,30
9,33,31
9,39,35
