154,MiaoAlgo,I_INCR40_10,1000,70
NrSuccesfullMatchings,81105,NrInfeasibleMatchings,0
Time,Value 
150,20266
120,20266
90,20266
60,20266
30,20304
0,22870
Final, 20266,167

Round,H_team,A_team 
0,0,1
0,3,2
0,4,15
0,5,8
0,6,7
0,9,10
0,11,14
0,12,13
0,19,16
0,18,17
0,24,20
0,22,21
0,25,23
0,27,26
0,28,33
0,29,32
0,30,31
0,35,34
0,39,36
0,38,37
1,2,0
1,1,7
1,3,4
1,5,6
1,10,8
1,11,9
1,15,12
1,13,14
1,24,16
1,20,17
1,19,18
1,29,21
1,25,22
1,27,23
1,28,26
1,30,33
1,32,31
1,38,34
1,35,36
1,39,37
2,0,4
2,3,1
2,6,2
2,7,5
2,9,8
2,14,10
2,16,11
2,17,12
2,15,13
2,21,18
2,20,19
2,22,27
2,23,24
2,26,25
2,36,28
2,31,29
2,32,30
2,34,33
2,37,35
2,39,38
3,0,3
3,4,1
3,7,2
3,9,5
3,8,6
3,12,10
3,13,11
3,14,15
3,17,16
3,18,20
3,21,19
3,22,23
3,26,24
3,25,27
3,37,28
3,30,29
3,31,35
3,33,32
3,34,39
3,36,38
4,5,0
4,2,1
4,6,3
4,4,12
4,7,9
4,8,13
4,10,11
4,17,14
4,15,20
4,18,16
4,22,19
4,21,23
4,25,24
4,26,29
4,31,27
4,38,28
4,30,35
4,34,32
4,33,39
4,36,37
5,6,0
5,1,10
5,2,4
5,5,3
5,8,7
5,9,13
5,11,12
5,16,14
5,15,18
5,19,17
5,20,21
5,24,22
5,23,26
5,28,25
5,27,30
5,29,34
5,38,31
5,32,37
5,33,36
5,35,39
6,0,10
6,1,5
6,11,2
6,3,8
6,6,4
6,7,13
6,9,12
6,14,18
6,15,17
6,16,21
6,19,26
6,20,22
6,23,34
6,24,30
6,29,25
6,27,28
6,39,31
6,32,36
6,37,33
6,35,38
7,0,9
7,8,1
7,10,2
7,3,7
7,5,4
7,11,6
7,12,14
7,13,18
7,16,15
7,17,21
7,24,19
7,20,23
7,22,26
7,30,25
7,27,34
7,28,39
7,29,36
7,37,31
7,32,38
7,35,33
8,8,0
8,1,9
8,2,5
8,10,3
8,4,7
8,12,6
8,17,11
8,13,16
8,14,20
8,21,15
8,18,22
8,23,19
8,31,24
8,25,39
8,26,35
8,36,27
8,28,32
8,37,29
8,34,30
8,33,38
9,7,0
9,1,6
9,2,9
9,12,3
9,4,8
9,10,5
9,18,11
9,13,17
9,14,22
9,19,15
9,16,20
9,21,25
9,23,35
9,33,24
9,26,32
9,39,27
9,31,28
9,38,29
9,36,30
9,34,37
