0,MiaoAlgo,I_INCR40_10,1000,100
NrSuccesfullMatchings,187707,NrInfeasibleMatchings,0
Time,Value 
450,22728
420,22728
390,22728
0,24970
30,22738
60,22738
90,22738
120,22728
150,22728
180,22728
210,22728
240,22728
270,22728
300,22728
330,22728
360,22728
Final, 22728,464

Round,H_team,A_team 
0,0,1
0,3,2
0,4,11
0,5,7
0,6,8
0,9,10
0,15,12
0,14,13
0,16,17
0,18,19
0,20,23
0,21,22
0,31,24
0,30,25
0,27,26
0,29,28
0,34,32
0,36,33
0,37,35
0,38,39
1,0,11
1,1,6
1,2,4
1,3,5
1,7,8
1,9,12
1,10,13
1,15,14
1,19,16
1,17,18
1,20,21
1,23,22
1,25,24
1,26,29
1,28,27
1,33,30
1,32,31
1,36,34
1,39,35
1,38,37
2,3,0
2,1,2
2,4,7
2,5,6
2,8,9
2,10,12
2,11,13
2,14,17
2,18,15
2,21,16
2,19,20
2,22,25
2,24,23
2,28,26
2,27,29
2,30,31
2,32,33
2,35,34
2,36,38
2,39,37
3,2,0
3,12,1
3,7,3
3,6,4
3,8,5
3,13,9
3,11,10
3,16,14
3,17,15
3,20,18
3,22,19
3,23,21
3,26,24
3,25,27
3,31,28
3,29,30
3,35,32
3,33,39
3,34,38
3,37,36
4,0,7
4,10,1
4,2,6
4,8,3
4,5,4
4,14,9
4,12,11
4,13,18
4,15,16
4,17,20
4,21,19
4,24,22
4,26,23
4,25,29
4,27,30
4,32,28
4,33,31
4,37,34
4,38,35
4,39,36
5,4,0
5,1,7
5,5,2
5,9,3
5,6,10
5,11,8
5,12,14
5,16,13
5,20,15
5,19,17
5,18,21
5,22,26
5,23,27
5,29,24
5,28,25
5,30,38
5,31,37
5,36,32
5,35,33
5,34,39
6,0,12
6,3,1
6,8,2
6,4,9
6,5,10
6,6,7
6,11,14
6,19,13
6,23,15
6,16,18
6,17,21
6,20,22
6,27,24
6,25,26
6,28,38
6,35,29
6,30,37
6,36,31
6,39,32
6,33,34
7,8,0
7,1,5
7,2,12
7,3,4
7,11,6
7,7,9
7,10,16
7,13,17
7,14,19
7,22,15
7,18,23
7,24,20
7,21,25
7,26,35
7,39,27
7,34,28
7,29,36
7,32,30
7,38,31
7,37,33
8,0,5
8,4,1
8,2,11
8,15,3
8,9,6
8,7,10
8,13,8
8,12,16
8,18,14
8,17,22
8,19,23
8,26,20
8,24,21
8,25,35
8,37,27
8,28,36
8,29,32
8,30,39
8,31,34
8,38,33
9,6,0
9,1,11
9,7,2
9,13,3
9,10,4
9,9,5
9,14,8
9,12,17
9,15,19
9,16,20
9,22,18
9,21,26
9,23,25
9,24,28
9,27,38
9,33,29
9,34,30
9,31,39
9,32,37
9,35,36
