396,MiaoAlgo,I_INCR40_10,1000,100
NrSuccesfullMatchings,246921,NrInfeasibleMatchings,0
Time,Value 
540,23122
510,23122
480,23122
450,23122
420,23122
390,23122
0,25146
30,23804
60,23408
90,23188
120,23122
150,23122
180,23122
210,23122
240,23122
270,23122
300,23122
330,23122
360,23122
Final, 23122,545

Round,H_team,A_team 
0,1,0
0,9,2
0,8,3
0,5,4
0,7,6
0,13,10
0,12,11
0,25,14
0,18,15
0,17,16
0,22,19
0,21,20
0,27,23
0,26,24
0,28,35
0,29,31
0,30,32
0,33,34
0,37,36
0,38,39
1,0,5
1,2,1
1,4,3
1,6,9
1,7,8
1,11,10
1,19,12
1,16,13
1,23,14
1,20,15
1,18,17
1,21,22
1,25,24
1,35,26
1,39,27
1,29,28
1,34,30
1,32,31
1,36,33
1,37,38
2,0,2
2,1,4
2,3,5
2,10,6
2,11,7
2,9,8
2,12,13
2,14,18
2,15,16
2,17,21
2,19,20
2,22,25
2,23,24
2,28,26
2,38,27
2,30,29
2,31,33
2,32,34
2,37,35
2,39,36
3,4,0
3,6,1
3,2,3
3,5,7
3,8,11
3,10,9
3,14,12
3,13,18
3,15,19
3,16,21
3,17,20
3,24,22
3,23,25
3,29,26
3,27,28
3,31,30
3,33,32
3,34,37
3,35,39
3,36,38
4,0,3
4,5,1
4,2,7
4,4,9
4,6,11
4,10,8
4,12,18
4,14,13
4,15,21
4,16,20
4,17,19
4,22,23
4,29,24
4,25,28
4,26,27
4,39,30
4,34,31
4,38,32
4,37,33
4,36,35
5,0,12
5,1,10
5,8,2
5,3,6
5,7,4
5,9,5
5,11,15
5,13,17
5,19,14
5,18,16
5,20,22
5,21,23
5,24,27
5,26,25
5,28,34
5,32,29
5,30,36
5,31,37
5,33,39
5,35,38
6,7,0
6,3,1
6,2,10
6,4,8
6,6,5
6,11,9
6,16,12
6,13,15
6,17,14
6,18,22
6,21,19
6,24,20
6,23,26
6,27,25
6,28,37
6,38,29
6,33,30
6,31,36
6,32,39
6,35,34
7,11,0
7,1,13
7,4,2
7,3,10
7,12,5
7,8,6
7,7,9
7,15,14
7,19,16
7,23,17
7,18,21
7,20,25
7,22,26
7,24,28
7,27,33
7,39,29
7,30,37
7,31,35
7,36,32
7,34,38
8,10,0
8,1,7
8,2,13
8,9,3
8,6,4
8,5,8
8,14,11
8,12,15
8,16,22
8,25,17
8,19,18
8,20,23
8,21,24
8,26,30
8,27,32
8,28,31
8,29,35
8,33,38
8,34,36
8,37,39
9,0,6
9,8,1
9,5,2
9,3,7
9,10,4
9,9,12
9,13,11
9,14,16
9,15,23
9,26,17
9,20,18
9,24,19
9,25,21
9,22,27
9,30,28
9,36,29
9,38,31
9,32,37
9,35,33
9,39,34
