588,MiaoAlgo,I_INCR40_10,1000,100
NrSuccesfullMatchings,292765,NrInfeasibleMatchings,0
Time,Value 
660,23140
630,23140
600,23140
570,23140
540,23140
510,23140
480,23140
450,23140
420,23140
390,23140
0,25370
30,23270
60,23140
90,23140
120,23140
150,23140
180,23140
210,23140
240,23140
270,23140
300,23140
330,23140
360,23140
Final, 23140,677

Round,H_team,A_team 
0,0,1
0,3,2
0,11,4
0,7,5
0,8,6
0,10,9
0,13,12
0,15,14
0,16,18
0,17,19
0,20,21
0,27,22
0,24,23
0,26,25
0,28,29
0,30,33
0,31,32
0,39,34
0,38,35
0,37,36
1,8,0
1,1,2
1,5,3
1,9,4
1,7,6
1,13,10
1,12,11
1,19,14
1,18,15
1,17,16
1,22,20
1,23,21
1,25,24
1,31,26
1,29,27
1,33,28
1,32,30
1,34,37
1,35,39
1,36,38
2,2,0
2,3,1
2,4,7
2,5,6
2,9,8
2,12,10
2,11,13
2,14,16
2,15,17
2,21,18
2,20,19
2,23,22
2,28,24
2,25,27
2,29,26
2,30,34
2,31,35
2,32,37
2,33,36
2,38,39
3,0,3
3,1,4
3,2,5
3,6,9
3,8,7
3,10,11
3,17,12
3,13,14
3,16,15
3,20,18
3,19,21
3,22,29
3,23,25
3,26,24
3,27,28
3,35,30
3,39,31
3,36,32
3,34,33
3,37,38
4,4,0
4,1,5
4,6,2
4,3,9
4,7,10
4,11,8
4,16,12
4,15,13
4,14,17
4,19,18
4,20,25
4,21,22
4,27,23
4,24,29
4,26,28
4,36,30
4,38,31
4,32,34
4,33,35
4,37,39
5,0,6
5,9,1
5,7,2
5,4,3
5,5,11
5,10,8
5,12,15
5,13,17
5,18,14
5,16,19
5,28,20
5,21,25
5,24,22
5,29,23
5,30,26
5,31,27
5,32,39
5,38,33
5,34,36
5,35,37
6,0,5
6,8,1
6,4,2
6,3,6
6,7,11
6,9,14
6,10,15
6,12,21
6,13,16
6,18,17
6,22,19
6,24,20
6,28,23
6,25,29
6,26,27
6,31,30
6,32,38
6,37,33
6,35,34
6,36,39
7,15,0
7,1,7
7,2,9
7,8,3
7,5,4
7,6,10
7,11,16
7,14,12
7,18,13
7,17,21
7,19,24
7,23,20
7,25,22
7,39,26
7,27,35
7,38,28
7,29,36
7,30,37
7,34,31
7,33,32
8,12,0
8,6,1
8,2,15
8,3,7
8,4,8
8,9,5
8,10,16
8,14,11
8,19,13
8,20,17
8,22,18
8,21,24
8,23,32
8,25,35
8,36,26
8,27,37
8,39,28
8,30,29
8,33,31
8,34,38
9,0,7
9,1,12
9,2,8
9,14,3
9,6,4
9,5,10
9,11,9
9,21,13
9,15,19
9,16,20
9,17,23
9,18,25
9,22,32
9,24,27
9,26,38
9,28,30
9,29,34
9,37,31
9,39,33
9,35,36
