2486,MiaoAlgo,I_INCR40_20,500,100
NrSuccesfullMatchings,1522784,NrInfeasibleMatchings,0
Time,Value 
5160,99670
5130,99670
5100,99670
5070,99670
5040,99670
5010,99670
4980,99670
4950,99670
4920,99670
4890,99670
4860,99670
4830,99670
4800,99670
4770,99670
4740,99670
4710,99670
4680,99670
4650,99670
4620,99670
4590,99670
4560,99670
4530,99670
4500,99670
4470,99670
4440,99670
4410,99670
4380,99670
4350,99670
4320,99670
4290,99670
4260,99670
4230,99670
4200,99670
4170,99670
4140,99670
4110,99670
4080,99670
4050,99670
4020,99670
3990,99670
3960,99670
3930,99670
3900,99670
3870,99670
3840,99670
3810,99670
1740,99670
1710,99670
1680,99670
1650,99670
1620,99670
1590,99670
1560,99670
1530,99670
1500,99670
1470,99670
1440,99670
1410,99670
1380,99670
1350,99670
1320,99670
1290,99670
1260,99670
1230,99670
1200,99670
1170,99670
1140,99670
1110,99670
1080,99670
1050,99670
1020,99670
990,99670
960,99670
930,99670
900,99670
870,99670
360,99670
330,99670
300,99670
270,99670
240,99670
210,99670
180,99670
150,99670
120,99670
90,99670
60,100504
30,100504
0,103798
390,99670
420,99670
450,99670
480,99670
510,99670
540,99670
570,99670
600,99670
630,99670
660,99670
690,99670
720,99670
750,99670
780,99670
810,99670
840,99670
1770,99670
1800,99670
1830,99670
1860,99670
1890,99670
1920,99670
1950,99670
1980,99670
2010,99670
2040,99670
2070,99670
2100,99670
2130,99670
2160,99670
2190,99670
2220,99670
2250,99670
2280,99670
2310,99670
2340,99670
2370,99670
2400,99670
2430,99670
2460,99670
2490,99670
2520,99670
2550,99670
2580,99670
2610,99670
2640,99670
2670,99670
2700,99670
2730,99670
2760,99670
2790,99670
2820,99670
2850,99670
2880,99670
2910,99670
2940,99670
2970,99670
3000,99670
3030,99670
3060,99670
3090,99670
3120,99670
3150,99670
3180,99670
3210,99670
3240,99670
3270,99670
3300,99670
3330,99670
3360,99670
3390,99670
3420,99670
3450,99670
3480,99670
3510,99670
3540,99670
3570,99670
3600,99670
3630,99670
3660,99670
3690,99670
3720,99670
3750,99670
3780,99670
Final, 99670,7231

