42,MiaoAlgo,I_LINE40_10,1000,10
NrSuccesfullMatchings,16003,NrInfeasibleMatchings,0
Time,Value 
30,976
0,3412
Final, 976,36

Round,H_team,A_team 
0,0,3
0,1,2
0,5,4
0,7,6
0,9,8
0,11,10
0,12,13
0,14,15
0,16,17
0,19,18
0,20,23
0,21,22
0,24,25
0,26,27
0,28,29
0,31,30
0,32,33
0,35,34
0,36,37
0,39,38
1,0,2
1,1,3
1,6,4
1,7,5
1,12,8
1,10,9
1,11,13
1,14,17
1,16,15
1,21,18
1,20,19
1,22,23
1,24,26
1,27,25
1,31,28
1,30,29
1,35,32
1,33,34
1,36,39
1,38,37
2,1,0
2,2,4
2,3,7
2,6,5
2,10,8
2,11,9
2,15,12
2,13,14
2,18,16
2,17,19
2,22,20
2,23,21
2,27,24
2,25,26
2,30,28
2,29,31
2,34,32
2,33,35
2,38,36
2,37,39
3,4,0
3,5,1
3,2,7
3,3,6
3,8,11
3,9,14
3,15,10
3,17,12
3,13,16
3,18,20
3,19,22
3,25,21
3,23,24
3,26,30
3,28,27
3,29,36
3,32,31
3,39,33
3,34,38
3,37,35
4,0,7
4,4,1
4,3,2
4,5,9
4,6,11
4,8,14
4,13,10
4,16,12
4,15,22
4,17,18
4,19,24
4,21,20
4,23,25
4,26,31
4,27,30
4,28,36
4,29,33
4,32,38
4,34,37
4,35,39
5,0,9
5,8,1
5,6,2
5,5,3
5,7,4
5,12,10
5,11,15
5,19,13
5,14,18
5,16,22
5,21,17
5,20,25
5,26,23
5,24,30
5,27,29
5,28,33
5,31,39
5,32,37
5,36,34
5,35,38
6,0,5
6,1,9
6,10,2
6,3,4
6,6,8
6,11,7
6,12,18
6,15,13
6,16,14
6,20,17
6,21,19
6,22,25
6,27,23
6,24,29
6,33,26
6,38,28
6,30,32
6,31,37
6,34,39
6,35,36
7,10,0
7,1,6
7,2,5
7,3,11
7,4,8
7,9,7
7,12,14
7,18,13
7,15,19
7,20,16
7,22,17
7,24,21
7,30,23
7,25,29
7,38,26
7,34,27
7,37,28
7,31,35
7,39,32
7,33,36
8,17,0
8,7,1
8,2,11
8,9,3
8,4,12
8,8,5
8,10,6
8,13,20
8,14,19
8,18,15
8,23,16
8,29,21
8,22,24
8,25,34
8,37,26
8,38,27
8,39,28
8,30,35
8,33,31
8,36,32
9,14,0
9,13,1
9,2,12
9,8,3
9,4,11
9,5,20
9,9,6
9,7,10
9,17,15
9,19,16
9,18,24
9,32,21
9,26,22
9,23,34
9,25,30
9,39,27
9,28,35
9,29,38
9,36,31
9,37,33
