0,MiaoAlgo,I_LINE40_10,1000,30
NrSuccesfullMatchings,32406,NrInfeasibleMatchings,0
Time,Value 
60,986
30,1026
0,201826
Final, 986,70

Round,H_team,A_team 
0,0,3
0,1,2
0,4,5
0,9,6
0,8,7
0,10,11
0,12,13
0,14,17
0,15,16
0,19,18
0,21,20
0,23,22
0,24,27
0,25,26
0,29,28
0,30,35
0,31,32
0,33,34
0,39,36
0,38,37
1,0,5
1,1,3
1,2,4
1,7,6
1,8,9
1,10,13
1,12,11
1,14,16
1,15,17
1,18,22
1,19,20
1,21,23
1,24,26
1,25,27
1,31,28
1,30,29
1,32,35
1,33,36
1,34,37
1,39,38
2,1,0
2,2,5
2,3,4
2,6,8
2,7,12
2,9,10
2,13,11
2,15,14
2,16,19
2,17,23
2,18,20
2,21,22
2,24,31
2,25,29
2,26,27
2,28,33
2,30,32
2,39,34
2,38,35
2,37,36
3,2,0
3,5,1
3,3,8
3,6,4
3,7,10
3,11,9
3,12,14
3,13,15
3,20,16
3,17,18
3,19,21
3,22,25
3,23,24
3,26,31
3,27,33
3,28,30
3,29,32
3,35,34
3,36,38
3,37,39
4,0,6
4,4,1
4,8,2
4,5,3
4,13,7
4,14,9
4,10,12
4,11,15
4,16,17
4,18,21
4,22,19
4,20,24
4,23,25
4,29,26
4,27,31
4,32,28
4,36,30
4,33,37
4,34,38
4,35,39
5,4,0
5,1,6
5,3,2
5,7,5
5,8,11
5,9,12
5,10,14
5,16,13
5,15,19
5,21,17
5,18,23
5,22,20
5,24,25
5,30,26
5,29,27
5,38,28
5,31,35
5,32,37
5,33,39
5,34,36
6,10,0
6,12,1
6,2,6
6,7,3
6,9,4
6,5,8
6,11,14
6,19,13
6,21,15
6,16,18
6,25,17
6,20,23
6,24,22
6,26,34
6,27,30
6,39,28
6,35,29
6,37,31
6,36,32
6,38,33
7,9,0
7,11,1
7,2,7
7,6,3
7,8,4
7,5,10
7,12,18
7,17,13
7,19,14
7,20,15
7,22,16
7,25,21
7,26,23
7,28,24
7,27,34
7,36,29
7,37,30
7,39,31
7,38,32
7,35,33
8,0,8
8,13,1
8,11,2
8,3,10
8,4,7
8,5,9
8,6,12
8,14,18
8,22,15
8,23,16
8,17,19
8,20,25
8,27,21
8,33,24
8,28,26
8,37,29
8,34,30
8,31,38
8,32,39
8,36,35
9,0,7
9,1,8
9,13,2
9,3,9
9,4,10
9,6,5
9,16,11
9,15,12
9,14,22
9,17,20
9,18,25
9,23,19
9,26,21
9,34,24
9,28,27
9,29,38
9,30,39
9,31,36
9,32,33
9,35,37
