588,MiaoAlgo,I_LINE40_10,1000,50
NrSuccesfullMatchings,72350,NrInfeasibleMatchings,0
Time,Value 
150,1008
120,1018
90,1018
60,1018
30,1018
0,1224
Final, 996,159

Round,H_team,A_team 
0,0,1
0,2,4
0,3,7
0,5,6
0,8,9
0,13,10
0,12,11
0,15,14
0,16,17
0,18,19
0,25,20
0,22,21
0,24,23
0,27,26
0,28,29
0,31,30
0,33,32
0,34,35
0,37,36
0,38,39
1,0,2
1,1,7
1,3,4
1,5,10
1,6,9
1,8,12
1,11,13
1,14,16
1,17,15
1,20,18
1,21,19
1,27,22
1,26,23
1,25,24
1,28,30
1,31,29
1,34,32
1,33,35
1,36,39
1,38,37
2,3,0
2,1,4
2,2,7
2,9,5
2,8,6
2,10,12
2,17,11
2,14,13
2,16,15
2,18,21
2,19,20
2,24,22
2,25,23
2,26,30
2,27,28
2,34,29
2,33,31
2,32,35
2,36,38
2,39,37
3,4,0
3,1,5
3,2,3
3,7,6
3,10,8
3,9,12
3,16,11
3,13,15
3,19,14
3,17,18
3,21,20
3,22,25
3,23,28
3,24,26
3,29,27
3,30,36
3,32,31
3,39,33
3,37,34
3,35,38
4,0,5
4,10,1
4,6,2
4,12,3
4,4,9
4,7,8
4,15,11
4,13,16
4,18,14
4,20,17
4,22,19
4,23,21
4,24,28
4,26,25
4,30,27
4,29,32
4,31,36
4,38,33
4,39,34
4,35,37
5,0,7
5,8,1
5,5,2
5,9,3
5,6,4
5,11,10
5,12,16
5,13,19
5,17,14
5,18,15
5,20,24
5,26,21
5,22,23
5,27,25
5,28,32
5,29,35
5,30,39
5,38,31
5,33,37
5,34,36
6,9,0
6,2,1
6,3,6
6,7,4
6,8,5
6,10,15
6,11,19
6,12,13
6,14,23
6,16,20
6,17,22
6,18,24
6,27,21
6,25,29
6,26,28
6,35,30
6,39,31
6,32,37
6,36,33
6,38,34
7,11,0
7,1,3
7,2,8
7,4,5
7,10,6
7,9,7
7,14,12
7,13,18
7,15,20
7,16,22
7,19,17
7,21,24
7,23,27
7,25,28
7,39,26
7,30,29
7,37,31
7,32,38
7,33,34
7,35,36
8,6,0
8,1,9
8,14,2
8,3,8
8,4,13
8,5,11
8,7,10
8,15,12
8,19,16
8,21,17
8,23,18
8,20,22
8,24,27
8,36,25
8,37,26
8,28,38
8,29,33
8,34,30
8,31,35
8,32,39
9,0,8
9,6,1
9,12,2
9,5,3
9,4,10
9,7,13
9,15,9
9,11,14
9,21,16
9,23,17
9,22,18
9,19,24
9,20,27
9,37,25
9,36,26
9,28,33
9,29,38
9,30,32
9,31,34
9,35,39
