10000,MiaoAlgo,I_LINE40_10,1000,90
NrSuccesfullMatchings,67023,NrInfeasibleMatchings,0
Time,Value 
120,960
90,968
60,974
30,1038
0,1298
Final, 960,147

Round,H_team,A_team 
0,0,1
0,2,5
0,3,4
0,6,8
0,7,9
0,13,10
0,12,11
0,15,14
0,17,16
0,18,19
0,20,21
0,22,23
0,29,24
0,26,25
0,28,27
0,30,31
0,33,32
0,35,34
0,36,37
0,39,38
1,0,3
1,1,2
1,4,5
1,7,6
1,8,9
1,12,10
1,13,11
1,19,14
1,17,15
1,18,16
1,20,23
1,21,22
1,24,26
1,25,27
1,31,28
1,30,29
1,34,32
1,33,35
1,38,36
1,37,39
2,0,9
2,3,1
2,2,4
2,5,6
2,8,7
2,10,11
2,12,13
2,14,17
2,15,16
2,18,20
2,21,19
2,22,24
2,23,25
2,27,26
2,28,30
2,29,31
2,32,35
2,38,33
2,37,34
2,39,36
3,4,0
3,1,8
3,3,2
3,5,7
3,6,12
3,9,13
3,10,17
3,11,15
3,14,18
3,16,20
3,22,19
3,21,25
3,23,24
3,28,26
3,27,30
3,32,29
3,31,35
3,39,33
3,36,34
3,38,37
4,0,5
4,4,1
4,2,8
4,6,3
4,7,12
4,11,9
4,14,10
4,13,15
4,19,16
4,17,20
4,18,21
4,22,25
4,26,23
4,24,28
4,27,29
4,32,30
4,31,36
4,37,33
4,39,34
4,35,38
5,11,0
5,1,5
5,7,2
5,3,8
5,6,4
5,9,12
5,16,10
5,13,14
5,15,18
5,21,17
5,23,19
5,20,22
5,25,24
5,30,26
5,31,27
5,28,29
5,37,32
5,33,36
5,34,38
5,35,39
6,8,0
6,1,6
6,9,2
6,3,5
6,7,4
6,15,10
6,16,11
6,12,14
6,13,18
6,22,17
6,20,19
6,21,24
6,23,27
6,28,25
6,29,26
6,30,36
6,38,31
6,39,32
6,33,34
6,37,35
7,6,0
7,1,7
7,10,2
7,9,3
7,4,15
7,5,8
7,14,11
7,12,18
7,16,13
7,19,17
7,25,20
7,23,21
7,26,22
7,24,27
7,33,28
7,29,39
7,30,37
7,34,31
7,38,32
7,36,35
8,0,7
8,11,1
8,2,6
8,10,3
8,4,9
8,5,15
8,8,12
8,17,13
8,14,16
8,18,23
8,19,37
8,24,20
8,26,21
8,32,22
8,25,39
8,27,38
8,36,28
8,34,29
8,35,30
8,31,33
9,2,0
9,15,1
9,11,3
9,8,4
9,5,12
9,9,6
9,10,7
9,19,13
9,20,14
9,16,23
9,17,18
9,27,21
9,36,22
9,24,39
9,25,37
9,26,38
9,35,28
9,29,33
9,34,30
9,32,31
