588,MiaoAlgo,I_LINE40_10,1000,100
NrSuccesfullMatchings,83366,NrInfeasibleMatchings,0
Time,Value 
150,1070
120,1072
90,1074
60,1102
30,1148
0,1322
Final, 1070,175

Round,H_team,A_team 
0,1,0
0,2,3
0,5,4
0,6,7
0,9,8
0,10,11
0,13,12
0,14,15
0,16,21
0,17,18
0,19,20
0,27,22
0,26,23
0,25,24
0,34,28
0,30,29
0,32,31
0,37,33
0,36,35
0,38,39
1,0,6
1,2,1
1,3,4
1,7,5
1,8,10
1,11,9
1,12,14
1,15,13
1,18,16
1,21,17
1,24,19
1,23,20
1,39,22
1,26,25
1,28,27
1,33,29
1,31,30
1,37,32
1,35,34
1,38,36
2,3,0
2,1,6
2,2,4
2,11,5
2,8,7
2,9,10
2,15,12
2,14,13
2,20,16
2,23,17
2,21,18
2,25,19
2,24,22
2,27,26
2,29,28
2,30,33
2,31,35
2,34,32
2,36,39
2,37,38
3,4,0
3,1,8
3,5,2
3,3,6
3,7,9
3,10,12
3,13,11
3,17,14
3,16,15
3,18,19
3,20,21
3,22,25
3,24,23
3,28,26
3,30,27
3,29,31
3,32,36
3,33,34
3,35,38
3,39,37
4,0,8
4,4,1
4,6,2
4,5,3
4,10,7
4,12,9
4,14,11
4,17,13
4,15,18
4,19,16
4,20,24
4,22,21
4,25,23
4,29,26
4,27,31
4,28,30
4,32,39
4,33,36
4,34,38
4,35,37
5,0,5
5,3,1
5,7,2
5,4,10
5,8,6
5,9,14
5,11,12
5,16,13
5,15,17
5,18,20
5,19,22
5,21,24
5,23,28
5,25,27
5,26,35
5,36,29
5,30,32
5,31,39
5,38,33
5,37,34
6,2,0
6,1,5
6,3,10
6,7,4
6,9,6
6,12,8
6,11,15
6,13,18
6,16,14
6,17,19
6,20,22
6,23,21
6,24,27
6,25,28
6,31,26
6,38,29
6,34,30
6,32,35
6,33,39
6,37,36
7,9,0
7,1,7
7,2,10
7,13,3
7,6,4
7,5,15
7,8,11
7,18,12
7,14,19
7,22,16
7,20,17
7,21,25
7,27,23
7,24,28
7,30,26
7,39,29
7,31,37
7,38,32
7,35,33
7,36,34
8,0,7
8,10,1
8,11,2
8,12,3
8,4,8
8,5,9
8,6,15
8,13,20
8,18,14
8,16,25
8,22,17
8,19,21
8,23,38
8,26,24
8,29,27
8,28,37
8,36,30
8,34,31
8,33,32
8,39,35
9,0,11
9,12,1
9,8,2
9,7,3
9,4,9
9,6,5
9,10,13
9,14,20
9,15,25
9,17,16
9,22,18
9,19,23
9,21,38
9,32,24
9,26,33
9,27,36
9,28,31
9,29,37
9,35,30
9,39,34
