42,MiaoAlgo,I_LINE40_20,1000,10
NrSuccesfullMatchings,903428,NrInfeasibleMatchings,0
Time,Value 
4950,503710
4920,503710
4890,503710
4860,503710
4830,503710
4800,503710
4770,503710
4740,503710
4710,503710
4680,503710
4650,503710
4620,503710
4590,503710
4560,503710
4530,503710
4500,503710
4470,503710
4440,503710
4410,503710
4380,503710
4350,503710
4320,503710
4290,503710
4260,503710
4230,503710
4200,503710
4170,503710
4140,503710
4110,503710
4080,503710
4050,503710
4020,503710
3990,503710
3960,503710
3930,503710
3900,503710
3870,503710
3840,503710
3810,503710
1740,504068
1710,504068
1680,504068
1650,504068
1620,504068
1590,504068
1560,504068
1530,504068
1500,504068
1470,504068
1440,504068
1410,504068
1380,504068
1350,504068
1320,504068
1290,504068
1260,504068
1230,504068
1200,504068
1170,504068
1140,504068
1110,504068
1080,504068
1050,504068
1020,504068
990,504068
960,504068
930,504068
900,504068
870,504068
360,504068
330,504068
300,504068
270,504068
240,504068
210,504068
180,504068
150,504068
120,504068
90,504068
60,504068
30,504068
0,504396
390,504068
420,504068
450,504068
480,504068
510,504068
540,504068
570,504068
600,504068
630,504068
660,504068
690,504068
720,504068
750,504068
780,504068
810,504068
840,504068
1770,504068
1800,504068
1830,504068
1860,504068
1890,504068
1920,504068
1950,504068
1980,504068
2010,504068
2040,504068
2070,504068
2100,504068
2130,504068
2160,504068
2190,504068
2220,504068
2250,504068
2280,503904
2310,503842
2340,503828
2370,503828
2400,503828
2430,503828
2460,503816
2490,503778
2520,503776
2550,503776
2580,503770
2610,503710
2640,503710
2670,503710
2700,503710
2730,503710
2760,503710
2790,503710
2820,503710
2850,503710
2880,503710
2910,503710
2940,503710
2970,503710
3000,503710
3030,503710
3060,503710
3090,503710
3120,503710
3150,503710
3180,503710
3210,503710
3240,503710
3270,503710
3300,503710
3330,503710
3360,503710
3390,503710
3420,503710
3450,503710
3480,503710
3510,503710
3540,503710
3570,503710
3600,503710
3630,503710
3660,503710
3690,503710
3720,503710
3750,503710
3780,503710
Final, 503710,7231

Round,H_team,A_team 
0,0,13
0,1,4
0,2,3
0,5,6
0,7,11
0,8,9
0,10,12
0,14,15
0,17,16
0,21,18
0,20,19
0,22,23
0,25,24
0,27,26
0,28,29
0,30,31
0,35,32
0,34,33
0,36,37
0,38,39
1,0,12
1,1,3
1,2,8
1,4,5
1,6,11
1,7,9
1,10,14
1,13,15
1,19,16
1,20,17
1,22,18
1,30,21
1,25,23
1,26,24
1,28,27
1,29,31
1,32,33
1,35,34
1,36,39
1,37,38
2,0,3
2,2,1
2,7,4
2,5,11
2,6,9
2,8,10
2,12,14
2,13,16
2,15,17
2,20,18
2,22,19
2,33,21
2,32,23
2,31,24
2,29,25
2,28,26
2,30,27
2,34,38
2,35,36
2,39,37
3,1,0
3,5,2
3,3,4
3,6,7
3,8,13
3,9,10
3,11,12
3,14,17
3,16,15
3,18,19
3,23,20
3,26,21
3,24,22
3,27,25
3,38,28
3,29,30
3,33,31
3,36,32
3,34,37
3,39,35
4,0,7
4,1,6
4,2,4
4,3,5
4,23,8
4,9,13
4,10,11
4,17,12
4,16,14
4,18,15
4,21,19
4,24,20
4,27,22
4,31,25
4,30,26
4,36,28
4,33,29
4,37,32
4,34,39
4,38,35
5,0,6
5,1,5
5,2,7
5,10,3
5,4,9
5,39,8
5,13,11
5,15,12
5,30,14
5,21,16
5,19,17
5,23,18
5,25,20
5,28,22
5,27,24
5,31,26
5,37,29
5,32,34
5,35,33
5,38,36
6,0,2
6,9,1
6,11,3
6,4,6
6,7,5
6,17,8
6,16,10
6,12,13
6,18,14
6,15,19
6,20,27
6,22,21
6,24,23
6,25,26
6,28,30
6,35,29
6,31,39
6,32,38
6,37,33
6,34,36
7,4,0
7,8,1
7,6,2
7,7,3
7,5,15
7,9,11
7,17,10
7,12,19
7,14,13
7,16,20
7,18,27
7,21,23
7,25,22
7,24,30
7,26,38
7,28,32
7,29,36
7,34,31
7,39,33
7,35,37
8,0,11
8,7,1
8,9,2
8,3,35
8,8,4
8,5,13
8,6,10
8,12,16
8,14,26
8,15,27
8,17,18
8,19,23
8,20,28
8,21,25
8,22,29
8,24,34
8,36,30
8,31,37
8,39,32
8,33,38
9,5,0
9,1,11
9,2,35
9,6,3
9,13,4
9,10,7
9,14,8
9,15,9
9,20,12
9,22,16
9,21,17
9,25,18
9,19,26
9,23,28
9,37,24
9,27,34
9,39,29
9,30,32
9,38,31
9,33,36
10,10,0
10,1,35
10,12,2
10,3,8
10,4,15
10,9,5
10,16,6
10,17,7
10,11,14
10,13,19
10,18,26
10,22,20
10,27,21
10,23,39
10,32,24
10,34,25
10,28,37
10,29,38
10,30,33
10,36,31
11,0,8
11,1,15
11,13,2
11,3,9
11,4,10
11,12,5
11,17,6
11,7,14
11,11,19
11,18,16
11,21,20
11,32,22
11,34,23
11,33,24
11,36,25
11,26,37
11,29,27
11,28,39
11,30,38
11,35,31
12,0,9
12,12,1
12,2,10
12,3,15
12,4,14
12,16,5
12,19,6
12,8,7
12,11,17
12,21,13
12,24,18
12,35,20
12,33,22
12,38,23
12,37,25
12,26,39
12,27,36
12,31,28
12,32,29
12,34,30
13,14,0
13,23,1
13,2,17
13,20,3
13,16,4
13,5,10
13,6,12
13,15,7
13,8,11
13,19,9
13,25,13
13,39,18
13,28,21
13,36,22
13,38,24
13,26,35
13,27,33
13,29,34
13,37,30
13,31,32
14,15,0
14,1,17
14,11,2
14,3,12
14,35,4
14,5,8
14,14,6
14,7,13
14,9,16
14,10,19
14,38,18
14,30,20
14,31,21
14,22,34
14,23,29
14,39,24
14,25,32
14,36,26
14,27,37
14,33,28
15,0,16
15,10,1
15,2,15
15,3,19
15,11,4
15,14,5
15,8,6
15,18,7
15,9,12
15,13,29
15,17,32
15,36,20
15,21,34
15,22,31
15,23,37
15,24,28
15,25,38
15,33,26
15,39,27
15,30,35
16,17,0
16,19,1
16,2,16
16,3,13
16,4,36
16,5,38
16,6,15
16,7,39
16,8,25
16,9,14
16,18,10
16,11,33
16,12,29
16,20,31
16,21,37
16,22,30
16,26,23
16,24,35
16,32,27
16,34,28
17,19,0
17,20,1
17,14,2
17,16,3
17,4,38
17,5,36
17,6,39
17,7,25
17,8,12
17,17,9
17,10,33
17,15,11
17,13,18
17,32,21
17,37,22
17,23,30
17,29,24
17,26,34
17,27,31
17,28,35
18,37,0
18,1,36
18,19,2
18,14,3
18,4,39
18,24,5
18,13,6
18,12,7
18,15,8
18,18,9
18,10,25
18,11,30
18,16,28
18,31,17
18,20,34
18,29,21
18,38,22
18,23,33
18,26,32
18,35,27
19,33,0
19,13,1
19,26,2
19,3,36
19,12,4
19,32,5
19,6,28
19,16,7
19,18,8
19,9,30
19,15,10
19,11,34
19,19,14
19,37,17
19,29,20
19,24,21
19,39,22
19,31,23
19,25,35
19,38,27
