2486,MiaoAlgo,I_NFL32_16,1000,10
NrSuccesfullMatchings,175823,NrInfeasibleMatchings,864
Time,Value 
570,233015
540,233015
510,233015
480,233015
450,233015
420,233015
390,233015
0,2147483647
30,234518
60,234518
90,234518
120,234518
150,233293
180,233015
210,233015
240,233015
270,233015
300,233015
330,233015
360,233015
Final, 233015,596

Round,H_team,A_team 
0,2,0
0,1,24
0,22,3
0,8,4
0,5,18
0,7,6
0,25,9
0,26,10
0,27,11
0,13,12
0,14,23
0,31,15
0,19,16
0,30,17
0,29,20
0,28,21
1,0,16
1,25,1
1,2,5
1,19,3
1,4,24
1,6,18
1,7,22
1,8,29
1,26,9
1,10,27
1,14,11
1,15,12
1,13,30
1,28,17
1,20,23
1,31,21
2,0,5
2,9,1
2,6,2
2,16,3
2,4,29
2,20,7
2,8,24
2,10,11
2,12,17
2,13,21
2,14,27
2,15,30
2,19,18
2,23,22
2,26,25
2,31,28
3,0,19
3,11,1
3,18,2
3,3,5
3,4,26
3,6,16
3,23,7
3,20,8
3,9,10
3,12,31
3,15,13
3,21,14
3,17,27
3,22,29
3,24,25
3,28,30
4,3,0
4,1,10
4,7,2
4,9,4
4,5,19
4,24,6
4,17,8
4,11,13
4,12,14
4,28,15
4,18,16
4,22,20
4,21,23
4,27,25
4,29,26
4,30,31
5,0,22
5,26,1
5,2,20
5,3,18
5,25,4
5,5,16
5,19,6
5,7,21
5,8,23
5,27,9
5,10,24
5,30,11
5,28,12
5,13,31
5,14,29
5,15,17
6,6,0
6,27,1
6,2,3
6,4,20
6,23,5
6,19,7
6,10,8
6,29,9
6,15,11
6,21,12
6,13,28
6,14,30
6,16,22
6,31,17
6,25,18
6,26,24
7,8,0
7,1,18
7,16,2
7,6,3
7,7,4
7,20,5
7,9,24
7,10,25
7,31,11
7,12,23
7,13,17
7,14,15
7,19,22
7,30,21
7,26,27
7,29,28
8,18,0
8,1,13
8,22,2
8,3,10
8,16,4
8,7,5
8,6,26
8,8,14
8,9,19
8,11,21
8,30,12
8,29,15
8,17,23
8,20,28
8,24,27
8,25,31
9,0,10
9,1,19
9,23,2
9,3,4
9,5,6
9,24,7
9,22,8
9,9,16
9,11,12
9,25,13
9,28,14
9,21,15
9,17,29
9,18,26
9,30,20
9,27,31
10,0,7
10,17,1
10,2,10
10,21,3
10,4,13
10,5,26
10,22,6
10,28,8
10,18,9
10,11,29
10,27,12
10,31,14
10,15,20
10,24,16
10,25,19
10,23,30
11,26,0
11,15,1
11,19,2
11,12,3
11,4,22
11,5,24
11,8,6
11,7,18
11,9,11
11,10,30
11,13,23
11,14,17
11,16,25
11,31,20
11,29,21
11,27,28
12,9,0
12,31,1
12,8,2
12,28,3
12,4,5
12,6,27
12,7,16
12,10,22
12,25,11
12,29,12
12,14,13
12,15,23
12,17,21
12,20,18
12,19,24
12,26,30
13,1,0
13,2,4
13,3,7
13,22,5
13,6,9
13,12,8
13,17,10
13,11,28
13,29,13
13,20,14
13,24,15
13,16,26
13,18,27
13,21,19
13,23,31
13,30,25
14,0,4
14,1,28
14,2,31
14,3,26
14,5,9
14,21,6
14,11,7
14,30,8
14,12,10
14,20,13
14,22,14
14,18,15
14,16,27
14,17,25
14,23,19
14,24,29
15,0,31
15,1,7
15,2,26
15,3,9
15,4,19
15,5,14
15,23,6
15,13,8
15,10,29
15,11,17
15,12,25
15,16,15
15,18,22
15,21,20
15,24,28
15,27,30
