5003,MiaoAlgo,I_NFL32_16,1000,10
NrSuccesfullMatchings,160476,NrInfeasibleMatchings,1100
Time,Value 
390,233597
0,2147483647
30,236014
60,233597
90,233597
120,233597
150,233597
180,233597
210,233597
240,233597
270,233597
300,233597
330,233597
360,233597
Final, 233597,418

Round,H_team,A_team 
0,2,0
0,1,9
0,5,3
0,4,8
0,18,6
0,7,22
0,10,20
0,11,30
0,17,12
0,13,28
0,14,21
0,31,15
0,19,16
0,29,23
0,26,24
0,25,27
1,19,0
1,1,27
1,6,2
1,3,16
1,4,10
1,5,22
1,7,23
1,8,20
1,25,9
1,26,11
1,14,12
1,13,15
1,17,30
1,18,24
1,29,21
1,28,31
2,0,16
2,1,25
2,18,2
2,3,19
2,29,4
2,7,5
2,6,24
2,8,21
2,9,27
2,26,10
2,17,11
2,12,30
2,13,31
2,14,20
2,28,15
2,22,23
3,0,3
3,11,1
3,2,7
3,21,4
3,23,5
3,19,6
3,22,8
3,24,9
3,27,10
3,31,12
3,30,13
3,28,14
3,15,17
3,16,18
3,20,29
3,25,26
4,0,7
4,24,1
4,2,3
4,20,4
4,21,5
4,16,6
4,25,8
4,10,9
4,11,13
4,15,12
4,23,14
4,31,17
4,19,18
4,22,29
4,27,26
4,30,28
5,18,0
5,26,1
5,2,22
5,3,6
5,4,14
5,5,16
5,19,7
5,9,8
5,29,10
5,31,11
5,28,12
5,17,13
5,15,21
5,20,23
5,24,25
5,30,27
6,6,0
6,1,19
6,4,2
6,3,24
6,18,5
6,7,16
6,8,23
6,26,9
6,17,10
6,12,11
6,13,27
6,14,31
6,29,15
6,22,20
6,28,21
6,25,30
7,0,5
7,1,30
7,8,2
7,18,3
7,22,4
7,6,9
7,7,20
7,10,23
7,11,28
7,12,27
7,13,21
7,14,15
7,16,24
7,26,17
7,25,19
7,29,31
8,0,22
8,16,1
8,19,2
8,20,3
8,5,4
8,6,7
8,8,29
8,9,18
8,10,14
8,11,25
8,21,12
8,23,13
8,15,26
8,24,17
8,27,28
8,30,31
9,23,0
9,3,1
9,2,16
9,4,7
9,5,6
9,14,8
9,9,19
9,10,18
9,27,11
9,12,13
9,15,25
9,17,28
9,21,20
9,24,22
9,31,26
9,30,29
10,20,0
10,6,1
10,23,2
10,7,3
10,4,18
10,9,5
10,12,8
10,16,10
10,11,15
10,13,29
10,22,14
10,27,17
10,24,19
10,21,30
10,31,25
10,28,26
11,8,0
11,1,15
11,12,2
11,22,3
11,4,16
11,25,5
11,6,10
11,7,24
11,11,9
11,13,20
11,14,30
11,17,21
11,18,31
11,26,19
11,28,23
11,29,27
12,0,24
12,1,5
12,13,2
12,26,3
12,6,4
12,18,7
12,19,8
12,17,9
12,10,15
12,11,21
12,25,12
12,14,27
12,22,16
12,30,20
12,31,23
12,29,28
13,0,25
13,1,12
13,2,24
13,3,8
13,19,4
13,5,29
13,31,6
13,7,14
13,9,13
13,10,11
13,15,30
13,16,26
13,23,17
13,27,18
13,20,28
13,21,22
14,0,26
14,10,1
14,2,14
14,3,4
14,5,19
14,15,6
14,27,7
14,8,28
14,9,29
14,23,11
14,12,22
14,24,13
14,16,25
14,20,17
14,30,18
14,21,31
15,21,0
15,4,1
15,2,26
15,3,25
15,5,13
15,28,6
15,9,7
15,8,17
15,24,10
15,20,11
15,12,29
15,16,14
15,15,18
15,23,19
15,30,22
15,27,31
