588,MiaoAlgo,I_NFL32_16,1000,10
NrSuccesfullMatchings,29173,NrInfeasibleMatchings,352
Time,Value 
60,244726
30,244726
0,293479
Final, 244726,79

Round,H_team,A_team 
0,6,0
0,1,25
0,5,2
0,18,3
0,4,8
0,7,22
0,9,27
0,10,20
0,11,17
0,12,14
0,13,30
0,15,21
0,19,16
0,29,23
0,24,26
0,31,28
1,18,0
1,1,27
1,7,2
1,19,3
1,4,23
1,5,22
1,6,16
1,24,8
1,9,25
1,10,26
1,11,14
1,12,17
1,13,21
1,15,28
1,29,20
1,31,30
2,0,2
2,9,1
2,3,16
2,29,4
2,19,5
2,6,18
2,23,7
2,10,8
2,11,26
2,12,21
2,13,28
2,14,20
2,31,15
2,30,17
2,24,22
2,25,27
3,0,3
3,1,24
3,2,19
3,22,4
3,5,6
3,20,7
3,8,29
3,26,9
3,25,10
3,27,11
3,28,12
3,17,13
3,14,31
3,30,15
3,16,18
3,21,23
4,16,0
4,1,11
4,2,18
4,3,6
4,26,4
4,7,5
4,8,9
4,27,10
4,15,12
4,14,13
4,17,31
4,22,19
4,20,23
4,21,29
4,25,24
4,28,30
5,19,0
5,10,1
5,2,22
5,3,5
5,4,20
5,6,25
5,7,8
5,9,17
5,11,15
5,12,27
5,31,13
5,29,14
5,24,16
5,18,26
5,30,21
5,23,28
6,0,5
6,29,1
6,3,2
6,10,4
6,6,26
6,24,7
6,11,8
6,9,16
6,12,30
6,13,27
6,14,28
6,15,20
6,25,17
6,19,18
6,31,21
6,23,22
7,0,22
7,1,17
7,6,2
7,24,3
7,9,4
7,5,18
7,19,7
7,26,8
7,10,21
7,13,11
7,12,23
7,14,30
7,15,27
7,25,16
7,31,20
7,29,28
8,21,0
8,16,1
8,2,9
8,26,3
8,25,4
8,5,24
8,22,6
8,7,18
8,8,19
8,28,10
8,30,11
8,20,12
8,23,13
8,14,15
8,17,29
8,27,31
9,23,0
9,3,1
9,2,24
9,4,19
9,16,5
9,7,6
9,8,31
9,18,9
9,30,10
9,28,11
9,22,12
9,20,13
9,21,14
9,17,15
9,26,25
9,27,29
10,0,1
10,16,2
10,3,9
10,4,5
10,8,6
10,21,7
10,15,10
10,11,29
10,13,12
10,23,14
10,17,26
10,18,24
10,20,19
10,22,31
10,28,25
10,27,30
11,0,28
11,1,18
11,4,2
11,10,3
11,5,8
11,6,20
11,12,7
11,9,30
11,11,16
11,13,26
11,14,17
11,15,23
11,19,21
11,29,22
11,24,27
11,31,25
12,9,0
12,1,30
12,2,8
12,7,3
12,24,4
12,5,20
12,6,21
12,10,17
12,12,11
12,15,13
12,14,22
12,29,16
12,25,18
12,19,28
12,31,23
12,26,27
13,26,0
13,1,19
13,20,2
13,22,3
13,4,6
13,5,25
13,7,31
13,8,12
13,28,9
13,18,10
13,21,11
13,13,29
13,27,14
13,16,15
13,17,24
13,30,23
14,0,7
14,26,1
14,2,31
14,3,25
14,4,12
14,23,5
14,17,6
14,8,14
14,21,9
14,16,10
14,20,11
14,22,13
14,18,15
14,27,19
14,28,24
14,30,29
15,0,10
15,22,1
15,2,14
15,3,15
15,28,4
15,21,5
15,27,6
15,16,7
15,8,13
15,23,9
15,11,31
15,18,12
15,17,19
15,20,26
15,30,24
15,25,29
