396,MiaoAlgo,I_NFL32_16,1000,30
NrSuccesfullMatchings,75689,NrInfeasibleMatchings,78
Time,Value 
180,227799
150,227922
120,227922
90,228594
60,230089
30,236436
0,2147483647
Final, 227799,201

Round,H_team,A_team 
0,0,19
0,25,1
0,2,5
0,3,16
0,8,4
0,18,6
0,14,7
0,17,9
0,10,26
0,11,27
0,12,23
0,13,30
0,31,15
0,20,22
0,28,21
0,29,24
1,0,16
1,10,1
1,2,6
1,3,19
1,20,4
1,18,5
1,29,7
1,8,22
1,11,9
1,13,12
1,14,24
1,15,30
1,17,27
1,31,21
1,28,23
1,25,26
2,3,0
2,1,26
2,22,2
2,4,5
2,16,6
2,20,7
2,8,24
2,9,25
2,10,27
2,29,11
2,30,12
2,13,23
2,14,17
2,15,21
2,18,19
2,31,28
3,2,0
3,27,1
3,6,3
3,4,29
3,5,8
3,7,22
3,26,9
3,19,10
3,17,11
3,12,15
3,28,13
3,21,14
3,16,18
3,23,20
3,24,25
3,30,31
4,0,22
4,1,9
4,16,2
4,3,18
4,26,4
4,5,7
4,19,6
4,8,29
4,24,10
4,25,11
4,12,31
4,27,13
4,23,14
4,28,15
4,17,30
4,21,20
5,0,18
5,1,3
5,7,2
5,10,4
5,5,16
5,6,22
5,20,8
5,9,24
5,11,30
5,17,12
5,13,21
5,14,28
5,15,23
5,25,19
5,29,26
5,31,27
6,6,0
6,1,19
6,4,2
6,9,3
6,22,5
6,7,16
6,14,8
6,10,25
6,11,12
6,13,17
6,15,27
6,18,24
6,20,26
6,30,21
6,31,23
6,29,28
7,20,0
7,11,1
7,2,18
7,3,24
7,4,19
7,5,6
7,8,7
7,10,9
7,12,21
7,13,15
7,14,26
7,22,16
7,31,17
7,30,23
7,29,25
7,28,27
8,5,0
8,1,13
8,3,2
8,4,14
8,24,6
8,7,18
8,23,8
8,9,31
8,16,10
8,26,11
8,22,12
8,15,17
8,19,20
8,21,29
8,27,25
8,30,28
9,0,10
9,1,31
9,19,2
9,3,5
9,18,4
9,26,6
9,7,12
9,21,8
9,9,27
9,24,11
9,25,13
9,14,30
9,15,29
9,16,20
9,17,28
9,23,22
10,24,0
10,17,1
10,2,20
10,8,3
10,6,4
10,5,10
10,23,7
10,9,13
10,11,28
10,27,12
10,15,14
10,19,16
10,26,18
10,21,22
10,25,31
10,30,29
11,8,0
11,30,1
11,2,23
11,22,3
11,16,4
11,5,19
11,6,9
11,28,7
11,10,21
11,13,11
11,12,24
11,31,14
11,20,15
11,29,17
11,25,18
11,27,26
12,4,0
12,1,18
12,29,2
12,20,3
12,5,23
12,6,25
12,30,7
12,8,15
12,16,9
12,10,17
12,31,11
12,12,26
12,13,14
12,22,19
12,27,21
12,28,24
13,0,31
13,1,5
13,21,2
13,3,25
13,4,13
13,7,6
13,16,8
13,19,9
13,23,10
13,15,11
13,28,12
13,14,29
13,17,20
13,18,22
13,24,27
13,26,30
14,0,25
14,6,1
14,2,10
14,7,3
14,4,15
14,9,5
14,18,8
14,11,20
14,12,14
14,26,13
14,24,16
14,21,17
14,19,31
14,22,28
14,23,29
14,27,30
15,0,1
15,2,28
15,21,3
15,7,4
15,25,5
15,6,31
15,19,8
15,9,30
15,18,10
15,11,14
15,12,29
15,24,13
15,22,15
15,26,16
15,23,17
15,27,20
